numObj,x,y,z,velocity,timestamp
14,"[2.74386, 2.81421, 2.53279, 2.60315, 2.6735, 2.53279, 2.60315, 2.6735, 2.81421, 2.53279, 2.60315, 2.6735, 2.74386, 2.81421]","[1.06752, 1.13532, 0.950731, 1.00861, 1.06902, 1.00457, 1.06544, 1.06744, 1.13494, 1.00529, 1.01103, 1.07687, 1.14046, 1.13433]","[-0.0479363, 0.0304598, -0.0574078, -0.0744315, -0.0628259, -0.0207813, 0.00245214, 0.0470822, -0.023896, 0.0366026, 0.0925725, 0.395526, -0.0752795, -0.00262463]","[0, 0, -0.44156, -0.44156, -0.44156, -0.294373, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187]",13/08/2025 22:11:07
15,"[2.53279, 2.60315, 2.6735, 2.74386, 2.60315, 2.6735, 2.74386, 2.53279, 2.60315, 2.6735, 2.74386, 2.53279, 2.60315, 2.6735, 2.74386]","[1.15617, 1.06778, 1.06581, 1.06642, 1.00535, 1.0049, 1.0049, 1.06819, 1.06651, 1.0044, 1.00423, 1.14514, 1.06715, 1.06545, 1.06548]","[0.140496, 0.0507988, 0.0203562, 0.0329468, 0.0376454, 0.0291167, 0.0290978, 0.0551207, 0.0344361, 0.0148237, -0.000718355, 0.0996555, 0.0434869, 0.00334573, -0.00720281]","[0, 0, 0, 0, -0.44156, -0.44156, -0.44156, -0.294373, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187]",13/08/2025 22:11:08
10,"[2.60315, 2.6735, 2.74386, 2.60315, 2.6735, 2.6735, 2.53279, 2.60315, 2.6735, 2.74386]","[1.0661, 1.06783, 0.950616, 1.06887, 1.06809, 1.00573, 1.13514, 1.06544, 1.06562, 1.009]","[0.0271029, 0.051355, 0.0559515, 0.0615138, 0.0541016, 0.0436671, -0.0275246, 0.000304937, 0.0144251, 0.0776554]","[0, 0, 0, 0.147187, 0.147187, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187]",13/08/2025 22:11:09
10,"[2.53279, 2.60315, 2.6735, 2.46244, 2.53279, 2.60315, 2.6735, 2.74386, 2.53279, 2.60315]","[1.06547, 1.06547, 1.06566, 1.06644, 1.06679, 1.06697, 1.06636, 1.06612, 1.06964, 1.0704]","[0.00633983, 0.00649719, -0.0159092, 0.0332817, 0.0386217, 0.0411982, 0.031964, 0.0274266, 0.067984, 0.0738708]","[0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373]",13/08/2025 22:11:10
12,"[2.81421, 2.88457, 2.6735, 2.81421, 2.88457, 2.95492, 2.81421, 2.88457, 2.6735, 2.74386, 2.6735, 2.74386]","[1.22699, 1.22484, 1.13581, 1.22134, 1.22058, 1.21777, 1.13503, 1.21667, 1.06847, 1.06636, 1.06598, 1.06545]","[-0.0919572, -0.083171, 0.0371773, -0.0662009, -0.061867, -0.0420575, -0.0255839, -0.0309191, -0.0578358, -0.0319711, 0.0244959, -0.00440074]","[0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, -0.294373, -0.294373, -0.147187, -0.147187]",13/08/2025 22:11:11
11,"[2.46244, 2.53279, 2.60315, 2.6735, 2.46244, 2.53279, 2.60315, 2.6735, 2.46244, 2.53279, 2.60315]","[1.06568, 1.06568, 1.06569, 1.06658, 1.06549, 1.0656, 1.06559, 1.06544, 1.06656, 1.0672, 1.06707]","[-0.016307, -0.0165756, -0.0168725, -0.0356164, 0.00782927, 0.0136582, 0.0129982, -0.00283146, 0.0353081, 0.0440733, 0.0425047]","[0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373]",13/08/2025 22:11:12
12,"[2.88457, 2.6735, 2.74386, 2.88457, 2.95492, 2.81421, 2.88457, 2.95492, 2.6735, 2.60315, 2.6735, 2.74386]","[1.22859, 1.06544, 1.13735, 1.21986, 1.21921, 1.21561, 1.21604, 1.21627, 1.06578, 1.06617, 1.06702, 1.14429]","[-0.0979801, 0.00300432, -0.052987, -0.0574909, -0.0531861, 0.0132636, -0.0221522, -0.0258073, -0.0195106, -0.0284584, 0.0418459, 0.0957214]","[0, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, -0.44156, -0.294373, -0.294373, -0.294373]",13/08/2025 22:11:13
8,"[2.46244, 2.53279, 2.60315, 2.46244, 2.53279, 2.60315, 2.53279, 2.60315]","[1.13579, 1.13472, 1.13436, 1.13437, 1.13455, 1.13714, 1.13622, 1.07327]","[-0.0368581, -0.0191647, 0.00510743, -0.00634841, 0.0143113, 0.05108, 0.0419685, 0.0926278]","[0, 0, 0, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373]",13/08/2025 22:11:14
12,"[2.6735, 2.74386, 2.81421, 2.6735, 2.74386, 2.81421, 2.88457, 2.6735, 2.74386, 2.6735, 2.74386, 2.81421]","[1.06544, 1.06553, 1.13962, 1.13433, 1.13579, 1.22283, 1.22948, 1.06584, 1.06598, 1.00456, 1.00475, 1.00572]","[0.0020175, -0.010419, -0.0700276, -0.00225258, -0.0369454, -0.0739397, -0.101119, -0.0210955, -0.024637, 0.020551, 0.0257792, 0.0434268]","[0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187]",13/08/2025 22:11:15
1,"[2.53279]","[1.13573]","[0.0361431]","[0.147187]",13/08/2025 22:11:16
2,"[2.6735, 2.74386]","[1.22642, 1.06742]","[0.0897041, 0.0467521]","[0.147187, 0.147187]",13/08/2025 22:11:19
