numObj,x,y,z,velocity,timestamp
5,"[5.34701, 5.41736, 5.34701, 5.41736, 5.48772]","[0.42534, 0.42445, 0.42194, 0.457521, 0.456994]","[0.176085, 0.164649, 0.126664, 0.138432, 0.130513]","[0, 0, -0.147187, -0.147187, -0.147187]",13/08/2025 22:03:18
5,"[5.27665, 5.34701, 5.41736, 5.34701, 5.41736]","[0.423053, 0.423605, 0.459682, 0.455439, 0.458087]","[0.144795, 0.152964, 0.166874, 0.103565, 0.146432]","[0.147187, 0.147187, 0.147187, -0.147187, -0.147187]",13/08/2025 22:03:19
14,"[5.27665, 5.34701, 5.41736, 5.48772, 5.27665, 5.34701, 5.41736, 5.48772, 5.55807, 5.34701, 5.41736, 5.48772, 5.55807, 5.34701]","[0.488795, 0.45494, 0.456884, 0.495934, 0.496794, 0.49589, 0.496178, 0.496997, 0.53358, 0.498989, 0.501325, 0.538311, 0.538386, 0.471366]","[0.0588154, 0.0932342, 0.1288, 0.173, 0.181855, 0.172541, 0.175563, 0.183878, 0.184358, 0.202604, 0.222417, 0.222925, 0.223476, 0.271251]","[0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, 0.294373, -0.147187]",13/08/2025 22:03:20
10,"[5.27665, 5.34701, 5.41736, 5.27665, 5.34701, 5.41736, 5.34701, 5.41736, 5.34701, 5.41736]","[0.424858, 0.426674, 0.429846, 0.426601, 0.427422, 0.42881, 0.427155, 0.430352, 0.459262, 0.498932]","[0.16999, 0.191878, 0.224753, 0.191049, 0.200159, 0.214613, 0.197244, 0.229519, 0.161759, 0.202097]","[0, 0, 0, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, -0.147187, -0.147187]",13/08/2025 22:03:21
10,"[5.34701, 5.41736, 5.48772, 5.41736, 5.34701, 5.41736, 5.48772, 5.34701, 5.41736, 5.48772]","[0.458296, 0.423759, 0.423937, 0.49712, 0.420626, 0.42171, 0.423074, 0.421227, 0.422588, 0.423854]","[0.149286, 0.155159, 0.15766, 0.185101, 0.101022, 0.122584, 0.14512, 0.113503, 0.137521, 0.156506]","[0, 0, 0, 0.147187, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187]",13/08/2025 22:03:22
18,"[5.27665, 5.34701, 5.41736, 5.48772, 5.2063, 5.27665, 5.34701, 5.41736, 5.48772, 5.2063, 5.27665, 5.34701, 5.27665, 5.34701, 5.34701, 5.41736, 5.48772, 5.55807]","[0.421, 0.455366, 0.458094, 0.461276, 0.387673, 0.423279, 0.421399, 0.423725, 0.46268, 0.389819, 0.426878, 0.427442, 0.429718, 0.430759, 0.456578, 0.491818, 0.494867, 0.496194]","[0.108959, 0.102125, 0.146533, 0.184958, 0.12681, 0.1482, 0.116807, 0.154682, 0.199439, 0.162734, 0.194176, 0.200372, 0.223527, 0.233286, 0.123896, 0.121463, 0.161301, 0.175728]","[0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, 0.44156, 0.44156, -0.147187, -0.147187, -0.147187, -0.147187]",13/08/2025 22:03:23
4,"[5.41736, 5.48772, 5.34701, 5.34701]","[0.493833, 0.49468, 0.422426, 0.423673]","[0.149033, 0.15915, 0.134902, 0.153938]","[0.147187, 0.147187, -0.294373, -0.147187]",13/08/2025 22:03:24
12,"[5.34701, 5.41736, 5.48772, 5.55807, 5.27665, 5.34701, 5.41736, 5.48772, 5.48772, 5.41736, 5.48772, 5.55807]","[0.460223, 0.497109, 0.498849, 0.501541, 0.464257, 0.463084, 0.462875, 0.460136, 0.530805, 0.534718, 0.535027, 0.500818]","[0.173238, 0.18499, 0.201345, 0.224149, 0.21447, 0.203409, 0.201372, 0.172226, 0.157021, 0.194393, 0.197026, 0.218277]","[0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, -0.294373, -0.147187, -0.147187, -0.147187]",13/08/2025 22:03:25
12,"[5.2063, 5.27665, 5.34701, 5.41736, 5.2063, 5.27665, 5.34701, 5.2063, 5.27665, 5.34701, 5.41736, 5.48772]","[0.426496, 0.429345, 0.430541, 0.431222, 0.422866, 0.423263, 0.425133, 0.424355, 0.425946, 0.428155, 0.434768, 0.442408]","[0.189858, 0.219909, 0.231273, 0.237482, 0.141916, 0.147959, 0.173492, 0.163387, 0.183435, 0.207932, 0.267228, 0.320991]","[0, 0, 0, 0, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187]",13/08/2025 22:03:26
7,"[5.41736, 5.34701, 5.41736, 5.48772, 5.34701, 5.41736, 5.48772]","[0.425156, 0.458782, 0.460057, 0.46269, 0.453733, 0.454993, 0.456624]","[0.173781, 0.15569, 0.171311, 0.199541, 0.0613334, 0.0943832, 0.124639]","[0, 0.147187, 0.147187, 0.147187, -0.147187, -0.147187, -0.147187]",13/08/2025 22:03:27
1,"[5.27665]","[0.425765]","[0.181272]","[0.147187]",13/08/2025 22:03:28
10,"[5.2063, 5.27665, 5.2063, 5.27665, 5.34701, 5.41736, 5.27665, 5.34701, 5.41736, 5.48772]","[0.494285, 0.496356, 0.498721, 0.502198, 0.463287, 0.460657, 0.498021, 0.536059, 0.455307, 0.456417]","[0.154523, 0.177411, 0.200194, 0.229339, 0.205365, 0.178166, 0.193748, 0.205546, 0.100937, 0.121226]","[0, 0, 0.147187, 0.147187, 0.147187, 0.147187, -0.147187, -0.147187, -0.147187, -0.147187]",13/08/2025 22:03:31
13,"[5.27665, 5.34701, 5.41736, 5.27665, 5.34701, 5.41736, 5.48772, 5.27665, 5.34701, 5.41736, 5.48772, 5.27665, 5.34701]","[0.425491, 0.425732, 0.426101, 0.390308, 0.426618, 0.427646, 0.462916, 0.392589, 0.394099, 0.42978, 0.464016, 0.463487, 0.463895]","[0.177951, 0.180885, 0.185269, 0.169826, 0.191244, 0.202563, 0.201769, 0.199412, 0.216658, 0.224118, 0.212245, 0.207277, 0.211129]","[0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, 0.294373, -0.147187, -0.147187]",13/08/2025 22:03:32
7,"[5.41736, 5.41736, 5.48772, 5.41736, 5.41736, 5.48772, 5.55807]","[0.397527, 0.491559, 0.494839, 0.41989, 0.421074, 0.458815, 0.430241]","[0.251081, 0.117428, 0.16098, 0.0831919, 0.11046, 0.156113, 0.228484]","[0, 0.147187, 0.147187, -0.294373, -0.147187, -0.147187, -0.147187]",13/08/2025 22:03:33
9,"[5.27665, 5.34701, 5.41736, 5.2063, 5.27665, 5.34701, 5.27665, 5.34701, 5.48772]","[0.425265, 0.462087, 0.463107, 0.427191, 0.426918, 0.427313, 0.429982, 0.429627, 0.490333]","[0.175154, 0.193469, 0.203633, 0.197647, 0.194623, 0.198974, 0.226045, 0.222647, 0.0960369]","[0, 0, 0, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, -0.147187]",13/08/2025 22:03:34
15,"[5.27665, 5.34701, 5.41736, 5.48772, 5.55807, 5.41736, 5.48772, 5.34701, 5.41736, 5.48772, 5.27665, 5.34701, 5.41736, 5.48772, 5.55807]","[0.460919, 0.45992, 0.461232, 0.464067, 0.430517, 0.530669, 0.532064, 0.421843, 0.423581, 0.424998, 0.458312, 0.45861, 0.42675, 0.427584, 0.427235]","[0.181069, 0.169707, 0.18448, 0.212722, 0.231055, 0.155552, 0.170001, 0.124961, 0.152618, 0.171781, 0.149499, 0.153459, 0.192742, 0.201907, 0.19812]","[0, 0, 0, 0, 0, 0.147187, 0.147187, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187]",13/08/2025 22:03:35
13,"[5.27665, 5.34701, 5.41736, 5.2063, 5.27665, 5.34701, 5.41736, 5.2063, 5.27665, 5.34701, 5.27665, 5.34701, 5.41736]","[0.42365, 0.460614, 0.464836, 0.423286, 0.426173, 0.465527, 0.468909, 0.426163, 0.427064, 0.433632, 0.459781, 0.495624, 0.496518]","[0.153613, 0.17768, 0.219711, 0.148298, 0.186117, 0.22579, 0.253241, 0.185995, 0.19625, 0.258122, 0.168054, 0.169685, 0.179064]","[0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, -0.147187, -0.147187, -0.147187]",13/08/2025 22:03:36
