create_time,idppe,idbeacon,bluetooth_channel,rssi_1,rssi_2,rssi_3,rssi_4,az_1,az_2,az_3,az_4,el_1,el_2,el_3,el_4,x,y,z
1761083994.204739,2c08d2cc-7a1c-9d34-25ea-6265acb43d72,1f6ad22e-6cb9-aee2-0773-2ca615c52a0b,29,-73.0,-79.0,-69.0,-58.0,2.3297743342821047,-2.25244252781282,1.3235609680490634,3.0857019570567363,0.3343724250060853,0.18686429315288136,0.37341143710944785,0.5840235038872157,-3.108032703399658,4.032368183135986,0.6863643527030945
1761083995.205601,2c08d2cc-7a1c-9d34-25ea-6265acb43d72,69174856-e303-c369-06f7-242c8a96c426,10,-68.0,-72.0,-69.0,-59.0,2.3386735533807137,-2.19767461999534,1.2569542439217458,3.0941212745269127,0.4638224271662754,0.14268253389225086,0.4973878775707118,0.6325222639196214,-3.208425998687744,3.9887120723724365,0.7715704441070557
1761083996.205257,2c08d2cc-7a1c-9d34-25ea-6265acb43d72,8634c5dd-311a-f89e-edfd-b186e20c922e,36,-75.0,-81.0,-71.0,-62.0,2.4455456752933755,-2.3370106755960682,1.3378139398870585,3.087975763995446,0.30601548519308513,0.2337532721748751,0.4527225714799069,0.5488687788127609,-3.346424102783203,3.9420289993286133,0.83001708984375
1761083998.205707,2c08d2cc-7a1c-9d34-25ea-6265acb43d72,358144af-81ca-4763-a2cd-098d8e5c136f,6,-72.0,-73.0,-67.0,-60.0,2.4886995375970193,-2.377607370621018,1.4313675931882341,3.0530121873082314,0.214249861603032,0.2420100868842863,0.4835955660222731,0.49389217903436006,-3.870220899581909,4.022193908691406,0.9254000186920166
1761083999.2049,2c08d2cc-7a1c-9d34-25ea-6265acb43d72,fc1ce2cc-ee1d-2739-5e8e-f0ea175375d4,24,-78.0,-74.0,-73.0,-60.0,2.455318943861748,-2.359863793542256,1.2915907844270982,3.0573675209549473,0.1869187880866871,0.1850577378274261,0.4295412189293667,0.49281769340305404,-4.134043216705322,4.1209235191345215,1.0445667505264282
1761084000.197427,2c08d2cc-7a1c-9d34-25ea-6265acb43d72,1a6ff54a-9163-3bc2-b92f-67c886325c38,8,-72.0,-69.0,-76.0,-54.0,2.499378280936019,-2.3483394965571565,1.2495455960852542,3.0241744137604174,0.18659927533490483,0.18247279044961112,0.5028047139384193,0.5490083617433947,-4.331941604614258,4.224951267242432,1.1671112775802612
1761084001.205394,2c08d2cc-7a1c-9d34-25ea-6265acb43d72,85e98424-b6a5-bf11-64f6-6dbbdbf5a39a,1,-71.0,-72.0,-63.0,-56.0,2.451287450603586,-2.314965827040719,1.4182754932694044,3.082363950946431,0.20770807270136132,0.2668300491640387,0.5660640110230756,0.5910419986240105,-4.506282329559326,4.28603458404541,1.2099946737289429
1761084003.205424,2c08d2cc-7a1c-9d34-25ea-6265acb43d72,620066df-6d35-9ffd-4e27-f28f3ca992d6,30,-71.0,-82.0,-69.0,-58.0,2.491172016353049,-2.3891969150528247,1.214460312936223,3.0424223935496406,0.23677637613103536,0.14903335749900598,0.364012009779095,0.5287693694337149,-4.68262004852295,4.345602989196777,1.2445752620697021
1761084004.205528,2c08d2cc-7a1c-9d34-25ea-6265acb43d72,38bcbdd1-69cb-f5b2-3176-20cb0566559d,32,-69.0,-73.0,-70.0,-60.0,2.5488049528712358,-2.297270453177688,1.31658242072862,2.9955992278960855,0.3069189625928945,0.13698346070564374,0.41802311379380125,0.5146917001744744,-4.74330472946167,4.381099224090576,1.2582738399505615
1761084005.205234,2c08d2cc-7a1c-9d34-25ea-6265acb43d72,91815a37-c352-ad4f-ad6b-3efd41c7dd6f,16,-70.0,-77.0,-70.0,-59.0,2.500694947778954,-2.3022084864709127,1.264029730305868,3.0689416190524317,0.3085158938510469,0.1517868496843094,0.5107319458181764,0.5667674184459928,-4.76582431793213,4.420683860778809,1.26246702671051
1761084007.204829,2c08d2cc-7a1c-9d34-25ea-6265acb43d72,f6e6c3b0-ad7f-95ee-b599-b0955482c1c9,30,-71.0,-69.0,-73.0,-59.0,2.4549567539534976,-2.370189135404602,1.2581497369350823,3.0560364730421257,0.3328231643314454,0.1643688543858478,0.5575891333546573,0.47347738480322143,-4.809682846069336,4.504260063171387,1.2936394214630127
1761084008.205173,2c08d2cc-7a1c-9d34-25ea-6265acb43d72,898efcec-bbcb-900e-6ec2-d955e99251d6,8,-70.0,-80.0,-74.0,-57.0,2.4777427602402153,-2.3393430720787594,1.2678929117831372,3.0144954210946335,0.31366887753375483,0.19107681478614144,0.476546478222456,0.4698738615322352,-4.781846046447754,4.523388862609863,1.302471399307251
1761084009.204505,2c08d2cc-7a1c-9d34-25ea-6265acb43d72,40d874be-a970-7379-b396-3e81f04d4fe1,19,-76.0,-72.0,-76.0,-64.0,2.4567517245282104,-2.351252462157485,1.2196345686181382,2.9991976911610005,0.42290125925201294,0.1506482318050028,0.5481979951131972,0.5325641076709688,-4.7547173500061035,4.523316383361816,1.2776305675506592
1761084010.205116,2c08d2cc-7a1c-9d34-25ea-6265acb43d72,14a2acf4-eff7-646a-20c3-9e86350ed2dd,29,-74.0,-72.0,-75.0,-63.0,2.407011864848801,-2.337982995710056,1.2747207241858822,3.016499183498809,0.3338431217394321,0.26598888973373713,0.6582253637063579,0.6078626572270055,-4.732869625091553,4.52052354812622,1.2540831565856934
1761084012.204131,2c08d2cc-7a1c-9d34-25ea-6265acb43d72,5d85e032-a2e0-d838-5c65-65896d2b8bec,16,-74.0,-77.0,-64.0,-59.0,2.3533672783791166,-2.3812196823236014,1.263015332246657,3.030136166176669,0.3045386625000953,0.13749845780381625,0.7282087763588143,0.5883920201813271,-4.62652063369751,4.5239577293396,1.2807799577713013
1761084013.198492,2c08d2cc-7a1c-9d34-25ea-6265acb43d72,ba29d188-ca8b-92b2-4b2b-4dd16226495b,0,-76.0,-75.0,-73.0,-60.0,2.407021984860943,-2.377035856251087,1.2637985679232495,2.9671396232230625,0.2059906833381533,0.13525172356206291,0.7876608516386069,0.5285897392181891,-4.62163257598877,4.517734050750732,1.2982691526412964
1761084014.206737,2c08d2cc-7a1c-9d34-25ea-6265acb43d72,07b668e1-7d5e-3eaf-157c-f528addf081e,13,-82.0,-80.0,-68.0,-60.0,2.3462683561774016,-2.39643006057348,1.2390482140164891,2.954823568445882,0.11585147719294676,0.22654033338899085,0.6164831099385103,0.4995366823857558,-4.588818550109863,4.511131286621094,1.3384631872177124
1761084016.205171,2c08d2cc-7a1c-9d34-25ea-6265acb43d72,bba10c82-3414-db3c-e841-ee1bb8654edd,30,-80.0,-76.0,-76.0,-59.0,2.413141929045945,-2.343026223866339,1.3241271560968142,2.98055982458819,0.14836911518886983,0.22432653079859205,0.6577240236311502,0.5773164658399056,-4.583344459533691,4.489440441131592,1.397267460823059
1761084017.198344,2c08d2cc-7a1c-9d34-25ea-6265acb43d72,6184794b-8dab-1082-36d3-add96aec8e13,24,-83.0,-68.0,-63.0,-60.0,2.417911650558277,-2.3642074092801755,1.351842939877378,2.996015746290574,0.251106912535779,0.22164471093612545,0.6216483774517462,0.5637928672454561,-4.596551895141602,4.482177734375,1.3961471319198608
1761084018.205665,2c08d2cc-7a1c-9d34-25ea-6265acb43d72,d631d895-46f9-b28d-ae2c-a5afc8fdc3bb,24,-76.0,-69.0,-64.0,-58.0,2.3386953913016524,-2.366817839780671,1.356542353936932,3.0522531863975586,0.27768744067791223,0.19310118339925156,0.4802290307987903,0.5175983074777004,-4.597622871398926,4.483671188354492,1.407010555267334
1761084019.205784,2c08d2cc-7a1c-9d34-25ea-6265acb43d72,70abed1e-679f-10cb-423b-58119adfd6c7,21,-71.0,-69.0,-64.0,-66.0,2.4172879382309804,-2.356357741967167,1.2833373818928338,3.08838269501001,0.23089984486966647,0.1447210006143816,0.5714014519007852,0.5657474943275196,-4.60353183746338,4.490039825439453,1.4348015785217285
1761084021.206477,2c08d2cc-7a1c-9d34-25ea-6265acb43d72,b5c9a630-1eed-b10a-8bf3-f211a012248a,30,-76.0,NaN,-74.0,-61.0,2.5438578648303047,NaN,1.2586735807215008,3.096152733806425,0.24183987760111664,NaN,0.6992809213871283,0.6626219097709423,-4.639410972595215,4.508332252502441,1.408461332321167
1761084022.205762,2c08d2cc-7a1c-9d34-25ea-6265acb43d72,5ac81610-bd10-f9f6-fdd4-995c63f0d043,30,-73.0,NaN,-64.0,-74.0,2.510834667313322,NaN,1.2635607476379052,-3.13421116999642,0.3345978948818742,NaN,0.6761499691602177,0.6714448958833475,-4.65867519378662,4.521692276000977,1.3237310647964478
1761084023.198024,2c08d2cc-7a1c-9d34-25ea-6265acb43d72,afca3044-63f5-191e-8022-24dd11de1b32,29,-81.0,NaN,-72.0,-58.0,2.532041419073623,NaN,1.2919180869250688,-3.103798935612152,0.3593340008768026,NaN,0.6841385869031011,0.604883179178452,-4.6835298538208,4.5457024574279785,1.2287758588790894
1761084025.206329,2c08d2cc-7a1c-9d34-25ea-6265acb43d72,2ff2fdb7-0bb6-b63f-d713-8b7a0029b89c,22,-75.0,-71.0,-66.0,-60.0,2.498534058870464,2.746808849389755,1.292962312388489,-3.1164316402429426,0.3266302162430615,0.6647630247083387,0.5479031498910119,0.6070489283559317,-4.719570636749268,4.56762409210205,1.1204768419265747
1761084026.206504,2c08d2cc-7a1c-9d34-25ea-6265acb43d72,73d3e587-3270-fc75-7bb7-3c343b7ab969,20,-72.0,-76.0,-66.0,-67.0,2.525922540153057,2.7442186589135438,1.3255069398575843,-3.103714247089487,0.36985748192425066,0.7542168080903645,0.581225453687924,0.5278052718295926,-4.7761030197143555,4.596158027648926,1.0211820602416992
