create_time,idppe,idbeacon,bluetooth_channel,rssi_1,rssi_2,rssi_3,rssi_4,az_1,az_2,az_3,az_4,el_1,el_2,el_3,el_4,x,y,z
1755134131.220639,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,7e2f1abe-2ea6-6a8f-1b3e-a83d4ae8fdd2,6,NaN,NaN,-76.0,-79.0,NaN,NaN,1.2271899566306932,2.541323600736985,NaN,NaN,0.608639368158927,0.26680083761583184,-2.136664628982544,3.441467761993408,-0.671907901763916
1755134132.266359,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,daa20572-c779-b68c-3383-bb8aed50eec8,21,-78.0,-80.0,-77.0,-80.0,2.2158506944351313,-1.5638551968877685,1.2353115326909987,2.5857222245341323,0.283534610588263,0.2905139901465473,0.5937460392368223,0.2757288854332408,-2.2801425457000732,3.1056528091430664,-0.767486572265625
1755134133.265779,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,20a2e661-23c3-b2fc-c5ad-b4b1b86d0ffd,33,-80.0,-87.0,-86.0,-78.0,2.257457260145439,-1.5364607234927228,1.3936396552895176,2.5787548624902668,0.27700522203041805,0.3395301357997282,0.6577615742025205,0.2969875022557711,-2.4139564037323,2.798739194869995,-0.8563109636306763
1755134134.221498,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,c43833e1-f1ea-a5ff-8a54-679e98aacd5b,22,NaN,-87.0,-74.0,-93.0,NaN,-1.4840110974041574,1.4282714021049079,2.675637999786259,NaN,0.3382461259696601,0.6016304608020566,0.27639657320803723,-2.5431692600250244,2.50959038734436,-0.9596675634384155
1755134135.265898,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,e2e7733f-6b74-98fb-2473-bba7f9c2fd7e,8,NaN,-82.0,-75.0,-97.0,NaN,-1.441379480990278,1.4083941003607745,2.867130467439535,NaN,0.28998611832897997,0.5531662885743083,0.36194682822227936,-2.728196620941162,2.18773365020752,-1.0385745763778687
1755134136.264668,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,fd395ab1-aa6a-b035-76dd-887dc986bc01,27,NaN,-77.0,-75.0,-75.0,NaN,-1.4335244873550892,1.5293671276131877,2.7203679208230125,NaN,0.23773632919071122,0.5059825974881836,0.3541500246569089,-3.0656917095184326,1.8198679685592651,-0.819939374923706
1755134137.221,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,cca1b9be-12df-07dc-9645-0c131931f850,28,NaN,-82.0,-77.0,-79.0,NaN,-1.4388223137115839,1.5054918884406274,2.5695371293252847,NaN,0.19539677832462943,0.39674139404881453,0.40717199735324616,-3.414581537246704,1.7441487312316895,-0.652118444442749
1755134138.261485,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,2b86c0c7-bfd0-c7b5-c213-72e8d396948b,26,NaN,-73.0,-76.0,-79.0,NaN,-1.439089695085028,1.5149061628940577,2.507579219196809,NaN,0.19120201664688877,0.3341117681143938,0.3727911203125411,-3.815901279449463,1.637317419052124,-0.4737244248390198
1755134139.263751,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,534dd31f-1ead-9e87-f0d0-26198df098d1,12,-86.0,-79.0,-81.0,-92.0,2.2713179483548656,-1.4725915958079523,1.4797258048941109,2.5105843301708544,0.47745871076434904,0.308052071057696,0.35926655632219645,0.46511063147506043,-4.310741901397705,1.5326482057571411,-0.3756958544254303
1755134140.221618,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,58ebaadb-4449-bcf5-abc4-2abec806f71f,6,-82.0,-81.0,-75.0,-88.0,2.2502464851779407,-1.4780458828784888,1.4984313157586095,2.5362625294013985,0.47267267739034036,0.3256174160805043,0.36916739030678397,0.461735341109494,-4.578073024749756,1.5586144924163818,-0.329789012670517
1755134141.266179,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,2bead912-57e9-3173-8121-54f71e85dea9,30,-85.0,-85.0,-82.0,-75.0,2.1870624556835927,-1.376013789930937,1.5589734894515987,2.5725555561047804,0.6289349193522574,0.2876056850781263,0.37906715902693555,0.43648038475519074,-4.845110893249512,1.5267006158828735,-0.3748510777950287
1755134142.268211,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,9d8b185d-7f91-1db5-6c70-2850d7627006,5,-81.0,-78.0,-76.0,-84.0,2.2337972043889573,-1.6654746330244126,1.5707249540776824,2.6603131056095077,0.6386573881228368,0.17617955770142896,0.3986772125556795,0.5356553386167647,-5.116954803466797,1.4950251579284668,-0.4425744414329529
1755134143.269173,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,c7214def-c553-2eec-fe94-a8ee720804f1,19,-78.0,NaN,-76.0,-94.0,2.232200372999346,NaN,1.4848491941992055,2.673652346877496,0.6134098220405588,NaN,0.3553150577652777,0.3628775697337484,-5.329336166381836,1.4711772203445435,-0.7552412152290344
1755134144.221731,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,09db454b-02e8-86d1-603f-195deba8f56a,17,-80.0,NaN,-74.0,-94.0,2.3907980075001807,NaN,1.4778930174319183,2.754868640112771,0.4926820719245418,NaN,0.36748467197201745,0.3462216276441749,-5.51173210144043,1.5807312726974487,-0.706343710422516
1755134145.221435,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,977e168d-8cd4-1ab4-6c5a-e3ee48da4934,7,-87.0,NaN,-77.0,-86.0,2.3840431657113035,NaN,1.5132608619726067,2.769103236139244,0.520180441891614,NaN,0.3096562261403052,0.5085205234280019,-5.703982830047607,1.7427033185958862,-0.6250703930854797
1755134146.266264,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,35e952cb-e9a8-8adc-f9b8-8347d97e01ae,0,-86.0,NaN,-85.0,-80.0,2.402979306326203,NaN,1.564897957612589,2.78569419709822,0.44912347571423294,NaN,0.30331194392297756,0.28857324479166563,-5.756990909576416,1.9370466470718384,-0.501847743988037
1755134147.221835,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,b409ccbc-c00a-29b4-df09-df3f9dcb0b41,28,NaN,NaN,-77.0,-78.0,NaN,NaN,1.5779921880602905,2.7190294160591386,NaN,NaN,0.3713417614682928,0.4796592141940543,NaN,NaN,NaN
1755134148.262919,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,5b44bbad-6f29-63e3-6853-d55c4af0023a,19,-75.0,-78.0,-75.0,-81.0,2.5022252001413134,-1.4369714167539789,1.6227306312125316,2.6974210596064534,0.3856424038898003,0.227874627029391,0.25482087376821944,0.4677569813607585,-5.786243438720703,2.122144937515259,-0.47103238105773926
1755134149.265824,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,6e67cfcc-9b67-894d-5b93-afd2221a6805,34,-81.0,-83.0,-81.0,-73.0,2.4971454866780967,-1.4956664219148892,1.6873809972030775,2.6913059091114135,0.4091038876975033,0.19854165532163354,0.26507024896047116,0.43905216613036663,-5.782581329345703,2.3366124629974365,-0.4176996946334839
1755134150.266395,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,bbb5ae89-e09a-83f0-c0e7-d9da801dc8b2,12,-80.0,-79.0,-76.0,-79.0,2.443794913192757,-1.4867201980230402,1.7237943987877309,2.670652029593413,0.41963312783080864,0.14516952687622137,0.42038101004393014,0.5581682044441815,-5.815960884094238,2.546408176422119,-0.32271313667297363
1755134151.231126,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,31031c16-eef4-f347-e575-e1b7ff5a8fde,17,-82.0,-79.0,-75.0,NaN,2.4481129625842115,-1.4247760031741792,1.7202257629270246,NaN,0.3580837466135513,0.14475756914509968,0.24992545105243577,NaN,-5.88810920715332,2.720736503601074,-0.2012767195701599
1755134152.222111,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,7d454d79-c0f8-e99b-86ac-8170ac2a8df2,17,-76.0,-88.0,-80.0,-79.0,2.365108622993058,-1.5055542064101353,1.6480594237080572,2.601621828874123,0.29168784497602696,0.1840778110595746,0.3854640386757922,0.5698941693028275,-5.947524547576904,2.9018988609313965,-0.01078624278306961
