numObj,x,y,z,velocity,timestamp
14,"[4.15097, 4.22132, 4.29168, 4.36203, 4.08061, 4.15097, 4.22132, 4.29168, 4.36203, 4.15097, 4.22132, 4.29168, 4.36203, 4.43239]","[0.568487, 0.567892, 0.566078, 0.600304, 0.572332, 0.572226, 0.571689, 0.570548, 0.565339, 0.577155, 0.575886, 0.53644, 0.598087, 0.638162]","[0.162674, 0.156894, 0.137693, 0.092079, 0.195752, 0.194921, 0.190653, 0.181209, 0.12902, 0.230185, 0.221699, 0.208598, 0.0447196, 0.0813588]","[0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, -0.147187, -0.147187]",13/08/2025 22:05:50
19,"[4.15097, 4.22132, 4.29168, 4.36203, 4.36203, 4.15097, 4.22132, 4.29168, 4.36203, 4.43239, 4.15097, 4.22132, 4.29168, 4.36203, 4.43239, 4.15097, 4.22132, 4.29168, 4.36203]","[0.560203, 0.560258, 0.560379, 0.597564, 0.467283, 0.560717, 0.560956, 0.560994, 0.560903, 0.560186, 0.525648, 0.525856, 0.525978, 0.563519, 0.527111, 0.530109, 0.529211, 0.529195, 0.529939]","[0.0201887, 0.0241453, 0.0311206, 0.021533, -1.14149, 0.0452334, 0.0529582, 0.0540899, 0.0513613, 0.0187501, 0.0841109, 0.0882613, 0.0906067, 0.104512, 0.109962, 0.149337, 0.138763, 0.138559, 0.147389]","[0, 0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, 0.294373, 0.294373, 0.44156, 0.44156, 0.44156, 0.44156]",13/08/2025 22:05:52
12,"[4.15097, 4.22132, 4.29168, 4.22132, 4.29168, 5.83949, 4.15097, 4.22132, 4.29168, 4.15097, 4.22132, 4.29168]","[0.56923, 0.533915, 0.579885, 0.601202, 0.602325, 1.06833, 0.526014, 0.526756, 0.566769, 0.565996, 0.566907, 0.570255]","[0.16961, 0.187373, 0.247362, 0.105313, 0.119791, -1.0888, 0.0912861, 0.10429, 0.145313, 0.13675, 0.146786, 0.178703]","[0, 0, 0, 0.147187, 0.147187, 0.147187, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187]",13/08/2025 22:05:54
13,"[4.15097, 4.22132, 4.15097, 4.22132, 4.29168, 4.29168, 4.36203, 4.43239, 4.29168, 4.36203, 4.43239, 4.29168, 4.36203]","[0.608275, 0.652665, 0.612492, 0.661053, 0.436864, 1.1298, 0.560347, 0.564285, 0.525124, 0.527146, 0.566833, 0.530854, 0.530055]","[0.177242, 0.211684, 0.208142, 0.257223, -0.283172, 1.50163, 0.0294492, 0.115474, 0.0726006, 0.110507, 0.146008, 0.157551, 0.148718]","[0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, 0.44156, 0.44156]",13/08/2025 22:05:55
11,"[4.15097, 4.22132, 4.29168, 4.36203, 4.22132, 4.29168, 4.36203, 4.15097, 4.22132, 4.29168, 4.36203]","[0.488094, 0.526937, 0.528019, 0.528929, 0.523951, 0.524606, 0.526286, 0.453877, 0.48871, 0.525788, 0.526846]","[0.0287134, 0.107233, 0.123268, 0.135263, 0.0349254, 0.0590267, 0.0962572, -0.0659646, 0.0560385, 0.0869209, 0.105759]","[0, 0, 0, 0, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187]",13/08/2025 22:05:56
15,"[4.22132, 4.29168, 4.36203, 4.43239, 4.22132, 4.29168, 4.36203, 4.43239, 4.22132, 4.29168, 4.36203, 4.43239, 4.22132, 4.29168, 4.36203]","[0.5238, 0.523719, 0.561219, 0.563567, 0.523639, 0.524263, 0.525601, 0.565471, 0.524596, 0.525798, 0.527211, 0.568143, 0.527205, 0.528473, 0.529809]","[-0.0263669, 0.0204325, 0.0603506, 0.105236, -0.0118664, 0.047943, 0.0831319, 0.130608, 0.0587324, 0.0871176, 0.111521, 0.159364, 0.111424, 0.1294, 0.145884]","[0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, 0.294373, 0.44156, 0.44156, 0.44156]",13/08/2025 22:05:57
13,"[4.15097, 4.22132, 4.29168, 4.43239, 4.29168, 4.15097, 4.22132, 4.29168, 4.36203, 4.15097, 4.22132, 4.29168, 4.43239]","[0.52449, 0.529976, 0.498283, 0.566404, 0.524362, 0.523968, 0.525482, 0.526578, 0.493351, 0.52388, 0.527047, 0.494969, 0.563745]","[0.0555269, 0.14782, 0.196192, 0.141339, 0.05137, 0.0357532, 0.0806366, 0.101336, 0.142939, 0.0312263, 0.108975, 0.162456, 0.107859]","[0, 0, 0, 0, -0.44156, -0.294373, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187]",13/08/2025 22:05:58
15,"[4.08061, 4.15097, 4.22132, 4.29168, 4.36203, 4.08061, 4.15097, 4.22132, 4.29168, 4.36203, 4.08061, 4.15097, 4.22132, 4.29168, 4.36203]","[0.563541, 0.563606, 0.56443, 0.566104, 0.527379, 0.566774, 0.565957, 0.566775, 0.569728, 0.533595, 0.531581, 0.530331, 0.530992, 0.533257, 0.532897]","[0.10484, 0.105817, 0.117438, 0.137988, 0.114062, 0.145374, 0.136312, 0.14538, 0.174085, 0.184495, 0.16515, 0.151827, 0.159022, 0.181396, 0.178043]","[0, 0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, 0.294373, 0.294373]",13/08/2025 22:05:59
6,"[4.43239, 4.36203, 4.43239, 4.22132, 4.36203, 4.43239]","[0.531317, 0.524845, 0.561626, 0.601954, 0.454123, 0.564793]","[0.162432, 0.0656328, 0.0702372, 0.115209, 0.0731987, 0.1222]","[0, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187]",13/08/2025 22:06:00
9,"[4.08061, 4.15097, 4.22132, 4.08061, 4.15097, 4.22132, 4.15097, 4.22132, 4.29168]","[0.52409, 0.524754, 0.489225, 0.524138, 0.523604, 0.523612, 0.568129, 0.604052, 0.602354]","[-0.0412164, -0.0632011, -0.0712308, 0.0431818, 0.00425911, 0.00681295, 0.159224, 0.139046, 0.120136]","[0, 0, 0, 0.147187, 0.147187, 0.147187, -0.147187, -0.147187, -0.147187]",13/08/2025 22:06:01
