numObj,x,y,z,velocity,timestamp
6,"[6.12091, 6.19127, 6.26163, 6.12091, 6.19127, 6.26163]","[0.225527, 0.225682, 0.224671, 0.224569, 0.225287, 0.224671]","[0.209075, 0.212243, 0.190632, 0.188292, 0.204098, 0.190623]","[0, 0, 0, 0.147187, 0.147187, 0.147187]",13/08/2025 21:56:37
9,"[6.12091, 6.19127, 6.26163, 6.33198, 6.12091, 6.19127, 6.26163, 6.19127, 6.19127]","[0.194718, 0.193987, 0.194631, 0.194659, 0.195658, 0.195368, 0.195928, 0.19864, 0.224196]","[0.249479, 0.234433, 0.247729, 0.248294, 0.267456, 0.262055, 0.272376, 0.317057, 0.17952]","[0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.294373, -0.147187]",13/08/2025 21:56:38
9,"[6.12091, 6.19127, 6.26163, 6.19127, 6.26163, 6.12091, 6.19127, 6.26163, 6.33198]","[0.227205, 0.227399, 0.227547, 0.224255, 0.225946, 0.224807, 0.225575, 0.226206, 0.193462]","[0.240912, 0.244301, 0.246845, 0.180921, 0.217512, 0.19368, 0.210061, 0.22257, 0.222918]","[0, 0, 0, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187]",13/08/2025 21:56:39
7,"[6.19127, 6.26163, 6.12091, 6.19127, 6.26163, 6.33198, 6.26163]","[0.225638, 0.25779, 0.227776, 0.227747, 0.260316, 0.25886, 0.261798]","[0.211357, 0.197258, 0.250737, 0.250262, 0.240147, 0.216552, 0.261786]","[0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373]",13/08/2025 21:56:43
7,"[6.12091, 6.19127, 6.26163, 6.12091, 6.19127, 6.26163, 6.19127]","[0.191898, 0.224571, 0.224849, 0.193341, 0.19366, 0.227003, 0.229628]","[0.184072, 0.188338, 0.194625, 0.220188, 0.227333, 0.237324, 0.280011]","[0, 0, 0, 0.147187, 0.147187, 0.147187, 0.294373]",13/08/2025 21:56:45
3,"[6.19127, 6.26163, 6.19127]","[0.228738, 0.228611, 0.224495]","[0.266399, 0.26439, 0.186586]","[0.147187, 0.147187, -0.147187]",13/08/2025 21:56:47
7,"[6.19127, 6.26163, 6.12091, 6.19127, 6.26163, 6.19127, 6.26163]","[0.227434, 0.228204, 0.228272, 0.228948, 0.22974, 0.23239, 0.232566]","[0.244904, 0.257834, 0.258948, 0.269688, 0.281682, 0.318105, 0.320342]","[0, 0, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373]",13/08/2025 21:56:48
14,"[6.19127, 6.26163, 6.33198, 6.19127, 6.26163, 6.33198, 6.40234, 6.26163, 6.33198, 6.40234, 6.19127, 6.26163, 6.19127, 6.26163]","[0.230172, 0.260442, 0.290809, 0.266823, 0.258696, 0.25808, 0.291885, 0.260554, 0.260369, 0.297114, 0.225641, 0.227282, 0.227847, 0.22926]","[0.28798, 0.24206, 0.195779, 0.323393, 0.213717, 0.202684, 0.213079, 0.243764, 0.240949, 0.281362, 0.211402, 0.24227, 0.251931, 0.274472]","[0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, -0.294373, -0.294373, -0.147187, -0.147187]",13/08/2025 21:56:49
7,"[6.12091, 6.19127, 6.26163, 6.19127, 6.12091, 6.19127, 6.26163]","[0.194933, 0.195672, 0.231344, 0.192548, 0.193889, 0.19412, 0.227768]","[0.253706, 0.267718, 0.304329, 0.201208, 0.232326, 0.237246, 0.250616]","[0, 0, 0, -0.294373, -0.147187, -0.147187, -0.147187]",13/08/2025 21:56:50
2,"[8.93513, 8.93513]","[0.192766, -1.0511]","[0.206599, 0.236794]","[0.147187, 0.147187]",13/08/2025 21:56:52
