numObj,x,y,z,velocity,x_static,y_static,z_static,velocity_static,timestamp
11,"[4.78416, 4.85452, 4.92487, 4.92487, 4.99523, 4.85452, 4.92487, 4.85452, 4.92487, 4.99523, 4.99523]","[-0.0344322, -0.0335187, 0, -0.067297, -0.069665, 0, 0, 0, 0, 0, -0.555434]","[0.432883, 0.36955, 0.364897, 0.377959, 0.455875, 0.238363, 0.250877, 0.284918, 0.290999, 0.301904, -0.779659]","[0, 0, 0, 0.147187, 0.147187, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:33:20
5,"[4.92487, 4.99523, 4.85452, 4.92487, 4.99523]","[-0.0330029, -0.033308, -0.032719, -0.0325123, -0.0328341]","[0.326847, 0.352865, 0.300214, 0.278953, 0.311338]","[0, 0, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:33:21
12,"[4.85452, 4.92487, 4.78416, 4.85452, 4.92487, 4.99523, 4.85452, 4.92487, 4.78416, 4.85452, 4.92487, 4.99523]","[0, 0, -0.0330296, -0.0329515, -0.0332334, 0, -0.0331501, -0.0334383, -0.0343617, -0.0332829, -0.0328037, 0.561134]","[0.136539, 0.508174, 0.329221, 0.322219, 0.346724, 0.442271, 0.339702, 0.363293, 0.428422, 0.350811, 0.308448, -0.349366]","[0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, -0.147187, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:33:22
17,"[4.78416, 4.85452, 4.92487, 4.78416, 4.85452, 4.92487, 4.78416, 4.85452, 4.92487, 4.85452, 4.92487, 4.99523, 5.06558, 4.78416, 4.85452, 4.92487, 4.99523]","[0, 0, 0, 0, 0, 0, 0, 0, 0, -0.0329476, -0.03306, -0.0337469, -0.0333776, -0.0333776, -0.0330157, -0.0327237, 0]","[0.312008, 0.318615, 0.321289, 0.338078, 0.332176, 0.357816, 0.389039, 0.386191, 0.409678, 0.321867, 0.331909, 0.386625, 0.358486, 0.358481, 0.327988, 0.300676, 0.280846]","[0, 0, 0, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, -0.294373, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:33:23
9,"[4.85452, 4.92487, 4.99523, 4.92487, 4.99523, 4.85452, 4.78416, 4.85452, 4.92487]","[-0.0323312, -0.0642378, -0.0320549, -0.0656168, -0.0653236, 0.0331344, 0, 0.0331867, 0.0332972]","[0.258689, 0.230218, 0.223819, 0.3072, 0.292743, 0.338358, 0.26984, 0.34281, 0.351984]","[0.147187, 0.147187, 0.147187, 0.294373, 0.294373, -0.294373, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:33:24
4,"[4.85452, 4.92487, 4.99523, 4.85452]","[0, 0.0353144, 0.035821, -0.0338875]","[0.446528, 0.484106, 0.510339, 0.396691]","[0.147187, 0.147187, 0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:33:25
0,"[]","[]","[]","[]","[0.491651, 0.608748, 1.27763]","[1.83217, 1.87069, 2.50315]","[-0.0994171, -0.103099, -0.147285]","[0, 0, 0]",28/06/2025 12:33:26
0,"[]","[]","[]","[]","[0.608748, 1.27763]","[1.87069, 2.50315]","[-0.103099, -0.147285]","[0, 0]",28/06/2025 12:33:27
0,"[]","[]","[]","[]","[0.491651, 0.608748, 1.27763]","[1.83217, 1.87069, 2.50315]","[-0.0994171, -0.103099, -0.147285]","[0, 0, 0]",28/06/2025 12:33:28
0,"[]","[]","[]","[]","[0.608748, 1.27763]","[1.87069, 2.50315]","[-0.103099, -0.147285]","[0, 0]",28/06/2025 12:33:29
2,"[4.78416, 4.85452]","[0.0341926, 0.0343218]","[0.41747, 0.42587]","[-0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:33:30
0,"[]","[]","[]","[]","[0.491651, 0.608748, 1.27763]","[1.83217, 1.87069, 2.50315]","[-0.0994171, -0.103099, -0.147285]","[0, 0, 0]",28/06/2025 12:33:31
2,"[4.78416, 4.85452]","[0, 0]","[0.394004, 0.431174]","[-0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:33:32
0,"[]","[]","[]","[]","[0.608748, 1.27763]","[1.87069, 2.50315]","[-0.103099, -0.147285]","[0, 0]",28/06/2025 12:33:33
4,"[4.78416, 4.85452, 4.78416, 4.85452]","[0, 0, 0, 0]","[0.284968, 0.261694, 0.347182, 0.331125]","[0, 0, 0.147187, 0.147187]","[]","[]","[]","[]",28/06/2025 12:33:34
0,"[]","[]","[]","[]","[0.491651, 0.608748, 1.27763]","[1.83217, 1.87069, 2.50315]","[-0.0994171, -0.103099, -0.147285]","[0, 0, 0]",28/06/2025 12:33:35
1,"[4.85452]","[0]","[0.346196]","[0.147187]","[]","[]","[]","[]",28/06/2025 12:33:36
1,"[4.85452]","[0]","[0.426917]","[0]","[]","[]","[]","[]",28/06/2025 12:33:37
0,"[]","[]","[]","[]","[0.491651, 0.608748, 1.27763]","[1.83217, 1.87069, 2.50315]","[-0.0994171, -0.103099, -0.147285]","[0, 0, 0]",28/06/2025 12:33:38
2,"[4.85452, 4.92487]","[-0.0335757, -0.0680129]","[0.373906, 0.403604]","[0.147187, 0.147187]","[]","[]","[]","[]",28/06/2025 12:33:39
