numObj,x,y,z,velocity,timestamp
1,"[5.02182]","[0]","[1.07667]","[-0.147187]",21/10/2025 19:04:41
5,"[4.90241, 5.0262, 4.90477, 4.9639, 5.03305]","[0.1583, 0, 0, 0, 0]","[1.26548, 1.05605, 0.946339, 1.00987, 1.02287]","[0, 0, 0.147187, 0.147187, 0.147187]",21/10/2025 19:04:42
14,"[4.8694, 5.00763, 5.0791, 5.17083, 4.76906, 4.83329, 4.90982, 4.99467, 5.09148, 4.79248, 4.88303, 4.97417, 4.94243, 4.97327]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.316599, 0.481494]","[1.11413, 0.764076, 0.761993, 0.606616, 1.22902, 1.2616, 1.24653, 1.19629, 1.08736, 1.4087, 1.34765, 1.27887, 1.06411, 1.18853]","[0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, -0.147187, -0.147187]",21/10/2025 19:04:44
10,"[4.73767, 4.79835, 4.88993, 4.94323, 4.90137, 4.96751, 4.81712, 4.88524, 4.92216, 4.9607]","[0.153902, 0.156101, 0.156101, 0.316599, 0.156101, 0.1583, 0.153902, 0.156101, 0.316599, 0.160498]","[1.33609, 1.37979, 1.00821, 1.06038, 0.951088, 0.979265, 1.01294, 1.0307, 1.15423, 1.32044]","[0, 0, -0.44156, -0.44156, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187]",21/10/2025 19:04:45
3,"[4.93524, 4.89739, 4.90806]","[0.1583, 0.1583, 0.160498]","[1.1307, 1.28478, 1.50436]","[0, 0.147187, 0.147187]",21/10/2025 19:04:46
9,"[4.52601, 4.73431, 4.93423, 4.46362, 4.63994, 4.85489, 4.39515, 4.51969, 4.72002]","[0.455111, 0.461707, 0.468303, 0.455111, 0.461707, 0.468303, 0.455111, 0.461707, 0.468303]","[1.69543, 1.27573, 0.621635, 1.85345, 1.58498, 1.07843, 2.01045, 1.90095, 1.56665]","[0, 0, 0, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373]",21/10/2025 19:04:48
10,"[4.88641, 4.96173, 4.91755, 4.92939, 5.05311, 5.08805, 5.12864, 5.17637, 4.94738, 5.00314]","[0.316599, 0.320996, 0.48809, 0.494686, 0.48809, 0.494686, 0.48809, 0.494686, 0.474899, 0.641993]","[1.29727, 1.2869, 1.6386, 1.81645, 1.15472, 1.3077, 0.751199, 0.896404, 0.978801, 0.966605]","[0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.44156, 0.44156, -0.147187, -0.147187]",21/10/2025 19:04:49
7,"[4.82706, 4.89758, 4.37602, 4.72285, 4.78025, 4.85447, 5.01447]","[0.461707, 0.624404, 0.481494, 0.455111, 0.461707, 0.468303, 0.802491]","[0.860622, 0.759028, 2.64508, 1.02659, 1.09105, 1.08035, 0.767476]","[-0.44156, -0.44156, -0.44156, -0.294373, -0.294373, -0.294373, -0.147187]",21/10/2025 19:04:50
13,"[4.57482, 4.63123, 4.83845, 4.82981, 4.84247, 4.5576, 4.59224, 4.83972, 4.80995, 4.80886, 4.53723, 4.84419, 4.7592]","[0.441919, 0.448515, 0.303407, 0.461707, 0.312202, 0.44192, 0.448515, 0.303407, 0.461707, 0.312202, 0.448515, 0.307805, 0.312202]","[1.04674, 1.11299, 0.252365, 0.845097, 1.18545, 1.11936, 1.26426, 0.226687, 0.951613, 1.31519, 1.44933, 0.832715, 1.48487]","[0, 0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373]",21/10/2025 19:04:51
11,"[4.62956, 4.66343, 4.88507, 4.97457, 4.89203, 4.95853, 4.99776, 4.84283, 4.66649, 4.74133, 4.79662]","[0.455111, 0.615609, 0, 0, 0, 0, 0.162697, 0, 0.455111, 0.461707, 0.312202]","[1.38796, 1.45871, 1.34024, 1.27732, 1.31461, 1.33823, 1.44964, 1.71022, 1.25822, 1.24941, 1.35915]","[0.147187, 0.147187, -0.588746, -0.588746, -0.44156, -0.44156, -0.44156, -0.294373, -0.147187, -0.147187, -0.147187]",21/10/2025 19:04:53
6,"[4.61926, 4.65262, 4.68648, 4.56958, 4.61346, 4.64827]","[0.29901, 0.303407, 0.307805, 0.29901, 0.303407, 0.307805]","[1.20882, 1.35181, 1.48209, 1.38483, 1.47995, 1.59787]","[0, 0, 0, 0.147187, 0.147187, 0.147187]",21/10/2025 19:04:56
4,"[4.78437, 4.85375, 4.73315, 4.79694]","[0.307805, 0.312202, 0.307805, 0.312202]","[1.12669, 1.1384, 1.32548, 1.35801]","[0, 0, 0.147187, 0.147187]",21/10/2025 19:04:57
6,"[4.74451, 4.81212, 4.84724, 4.80765, 4.87149, 4.90587]","[0.153902, 0.312202, 0.474899, 0.153902, 0.156101, 0.1583]","[1.31161, 1.3032, 1.39245, 1.05695, 1.09386, 1.25202]","[0.147187, 0.147187, 0.147187, -0.147187, -0.147187, -0.147187]",21/10/2025 19:04:58
13,"[4.71834, 4.7993, 4.84411, 4.91268, 4.84187, 4.91184, 4.97989, 4.7647, 4.81912, 4.88699, 4.96271, 7.3871, 1.86693]","[0.303407, 0.307805, 0.468303, 0.474899, 0.461707, 0.468303, 0.474899, 0.303407, 0.461707, 0.468303, 0.474899, 0.235251, 4.94026]","[1.10072, 1.06128, 1.12589, 1.14025, 0.772979, 0.779013, 0.797088, 0.878586, 0.904055, 0.922147, 0.89783, 1.43055, -5.36465]","[0, 0, 0, 0, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187]",21/10/2025 19:04:59
12,"[4.45181, 4.83001, 4.90237, 4.98774, 4.69035, 4.72732, 4.89092, 4.95204, 4.99651, 4.88573, 4.93911, 5.01197]","[0.29901, 0.307805, 0.312202, 0.316599, 0.307805, 0.468303, 0.307805, 0.312202, 0.474899, 0.153902, 0.312202, 0.316599]","[1.72632, 0.911398, 0.906455, 0.826065, 1.46979, 1.54449, 0.488452, 0.57629, 0.685196, 0.600271, 0.678227, 0.663372]","[0, 0, 0, 0, 0.147187, 0.147187, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187]",21/10/2025 19:05:00
6,"[4.68655, 4.77531, 4.77865, 4.90699, 4.82482, 4.89594]","[0.461707, 0.624404, 0.468303, 0.474899, 0.153902, 0.156101]","[1.44133, 1.32623, 1.3775, 1.16452, 0.975605, 0.978613]","[0, 0, 0.147187, 0.147187, -0.147187, -0.147187]",21/10/2025 19:05:01
7,"[4.66311, 4.75236, 4.82942, 4.59609, 4.64034, 4.75619, 4.84004]","[0.455111, 0.461707, 0.468303, 0.303407, 0.307805, 0.303407, 0.307805]","[1.27067, 1.20676, 1.18733, 1.53306, 1.62076, 0.92354, 0.856549]","[0, 0, 0, 0.147187, 0.147187, -0.147187, -0.147187]",21/10/2025 19:05:02
7,"[4.65005, 4.72474, 4.79969, 4.85739, 4.75807, 4.8343, 4.78147]","[0.303407, 0.307805, 0.312202, 0.474899, 0, 0.156101, 0.624404]","[1.36064, 1.35518, 1.34825, 1.35661, 1.27089, 1.24801, 1.30382]","[0, 0, 0, 0, 0.147187, 0.147187, -0.147187]",21/10/2025 19:05:03
9,"[4.68179, 4.75686, 4.65071, 4.709, 4.80036, 4.60448, 4.66432, 4.78022, 4.86124]","[0.455111, 0.615609, 0.303407, 0.461707, 0.468303, 0.303407, 0.461707, 0.153902, 0.156101]","[1.20004, 1.117, 1.35838, 1.36622, 1.29983, 1.50768, 1.51174, 1.17483, 1.13854]","[0, 0, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, -0.147187, -0.147187]",21/10/2025 19:05:04
2,"[4.81241, 4.84857]","[0.461707, 0.624404]","[0.939095, 1.02654]","[-0.147187, -0.147187]",21/10/2025 19:05:06
9,"[4.87502, 4.95608, 4.70509, 4.76014, 4.95499, 4.97644, 4.74091, 4.81231, 4.8578]","[0.312202, 0.1583, 0.151704, 0.307805, 0.156101, 0.1583, 0.303407, 0.307805, 0.468303]","[1.04357, 1.03553, 1.1855, 1.22502, 0.613197, 0.932813, 0.999012, 1.00066, 1.06526]","[0, 0, 0.147187, 0.147187, 0.147187, 0.147187, -0.147187, -0.147187, -0.147187]",21/10/2025 19:05:09
11,"[4.57068, 4.7122, 4.84745, 4.89395, 4.91512, 4.50501, 4.8531, 4.9175, 4.97059, 4.89536, 4.94655]","[0.303407, 0.307805, 0.156101, 0.1583, 0.160498, 0.303407, 0.468303, 0.474899, 0.1583, 0.156101, 0.1583]","[1.60722, 1.39814, 1.19591, 1.29783, 1.48114, 1.78302, 1.08649, 1.11929, 0.963497, 0.981545, 1.08015]","[0, 0, 0, 0, 0, 0.147187, 0.147187, 0.147187, -0.294373, -0.147187, -0.147187]",21/10/2025 19:05:10
4,"[4.87049, 4.94074, 4.93308, 4.97706]","[0.312202, 0.316599, 0.312202, 0.474899]","[1.06449, 1.07191, 0.720804, 0.814548]","[0.147187, 0.147187, -0.147187, -0.147187]",21/10/2025 19:05:11
8,"[4.5687, 4.66765, 4.75651, 4.80258, 4.81415, 4.70158, 4.78756, 4.82907]","[0.29901, 0.303407, 0.307805, 0.468303, 0.307805, 0.303407, 0.307805, 0.468303]","[1.38772, 1.29897, 1.23906, 1.2916, 0.991782, 1.17022, 1.11308, 1.18872]","[0, 0, 0, 0, -0.294373, -0.147187, -0.147187, -0.147187]",21/10/2025 19:05:12
3,"[4.7184, 4.74646, 4.84148]","[0.303407, 0.307805, 0.312202]","[1.10045, 1.27701, 1.18951]","[0, 0, 0]",21/10/2025 19:05:14
2,"[4.78044, 4.70176]","[0.153902, 0]","[1.17392, 1.46555]","[0, 0.147187]",21/10/2025 19:05:15
1,"[4.67075]","[0.307805]","[1.53093]","[0.147187]",21/10/2025 19:05:16
2,"[4.76988, 4.74255]","[0.153902, 0.153902]","[1.2161, 1.31869]","[0, 0.147187]",21/10/2025 19:05:17
4,"[4.70921, 4.78139, 4.66776, 4.7391]","[0.151704, 0.153902, 0.151704, 0.153902]","[1.16906, 1.17005, 1.32491, 1.33101]","[0, 0, 0.147187, 0.147187]",21/10/2025 19:05:22
2,"[4.984, 4.91515]","[0.316599, 0.312202]","[0.848306, 0.834359]","[0, -0.147187]",21/10/2025 19:05:23
9,"[4.74771, 4.79369, 4.75861, 5.20375, 4.88623, 4.92507, 4.82827, 4.8924, 4.91974]","[-0.153902, -0.156101, 0.468303, 0.162697, 0, 0.156101, 0, 0, 0.1583]","[1.29997, 1.39589, 1.44522, 0.00407907, 0.615775, 0.819552, 0.970689, 1.00835, 1.19633]","[0, 0, 0.147187, -0.44156, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187]",21/10/2025 19:05:24
2,"[4.78134, 4.78605]","[0.303407, 0.455111]","[0.782967, 0.67305]","[0, -0.147187]",21/10/2025 19:05:25
5,"[4.49096, 4.6174, 4.75973, 4.62101, 4.71801]","[0.147307, 0.149505, 0.151704, 0.149505, 0.303407]","[1.42463, 1.24316, 0.942479, 1.22967, 1.10214]","[0, 0, 0, -0.147187, -0.147187]",21/10/2025 19:05:26
3,"[4.41314, 4.34282, 4.47646]","[0.147307, 0.147307, 0.149505]","[1.64999, 1.82706, 1.68142]","[0, 0.147187, 0.147187]",21/10/2025 19:05:27
1,"[4.66316]","[0.151704]","[1.34099]","[0.147187]",21/10/2025 19:05:31
2,"[4.85388, 4.9068]","[0.153902, 0.312202]","[0.818882, 0.882153]","[0, 0]",21/10/2025 19:05:36
5,"[4.75112, 4.83388, 4.71643, 4.79028, 4.86784]","[0.307805, 0.312202, 0.307805, 0.312202, 0.316599]","[1.25958, 1.22001, 1.38382, 1.38134, 1.36529]","[0, 0, 0.147187, 0.147187, 0.147187]",21/10/2025 19:05:37
1,"[4.67751]","[0.461707]","[1.47042]","[-0.147187]",21/10/2025 19:05:40
7,"[4.41731, 4.67345, 4.75785, 4.52306, 4.69547, 4.75284, 4.78194]","[0.29901, 0, 0.156101, 0.29901, 0.151704, 0.153902, 0.156101]","[1.81279, 1.55347, 1.51353, 1.52995, 1.22309, 1.28109, 1.43563]","[0, 0, 0, -0.147187, -0.147187, -0.147187, -0.147187]",21/10/2025 19:05:41
1,"[4.43212]","[0.303407]","[1.95718]","[0.147187]",21/10/2025 19:05:42
3,"[4.65859, 4.49238, 4.10531]","[0.1583, 0, 0]","[1.98308, 2.34066, 3.08615]","[0, 0.147187, 0.147187]",21/10/2025 19:05:43
5,"[4.71141, 4.76277, 4.67731, 4.746, 4.83785]","[0.455111, 0.461707, 0.455111, 0.461707, 0.468303]","[1.07787, 1.16502, 1.21737, 1.23154, 1.15247]","[0, 0, 0.147187, 0.147187, 0.147187]",21/10/2025 19:05:45
2,"[4.92442, 4.9754]","[0.468303, 0.474899]","[0.695049, 0.824609]","[-0.147187, -0.147187]",21/10/2025 19:05:46
4,"[4.73354, 4.83872, 4.90142, 4.68292]","[0.307805, 0.312202, 0.316599, 0.461707]","[1.32409, 1.2007, 1.23935, 1.45309]","[0.147187, 0.147187, 0.147187, -0.147187]",21/10/2025 19:05:47
6,"[4.64267, 4.69539, 4.75048, 4.80506, 4.86868, 4.95062]","[0.151704, 0.153902, 0.156101, 0.461707, 0.624404, 0.633198]","[1.41029, 1.47784, 1.53653, 0.976001, 0.926511, 0.866334]","[0.147187, 0.147187, 0.147187, -0.147187, -0.147187, -0.147187]",21/10/2025 19:05:48
6,"[4.94219, 4.98334, 4.97102, 4.99454, 4.93951, 4.95519]","[0.156101, 0.316599, 0.156101, 0.1583, 0.481494, 0.48809]","[0.709041, 0.852186, 0.465716, 0.830456, 1.32184, 1.52098]","[0, 0, 0.147187, 0.147187, -0.294373, -0.294373]",21/10/2025 19:05:50
13,"[4.87784, 4.99826, 5.08955, 5.17373, 4.85884, 5.02566, 5.0818, 5.14947, 5.21937, 4.94252, 5.05729, 5.12812, 5.18924]","[0.474899, 0.320996, 0.325393, 0.164895, 0.641992, 0.48809, 0.320996, 0.325393, 0.164895, 0.316599, 0.320996, 0.325393, 0.329791]","[1.28115, 1.13678, 1.04693, 1.02388, 1.53538, 1.26887, 0.670904, 0.694681, 0.757666, 1.0637, 0.835869, 0.837876, 0.897831]","[0, 0, 0, 0, 0.147187, 0.147187, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187]",21/10/2025 19:05:51
9,"[4.87262, 4.65343, 4.85443, 4.92208, 4.82057, 4.86481, 4.8182, 4.70272, 4.77098]","[0.474899, 0.151704, 0.461707, 0.468303, 0.461707, 0.468303, 0.461707, 0.303407, 0.307805]","[1.30084, 1.37439, 0.689732, 0.711429, 0.896261, 1.03276, 0.908913, 1.16564, 1.1821]","[0, 0.147187, -0.588746, -0.588746, -0.44156, -0.44156, -0.294373, -0.147187, -0.147187]",21/10/2025 19:05:52
12,"[4.71382, 4.76173, 5.04179, 4.66862, 4.72958, 4.95688, 5.02342, 4.50472, 4.60364, 4.69304, 4.39932, 4.52599]","[0.606815, 0.615609, 0.316599, 0.606815, 0.615609, 0.312202, 0.316599, 0.448515, 0.606815, 0.615609, 0.448515, 0.455111]","[0.988929, 1.09604, 0.374564, 1.18409, 1.2274, 0.53312, 0.570244, 1.54744, 1.41583, 1.36044, 1.82565, 1.69548]","[0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, 0.44156, 0.44156]",21/10/2025 19:05:53
3,"[4.88101, 4.84285, 4.9306]","[0.474899, 0.474899, 0.481494]","[1.26902, 1.40763, 1.3547]","[0, 0.147187, 0.147187]",21/10/2025 19:05:54
12,"[4.88689, 4.95297, 4.98285, 5.01181, 4.95527, 4.97417, 4.94818, 5.01778, 4.81023, 4.89222, 4.97757, 5.04335]","[0.468303, 0.316599, 0.320996, 0.325393, 0.474899, 0.481494, 0.316599, 0.320996, 0.312202, 0.316599, 0.320996, 0.325393]","[0.922677, 1.0139, 1.20253, 1.37163, 0.938049, 1.18479, 1.03704, 1.04726, 1.31018, 1.27517, 1.2242, 1.25072]","[0, 0, 0, 0, 0.147187, 0.147187, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187]",21/10/2025 19:05:56
9,"[4.94197, 4.99561, 5.01229, 4.91652, 4.97387, 4.98275, 5.05534, 4.9554, 4.97841]","[0.624404, 0.474899, 0.481494, 0.624404, 0.474899, 0.481494, 0.48809, 0.474899, 0.481494]","[0.373262, 0.691761, 1.01146, 0.62474, 0.833817, 1.14814, 1.14491, 0.937331, 1.16684]","[0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373]",21/10/2025 19:05:58
9,"[4.61147, 4.67459, 4.72295, 4.68289, 4.73558, 4.78715, 4.64343, 4.68948, 4.73112]","[0.303407, 0.307805, 0.468303, 0.455111, 0.461707, 0.468303, 0.303407, 0.461707, 0.468303]","[1.48614, 1.51915, 1.55779, 1.19574, 1.27103, 1.34768, 1.38307, 1.43178, 1.53281]","[0, 0, 0, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187]",21/10/2025 19:05:59
5,"[4.79408, 4.84905, 4.72566, 4.76886, 4.71843]","[0.468303, 0.474899, 0.468303, 0.474899, 0.641993]","[1.3228, 1.38611, 1.54955, 1.64091, 1.92409]","[0, 0, 0.147187, 0.147187, 0.147187]",21/10/2025 19:06:00
3,"[4.82889, 4.88505, 4.9824]","[0.461707, 0.461707, 0.162697]","[0.850335, 0.421293, 1.50156]","[0, 0.147187, -0.147187]",21/10/2025 19:06:01
