numObj,x,y,z,velocity,timestamp
37,"[1.05533, 1.12569, 1.19604, 1.2664, 1.33675, 1.40711, 1.40711, 1.47746, 1.12569, 1.19604, 1.2664, 1.33675, 1.33675, 1.40711, 1.47746, 1.47746, 1.54782, 1.33675, 1.40711, 1.47746, 1.54782, 1.40711, 1.47746, 1.54782, 1.12569, 1.19604, 1.2664, 1.33675, 1.40711, 1.47746, 1.05533, 1.12569, 1.19604, 1.2664, 1.33675, 1.40711, 1.47746]","[0.0320565, 0.0321775, 0.032236, 0.0640879, 0.126806, -0.156941, 0.192825, -0.0627498, 0.032341, 0.0324654, 0, 0.220549, -0.151821, 0.25269, 0.25382, -0.470882, 0.189836, 0.220543, 0.221707, 0.221859, 0.220912, 0.22201, 0.221678, 0.220747, 0.0317633, 0.0637352, 0.0640621, 0.0334755, -0.125353, -0.0939892, 0.0318689, 0.0319174, 0.0319763, 0.0643407, 0.0705137, -0.156896, -0.0940571]","[0.224035, 0.239978, 0.247281, 0.220033, 0.152445, 0.0246275, 0.208037, -0.0815987, 0.259824, 0.273865, 0.62372, 0.0119975, -0.902203, 0.00864151, -0.0937753, -1.36265, -0.112719, 0.00945502, -0.102113, -0.108493, -0.058072, -0.114439, -0.100846, -0.0435983, 0.179094, 0.193777, 0.218223, 0.366205, 0.0201772, 0.0463781, 0.19655, 0.204036, 0.212753, 0.236936, 0.479799, 0.00616707, 0.0599131]","[0, 0, 0, 0, 0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, 0.294373, 0.44156, 0.44156, 0.44156, -0.294373, -0.294373, -0.294373, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187]",13/08/2025 21:34:03
27,"[1.05533, 1.12569, 1.19604, 1.2664, 1.33675, 1.40711, 1.47746, 0.984975, 1.05533, 1.12569, 1.19604, 1.2664, 1.33675, 1.40711, 1.47746, 1.05533, 1.12569, 1.19604, 1.2664, 1.33675, 1.40711, 1.47746, 1.05533, 1.12569, 1.2664, 1.33675, 1.40711]","[-0.0314955, 0, -0.0941973, -0.156895, -0.156911, -0.156961, -0.157173, -0.0627126, -0.0315237, 0, -0.0945684, -0.188644, -0.188778, -0.188887, -0.157417, -0.0316683, 0, -0.126118, -0.188841, -0.189106, -0.189284, -0.157832, -0.0312565, 0, -0.189009, -0.188646, -0.188721]","[0.123613, 0.138472, 0.0809615, -0.00473483, 0.0152004, 0.0293469, 0.0594894, 0.0740028, 0.130607, 0.141871, 0.119861, 0.0170178, 0.0410889, 0.0532266, 0.0812838, 0.161688, 0.177257, 0.111737, 0.0485296, 0.071526, 0.0835155, 0.108715, 0.00964191, 0.0295461, -0.0640861, -0.0175801, -0.0330566]","[0, 0, 0, 0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, 0.294373, 0.294373, 0.294373, 0.294373, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187]",13/08/2025 21:34:04
36,"[1.05533, 1.12569, 1.19604, 1.2664, 1.33675, 1.40711, 1.47746, 1.05533, 1.12569, 1.19604, 1.2664, 1.33675, 1.40711, 1.47746, 1.05533, 1.12569, 1.19604, 1.2664, 1.19604, 1.2664, 1.2664, 1.33675, 1.40711, 1.47746, 1.54782, 1.61817, 1.68853, 1.12569, 1.19604, 1.2664, 1.33675, 1.40711, 1.47746, 1.54782, 1.61817, 1.68853]","[-0.0317254, 0, 0, 0, 0, 0, 0.0313543, -0.0319279, 0, 0, 0.0319417, 0, 0, 0, -0.0322461, -0.0320339, 0, 0, -0.0331119, 0, -0.0313, 0, 0.0312562, 0.0312699, -0.0328685, -0.0321775, -0.0947297, -0.0314157, -0.0314045, -0.0313484, 0, 0.0312606, 0.0312883, 0.0627151, 0, -0.0630739]","[0.172381, 0.164837, 0.153271, 0.132838, 0.0703966, 0.0470788, 0.0795607, 0.205619, 0.200861, 0.193688, 0.207679, 0.0398251, 0.082262, 0.100635, 0.248523, 0.220919, 0.290462, 0.335876, 0.336424, 0.342496, 0.0535872, 0.00219821, -0.00839805, 0.0308185, -0.314571, -0.239974, -0.133214, 0.101133, 0.0975687, 0.0771484, 0.0267468, 0.0188078, 0.0460567, -0.0745365, -0.227395, -0.130027]","[0, 0, 0, 0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, 0.294373, 0.44156, 0.44156, -0.294373, -0.294373, -0.294373, -0.294373, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187]",13/08/2025 21:34:05
27,"[1.19604, 1.2664, 1.33675, 1.40711, 1.47746, 1.54782, 1.61817, 1.2664, 1.33675, 1.40711, 1.47746, 1.54782, 1.61817, 1.68853, 1.47746, 1.54782, 1.61817, 1.19604, 1.2664, 1.33675, 1.40711, 1.19604, 1.2664, 1.33675, 1.40711, 1.47746, 1.54782]","[-0.0652565, -0.066698, -0.0667675, -0.135949, 0.125711, 0.125882, 0.126033, -0.032854, -0.0314147, 0, 0.125573, 0.125848, 0.12565, 0.125515, 0.1254, 0.125479, 0.125411, -0.064415, -0.0326262, -0.0641352, -0.0631775, -0.0650537, -0.0328905, -0.0641771, -0.0630398, -0.270196, -0.241729]","[0.289315, 0.35469, 0.357484, 0.3968, -0.0778648, -0.0935784, -0.105559, 0.313211, 0.100844, 0.066693, -0.062391, -0.0907295, -0.0714729, -0.0544649, -0.0337551, -0.0489879, -0.0363572, 0.241659, 0.290894, 0.223297, 0.142004, 0.278668, 0.316618, 0.226151, 0.125825, 0.610199, 0.67089]","[0, 0, 0, 0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, -0.294373, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187]",13/08/2025 21:34:06
34,"[1.33675, 1.33675, 1.40711, 1.40711, 1.47746, 1.47746, 1.54782, 1.54782, 1.61817, 1.61817, 1.19604, 1.2664, 1.33675, 1.40711, 1.47746, 1.54782, 1.2664, 1.33675, 1.40711, 1.47746, 1.47746, 1.2664, 1.33675, 1.40711, 1.47746, 1.54782, 1.61817, 1.19604, 1.2664, 1.33675, 1.40711, 1.47746, 1.54782, 1.61817]","[-0.198099, 0.126589, -0.194963, 0.127625, -0.18877, 0.125445, 0.126913, -0.30733, 0.0950304, -0.427568, -0.0314172, -0.0312801, -0.0625497, -0.0625508, -0.0939751, -0.126819, -0.0626519, -0.0626011, -0.0625997, -0.125462, 0.231822, 0, 0.0312974, 0.0626822, 0.094228, 0.0628066, 0.0950051, -0.0312663, 0, 0, 0.0312584, 0.0625472, 0.0946056, 0.0949189]","[-0.308739, 0.140881, -0.254298, 0.189527, 0.0400724, -0.0431768, -0.15778, 0.76251, -0.154988, 0.923659, 0.101602, 0.0400122, 0.0169359, 0.0178886, 0.0430142, 0.153121, 0.0595294, 0.0438823, 0.0433867, 0.0460836, -0.310711, -0.0565949, -0.0519828, -0.0671467, -0.0848619, -0.0919811, -0.153281, 0.0267602, -0.0203725, -0.0215399, -0.0146381, -0.0143655, -0.123074, -0.147309]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, 0.294373, -0.44156, -0.294373, -0.294373, -0.294373, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187]",13/08/2025 21:34:07
30,"[1.19604, 1.2664, 1.33675, 1.40711, 1.47746, 1.54782, 1.19604, 1.33675, 1.33675, 1.40711, 1.47746, 1.54782, 1.61817, 1.54782, 1.61817, 1.68853, 1.61817, 1.68853, 1.33675, 1.40711, 1.19604, 1.2664, 1.33675, 1.40711, 1.54782, 1.19604, 1.2664, 1.33675, 1.40711, 1.54782]","[-0.156922, -0.157011, -0.157066, -0.188888, -0.0631872, -0.0949163, -0.0646987, 0.0312559, -0.549814, 0, 0, 0.0645975, 0.158369, 0.0944603, 0.0940491, 0.125335, 0.0939023, 0.0939337, -0.188633, -0.189, -0.157061, -0.156929, -0.156898, -0.156917, -0.12723, -0.156902, -0.156899, -0.156921, -0.157014, -0.126472]","[0.0191809, 0.038608, 0.0468212, 0.0533092, -0.143074, -0.147122, 0.258828, 0.007003, 0.929726, 0.0310255, 0.00925375, -0.252854, -0.136074, -0.109982, -0.0584719, -0.0105428, -0.0175015, 0.0311852, -0.0132307, 0.0633492, -0.0461457, -0.0213335, -0.00817677, 0.0175724, -0.172687, -0.0105164, 0.00871257, 0.0189539, 0.039116, -0.13425]","[0, 0, 0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, 0.44156, 0.44156, -0.44156, -0.44156, -0.294373, -0.294373, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187]",13/08/2025 21:34:08
19,"[1.33675, 1.40711, 1.47746, 1.54782, 1.19604, 1.2664, 1.33675, 1.40711, 1.47746, 1.54782, 1.33675, 1.40711, 1.47746, 1.19604, 1.2664, 1.33675, 1.40711, 1.47746, 1.54782]","[0.194485, 0.192916, 0.192398, 0.193555, -0.0320308, -0.0323168, 0.16283, 0.159864, 0.15941, 0.191586, 0.160563, 0.158791, 0.158643, -0.0315803, 0, 0.0665744, 0.163021, 0.161964, 0.16044]","[-0.24479, -0.210231, -0.197395, -0.225012, 0.220488, 0.256995, -0.269737, -0.192302, -0.177194, -0.175224, -0.213337, -0.154113, -0.148044, 0.143621, 0.174678, 0.349649, -0.273901, -0.249832, -0.20978]","[0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187]",13/08/2025 21:34:09
37,"[1.19604, 1.2664, 1.33675, 1.40711, 1.47746, 1.47746, 1.54782, 1.61817, 7.66873, 1.19604, 1.2664, 1.33675, 1.40711, 1.47746, 1.54782, 1.61817, 7.66873, 1.2664, 1.33675, 1.40711, 1.40711, 1.47746, 1.54782, 1.19604, 1.2664, 1.47746, 1.54782, 1.61817, 1.12569, 1.19604, 1.2664, 1.33675, 1.40711, 1.47746, 1.47746, 1.54782, 1.61817]","[-0.0646751, -0.0338372, -0.0938888, -0.0314307, 0.0626661, -0.350056, 0.0627466, 0.0945882, -0.220675, -0.0957216, -0.0944951, -0.0941063, -0.0627023, -0.267333, -0.192367, -0.126566, -0.253525, -0.126121, -0.0942521, -0.0315523, -0.556863, -0.25974, -0.223509, -0.0631931, -0.0630848, 0.125379, 0.0948109, 0.0954843, -0.0638589, -0.0635401, -0.0634188, -0.125448, -0.0939526, 0.156909, -0.863291, 0.0946105, 0.0951035]","[0.257451, -0.393127, -0.0043939, 0.105738, 0.0632095, -0.609229, -0.0809627, -0.121579, 0.0355187, 0.195759, 0.113259, 0.0680472, 0.0717591, -0.328906, -0.196594, -0.139621, 0.0807985, 0.111927, 0.087815, 0.137341, -0.781978, -0.231124, -0.162012, 0.143717, 0.131339, -0.0286056, -0.139446, -0.182844, 0.203394, 0.177475, 0.16649, 0.0437428, -0.0370518, -0.01406, -1.32151, -0.123493, -0.159825]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, 0.294373, 0.294373, 0.294373, -0.294373, -0.294373, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187]",13/08/2025 21:34:10
40,"[1.19604, 1.2664, 1.33675, 1.40711, 1.47746, 1.54782, 1.54782, 1.61817, 1.19604, 1.2664, 1.33675, 1.40711, 1.47746, 1.54782, 1.61817, 1.19604, 1.2664, 1.33675, 1.40711, 1.47746, 1.54782, 1.61817, 1.40711, 1.47746, 1.54782, 1.40711, 1.47746, 1.2664, 1.33675, 1.40711, 1.47746, 1.54782, 1.61817, 1.19604, 1.2664, 1.33675, 1.40711, 1.47746, 1.54782, 1.61817]","[0, -0.0941008, -0.0939001, -0.0939325, -0.126687, -0.196181, 0.167403, -0.158791, -0.0318984, 0, 0, 0.0625593, 0.0948053, 0.127816, 0.126978, -0.0321339, -0.0322484, 0.0939048, 0.0939121, 0.125757, 0.126368, 0.158371, 0.125338, 0.156963, 0.157282, -0.157021, -0.15699, -0.0939039, -0.0938957, -0.093888, -0.125524, -0.127024, -0.0954437, -0.0315968, -0.0625795, -0.0625468, -0.0625626, -0.0938879, -0.126363, -0.095011]","[0.129535, 0.0671776, 0.0161281, 0.0307734, 0.146247, 0.276899, -0.354707, 0.154145, 0.201142, 0.207483, 0.152753, -0.0243192, -0.139024, -0.197115, -0.160957, 0.234377, 0.248806, 0.0189806, -0.0226902, -0.0824135, -0.128069, -0.136187, 0.0129856, -0.029667, -0.0700472, 0.0401633, 0.0350551, -0.0184257, -0.0128691, 0.00184517, -0.0557266, -0.163181, -0.180538, 0.147179, 0.0351812, 0.0138683, 0.0263965, 0.00117381, -0.127725, -0.153685]","[0, 0, 0, 0, 0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, 0.294373, 0.294373, 0.294373, 0.294373, 0.44156, 0.44156, 0.44156, -0.44156, -0.44156, -0.294373, -0.294373, -0.294373, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187]",13/08/2025 21:34:11
38,"[1.2664, 1.33675, 1.40711, 1.47746, 1.47746, 1.54782, 1.54782, 1.61817, 7.66873, 1.12569, 1.19604, 1.2664, 1.33675, 1.40711, 1.47746, 1.54782, 7.66873, 7.73909, 1.2664, 1.33675, 1.40711, 1.47746, 1.54782, 1.61817, 7.66873, 1.47746, 1.54782, 1.33675, 1.40711, 1.54782, 1.12569, 1.19604, 1.2664, 1.33675, 1.40711, 1.47746, 1.54782, 1.61817]","[-0.0625555, -0.0939314, -0.0941316, 0.0626874, -0.266058, 0.0948718, -0.561357, 0.0638935, -0.222638, -0.095588, -0.063326, -0.0939113, -0.093893, -0.0938918, -0.0939137, -0.221602, -0.223628, -0.222828, -0.0939024, -0.125477, -0.12555, -0.157064, -0.222284, -0.220894, -0.224105, 0.16086, 0.15916, 0.0942298, 0.0628848, 0.189535, -0.0628572, -0.0628643, 0, -0.0645776, 0.0626006, 0.0628613, 0.032253, 0.0640611]","[-0.0216616, -0.030382, -0.0718691, -0.06836, -0.588149, -0.143936, 1.01416, -0.206004, 0.136476, 0.188604, 0.15754, -0.0223146, 0.0104624, 0.00909579, -0.0233957, -0.0974645, 0.165185, 0.142449, 0.0175762, 0.04863, 0.0592865, -0.0464879, -0.124564, -0.056698, 0.177308, -0.221622, -0.168273, 0.0850951, 0.104581, -0.0979308, 0.100322, 0.101436, -0.0098765, 0.251657, 0.0437139, -0.100963, -0.249364, -0.218151]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, 0.294373, 0.294373, 0.294373, 0.294373, -0.44156, -0.44156, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187]",13/08/2025 21:34:12
