numObj,x,y,z,velocity,numObj_static,x_static,y_static,z_static,velocity_static,timestamp
1,"[2.78826]","[2.6823]","[1.85725]","[-0.147187]",6,"[-0.168143, -0.205634, -0.0589794, -0.30254, -0.476058, 0.16212]","[-1.00303, 0.486387, 0.0899548, 0.062228, 0.0421769, 0.0349464]","[0.708928, 0, 0.0381937, 0, 0.0781143, 0.0611018]","[0, 0, 0, 0, 0, 0]",24/11/2025 20:45:19
2,"[2.69052, 2.82856]","[2.77024, 2.81641]","[1.70482, 1.57657]","[0.147187, 0.147187]",6,"[-0.168143, -0.205634, -0.0589794, -0.30254, -0.476058, 0.16212]","[-1.00303, 0.486387, 0.0899548, 0.062228, 0.0421769, 0.0349464]","[0.708928, 0, 0.0381937, 0, 0.0781143, 0.0611018]","[0, 0, 0, 0, 0, 0]",24/11/2025 20:45:20
7,"[2.97887, 3.1547, 3.12779, 3.12695, 3.23933, 2.89492, 2.91525]","[2.72627, 2.77024, 2.58996, 2.77024, 2.81421, 2.63833, 2.6823]","[1.64957, 1.42115, 1.59259, 1.4812, 1.36442, 1.57424, 1.65078]","[0, 0, 0.147187, 0.147187, 0.147187, -0.147187, -0.147187]",6,"[-0.168143, -0.205634, -0.0589794, -0.30254, -0.476058, 0.16212]","[-1.00303, 0.486387, 0.0899548, 0.062228, 0.0421769, 0.0349464]","[0.708928, 0, 0.0381937, 0, 0.0781143, 0.0611018]","[0, 0, 0, 0, 0, 0]",24/11/2025 20:45:21
0,"[]","[]","[]","[]",5,"[-0.168143, -0.0589794, -0.30254, -0.476058, 0.16212]","[-1.00303, 0.0899548, 0.062228, 0.0421769, 0.0349464]","[0.708928, 0.0381937, 0, 0.0781143, 0.0611018]","[0, 0, 0, 0, 0]",24/11/2025 20:45:22
0,"[]","[]","[]","[]",5,"[-0.168143, -0.0589794, -0.30254, -0.476058, 0.16212]","[-1.00303, 0.0899548, 0.062228, 0.0421769, 0.0349464]","[0.708928, 0.0381937, 0, 0.0781143, 0.0611018]","[0, 0, 0, 0, 0]",24/11/2025 20:45:23
0,"[]","[]","[]","[]",5,"[-0.168143, -0.0589794, -0.30254, -0.476058, 0.16212]","[-1.00303, 0.0899548, 0.062228, 0.0421769, 0.0349464]","[0.708928, 0.0381937, 0, 0.0781143, 0.0611018]","[0, 0, 0, 0, 0]",24/11/2025 20:45:24
12,"[3.06883, 3.24826, 3.24576, 3.30458, 2.96478, 3.00217, 3.2013, 3.32137, 3.28816, 2.99572, 3.16501, 3.27186]","[2.72627, 2.77024, 2.95492, 3.0011, 2.54818, 2.72627, 2.77024, 2.81421, 3.0011, 2.72627, 2.77024, 2.81421]","[1.47548, 1.19189, 1.00406, 0.993174, 1.77068, 1.60678, 1.31281, 1.15038, 1.04625, 1.61878, 1.39804, 1.28444]","[0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373]",5,"[-0.168143, -0.0589794, -0.30254, -0.476058, 0.16212]","[-1.00303, 0.0899548, 0.062228, 0.0421769, 0.0349464]","[0.708928, 0.0381937, 0, 0.0781143, 0.0611018]","[0, 0, 0, 0, 0]",24/11/2025 20:45:25
7,"[3.2422, 3.27536, 3.25019, 3.29907, 3.27767, 3.32482, 3.25325]","[2.58996, 2.63173, 2.72627, 2.77024, 2.54818, 2.58996, 2.77024]","[1.34446, 1.41141, 1.01539, 1.04306, 1.08726, 1.12472, 1.17821]","[0, 0, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187]",5,"[-0.168143, -0.0589794, -0.30254, -0.476058, 0.16212]","[-1.00303, 0.0899548, 0.062228, 0.0421769, 0.0349464]","[0.708928, 0.0381937, 0, 0.0781143, 0.0611018]","[0, 0, 0, 0, 0]",24/11/2025 20:45:26
12,"[3.25876, 3.31335, 3.23155, 2.97931, 3.04619, 3.23402, 3.27456, 3.29549, 3.23335, 3.31385, 3.36455, 3.26251]","[2.58996, 2.63173, 2.81421, 2.6823, 2.72627, 2.72627, 2.77024, 2.81421, 2.54818, 2.58996, 2.63173, 2.81421]","[1.30382, 1.31975, 1.38273, 1.53214, 1.52167, 1.06578, 1.11761, 1.22256, 1.21271, 1.15666, 1.18316, 1.30802]","[0, 0, 0, 0.147187, 0.147187, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187]",5,"[-0.168143, -0.0589794, -0.30254, -0.476058, 0.16212]","[-1.00303, 0.0899548, 0.062228, 0.0421769, 0.0349464]","[0.708928, 0.0381937, 0, 0.0781143, 0.0611018]","[0, 0, 0, 0, 0]",24/11/2025 20:45:27
11,"[3.15932, 3.26348, 3.09961, 3.16142, 3.24982, 3.19119, 3.23044, 3.30874, 3.49005, 3.16079, 3.21409]","[2.54818, 2.58996, 2.54818, 2.58996, 2.63173, 2.41407, 2.45364, 2.49322, 2.53279, 2.41407, 2.45364]","[1.39426, 1.29194, 1.52239, 1.52475, 1.46925, 1.55146, 1.6035, 1.57549, 1.29583, 1.6125, 1.63602]","[0, 0, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, 0.294373, 0.44156, 0.44156]",5,"[-0.168143, -0.0589794, -0.30254, -0.476058, 0.16212]","[-1.00303, 0.0899548, 0.062228, 0.0421769, 0.0349464]","[0.708928, 0.0381937, 0, 0.0781143, 0.0611018]","[0, 0, 0, 0, 0]",24/11/2025 20:45:28
