numObj,x,y,z,velocity,timestamp
2,"[4.32463, 4.38952]","[3.04727, 3.34188]","[1.16599, 1.11499]","[0, 0.294373]",21/10/2025 19:15:42
4,"[4.17987, 4.23845, 4.22372, 4.28328]","[3.21656, 3.25833, 3.21656, 3.25833]","[1.23702, 1.23849, 1.07785, 1.07321]","[0, 0, -0.147187, -0.147187]",21/10/2025 19:15:43
10,"[4.41618, 4.43806, 4.47303, 4.50122, 4.3812, 4.43217, 4.49881, 4.47536, 4.36465, 4.41886]","[2.8406, 2.87797, 2.6735, 2.70868, 2.6735, 2.70868, 3.12642, 3.12642, 2.8406, 2.87797]","[1.00938, 1.1699, 1.19785, 1.32282, 1.49931, 1.5384, 0.937233, 1.04349, 1.21297, 1.24046]","[0, 0, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, 0.44156, -0.147187, -0.147187]",21/10/2025 19:15:44
15,"[4.23414, 4.26122, 4.3157, 4.41218, 4.64411, 4.39666, 4.43768, 4.52618, 4.60248, 4.65589, 4.58314, 4.6601, 3.96555, 4.01403, 4.09284]","[3.00769, 3.04727, 3.08684, 3.12642, 2.9901, 2.87797, 2.91535, 2.95273, 2.9901, 3.02748, 2.77904, 2.81421, 3.38585, 3.42982, 3.4738]","[1.27135, 1.37983, 1.40042, 1.28466, 1.08199, 1.317, 1.38663, 1.29895, 1.24725, 1.27797, 1.47105, 1.42929, 1.46909, 1.49629, 1.44]","[0, 0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, -0.147187, -0.147187, -0.147187]",21/10/2025 19:15:45
6,"[4.53289, 4.57765, 4.23455, 4.38556, 4.57898, 4.62598]","[2.70868, 2.74386, 3.00769, 2.8406, 2.70868, 2.74386]","[1.20985, 1.27727, 1.27, 1.13504, 1.02167, 1.08932]","[0, 0, 0.147187, -0.147187, -0.147187, -0.147187]",21/10/2025 19:15:47
6,"[4.41299, 4.45667, 4.37008, 4.41916, 4.43709, 4.38851]","[2.8406, 2.87797, 2.8406, 2.87797, 2.91535, 2.87797]","[1.02322, 1.09688, 1.19327, 1.23941, 1.38852, 1.34391]","[0, 0, 0.147187, 0.147187, 0.147187, 0.294373]",21/10/2025 19:15:48
6,"[4.31898, 4.38595, 4.48297, 4.23126, 4.4384, 4.30901]","[2.8406, 2.87797, 2.87797, 3.00769, 2.87797, 3.08684]","[1.36671, 1.35222, 0.983895, 1.28091, 1.16861, 1.42086]","[0, 0, -0.294373, -0.147187, -0.147187, -0.147187]",21/10/2025 19:15:51
11,"[4.38219, 4.41973, 4.34324, 4.21764, 0.361796, 4.33382, 4.3762, 4.28972, 4.33595, 4.42366, 4.27878]","[2.80322, 2.8406, 3.04727, 4.30487, 2.34811, 2.80322, 2.8406, 3.04727, 2.8406, 2.87797, 4.30487]","[0.883969, 0.993731, 1.09463, 1.69928, -5.7934, 1.09681, 1.1706, 1.28853, 1.31187, 1.22325, 1.53888]","[0, 0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, -0.147187]",21/10/2025 19:15:52
2,"[4.31752, 4.36801]","[3.04727, 3.08684]","[1.19207, 1.22759]","[0.147187, 0.147187]",21/10/2025 19:15:53
4,"[4.41891, 4.46102, 4.34146, 4.39882]","[2.91535, 2.95273, 3.08684, 3.12642]","[1.44534, 1.50761, 1.3184, 1.32968]","[0.147187, 0.147187, -0.147187, -0.147187]",21/10/2025 19:15:54
1,"[4.41151]","[2.91535]","[1.46776]","[-0.147187]",21/10/2025 19:15:55
12,"[4.4577, 4.48225, 4.52709, 4.56663, 4.57376, 4.62589, 4.49484, 4.53031, 4.57884, 4.63314, 4.29781, 4.34132]","[2.87797, 2.91535, 2.95273, 2.9901, 2.91535, 2.95273, 2.87797, 2.91535, 2.95273, 2.9901, 4.35324, 4.40161]","[1.0927, 1.235, 1.29577, 1.37272, 0.834552, 0.880182, 0.928149, 1.04504, 1.099, 1.12804, 1.63466, 1.66393]","[0, 0, 0, 0, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187]",21/10/2025 19:15:56
2,"[4.57333, 4.6059]","[2.91535, 2.81421]","[0.83689, 1.59533]","[0.147187, 0.588746]",21/10/2025 19:15:57
5,"[4.14762, 4.28635, 4.29531, 4.07166, 4.08502]","[2.80322, 3.04727, 3.08684, 2.92854, 2.96812]","[1.668, 1.29967, 1.46176, 1.39668, 1.53166]","[0, 0.147187, 0.147187, -0.147187, -0.147187]",21/10/2025 19:15:58
12,"[4.27743, 4.5142, 4.5983, 4.63403, 4.56049, 4.54944, 4.58906, 4.52427, 4.33139, 4.14329, 4.2665, 4.34306]","[2.91535, 2.95273, 2.74386, 2.77904, 2.9901, 2.74386, 2.77904, 2.9901, 3.08684, 3.04727, 3.08684, 3.12642]","[1.82192, 1.34, 1.20078, 1.3019, 1.39298, 1.37436, 1.45245, 1.50648, 1.35113, 1.70151, 1.54384, 1.50184]","[0, 0, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, -0.294373, -0.147187, -0.147187, -0.147187]",21/10/2025 19:15:59
8,"[4.42308, 4.46424, 4.34648, 4.31986, 4.33989, 4.38112, 4.30664, 4.35311]","[2.87797, 2.91535, 3.12642, 3.04727, 3.08684, 3.12642, 3.04727, 3.08684]","[1.22532, 1.29857, 1.49192, 1.18355, 1.32356, 1.3869, 1.23079, 1.2794]","[0, 0, 0, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373]",21/10/2025 19:16:00
9,"[4.2925, 4.32708, 4.20434, 4.24007, 4.26552, 4.25342, 4.17275, 4.20211, 4.18487]","[3.00769, 3.04727, 3.25833, 3.00769, 3.04727, 3.08684, 3.00769, 3.04727, 3.08684]","[1.05769, 1.15687, 1.34974, 1.25143, 1.36651, 1.57951, 1.46028, 1.55057, 1.75309]","[0, 0, 0, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373]",21/10/2025 19:16:01
9,"[4.32131, 4.42269, 4.35169, 4.43299, 4.41496, 4.33543, 4.37851, 4.35979, 4.41439]","[2.8406, 2.87797, 3.08684, 2.8406, 3.04727, 3.25833, 2.8406, 3.04727, 3.08684]","[1.35933, 1.22674, 1.28424, 0.932793, 0.755082, 0.838072, 1.16196, 1.02673, 1.04861]","[0, 0, 0, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187]",21/10/2025 19:16:02
12,"[4.24627, 4.38292, 4.48266, 4.46488, 4.15839, 4.26539, 4.43816, 4.53863, 3.90852, 3.83646, 4.34818, 4.3513]","[3.00769, 2.87797, 2.91535, 3.12642, 3.00769, 2.87797, 2.91535, 2.95273, 3.00769, 2.87797, 3.08684, 3.12642]","[1.23022, 1.36202, 1.23351, 1.08743, 1.50069, 1.69456, 1.3851, 1.25475, 2.06585, 2.51925, 1.29608, 1.47779]","[0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, 0.294373]",21/10/2025 19:16:03
10,"[4.3559, 4.35415, 4.39668, 4.4553, 4.38739, 4.4304, 4.4775, 4.3878, 4.39748, 4.4245]","[3.04727, 3.08684, 3.00769, 3.04727, 3.00769, 3.04727, 3.08684, 3.00769, 3.04727, 3.08684]","[1.04311, 1.27586, 0.462058, 0.460746, 0.543234, 0.658464, 0.733807, 0.539869, 0.850951, 1.00512]","[0, 0, -0.44156, -0.44156, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187]",21/10/2025 19:16:04
4,"[4.45683, 4.39076, 4.41802, 4.42579]","[2.91535, 2.87797, 2.91535, 2.95273]","[1.32379, 1.33652, 1.44805, 1.6081]","[0, 0.147187, 0.147187, 0.147187]",21/10/2025 19:16:05
