distance,MSE_BLE_KF,RMSE_BLE_KF,MSE_MMW_KF,RMSE_MMW_KF,MSE_TTFKF_MMW_BLE_Fusion,RMSE_TTFKF_MMW_BLE_Fusion,x,y
0.16737084572887845,0.06812604320316966,0.2610096611299468,0.10601679365079364,0.32560220154475866,0.0509644377076748,0.2257530458436271,1.143,-4.462
1.3635296109729338,0.06296596460651586,0.25093019867388594,0.015399292682926828,0.12409388656548245,0.011633223270642435,0.10785742102721739,2.343,-4.462
2.5632816856522034,0.29616935009915796,0.5442144339312932,0.004738169811320769,0.06883436504625265,0.04272427324066717,0.20669850807557166,3.543,-4.462
2.7123438203885586,0.10051852734001175,0.3170465696707847,1.1328159317269082,1.0643382600127218,1.0863544797751339,1.0422833011111392,2.308,-6.865
3.4581431433646586,0.13471140295353587,0.3670305204659905,1.0709105093632962,1.0348480610037862,1.0753327594153559,1.0369825260896905,3.503,-6.865
3.765191761384804,0.34237550762993013,0.5851286248594664,0.024284632653061248,0.1558352740975587,0.029592462855212196,0.17202459956416755,4.745,-4.462
4.408131690410349,1.036315181607416,1.0179956687567076,1.1634876811594204,1.0786508615670876,1.1620674223544607,1.0779923108976524,4.7,-6.865
4.9641454450892155,0.6485843606068475,0.8053473540074789,0.010224329004329012,0.10111542416629132,0.024689709455059418,0.157129594459667,5.944,-4.462
5.458903278131973,1.7778023897266628,1.3333425627822217,1.2875892857142859,1.1347199150954768,1.2983880241731576,1.1394683076650958,5.9,-6.865
6.150117397253487,0.37830367510787144,0.6150639601763962,0.0028556444444444457,0.05343823017694772,0.023634828239305062,0.15373622942984214,7.13,-4.462
6.260632875356931,0.7396130145578457,0.860007566570112,0.2920045656565658,0.5403744679910089,0.2785121257514462,0.5277424805257259,7.14,-5.618
6.442895311892007,1.9974323078246805,1.413305454537228,4.3702588235294115,2.0905164011625,4.363019336200094,2.088784176548667,5.95,-0.4
6.561068891575518,1.1420101582222295,1.068648753436895,1.3607978571428572,1.1665324072407321,1.3574416222416297,1.1650929672097543,7.1,-6.865
7.157001117786695,1.4492789161690596,1.203860006881639,3.2393515591397852,1.799819868525677,4.4260143417974,2.10380948324638,7.144,-0.863
