create_time,idppe,idbeacon,bluetooth_channel,rssi_1,rssi_2,rssi_3,rssi_4,az_1,az_2,az_3,az_4,el_1,el_2,el_3,el_4,x_ble,y_ble,z_ble,numObj,x,y,z,velocity,x_static,y_static,z_static,velocity_static,timestamp,real_xyz,distance
2025-06-28 12:14:12,d500a44f-2051-d64b-3d63-8985cc792954,097d85a9-d2a9-78a3-1340-0a4001a172ac,6,-70.0,-80.0,,,-3.0111241254707024,-2.177666290725575,,,0.5781284636562708,0.1900174758835351,,,,,,2,"[6.05056, 6.12091]","[-0.135495, -0.136321]","[0.388785, 0.403229]","[-0.147187, -0.147187]",[],[],[],[],2025-06-28 12:14:12,"[7.1, -6.865, 1.78]",6.188800368407435
2025-06-28 12:14:14,d500a44f-2051-d64b-3d63-8985cc792954,1eb3543b-5d70-7f10-98ef-8d9208451b76,27,-78.0,-88.0,-63.0,-79.0,-3.064352193545898,-2.150206703041877,2.653951879029744,-2.377011088852949,0.5916399448677606,0.2726461932476899,0.4933226953247603,0.594386130004823,,,,8,"[6.12091, 6.19127, 6.12091, 6.19127, 6.12091, 6.05056, 6.12091, 6.19127]","[-0.168937, -0.170329, -0.137325, -0.136961, -0.13885, -0.199396, -0.200537, -0.16982]","[0.378239, 0.398121, 0.41993, 0.413969, 0.443744, 0.32827, 0.344383, 0.390993]","[0, 0, 0.147187, 0.147187, 0.294373, -0.147187, -0.147187, -0.147187]",[],[],[],[],2025-06-28 12:14:14,"[7.1, -6.865, 1.78]",6.188800368407435
2025-06-28 12:14:16,d500a44f-2051-d64b-3d63-8985cc792954,036e9d00-49f5-7ecf-9ccc-623a79089746,11,,,-62.0,,,,2.604235987800145,,,,0.3852646677786862,,,,,0,[],[],[],[],[1.05895],[2.74131],[0.308874],[0],2025-06-28 12:14:16,"[7.1, -6.865, 1.78]",6.188800368407435
2025-06-28 12:14:18,d500a44f-2051-d64b-3d63-8985cc792954,3cf2bf49-bd01-807f-c42a-a8e14a1d7af2,29,,,-64.0,,,,2.6137386792017656,,,,0.275634426438327,,,,,2,"[6.12091, 6.19127]","[-0.164981, -0.16547]","[0.313087, 0.321997]","[0.147187, 0.147187]",[],[],[],[],2025-06-28 12:14:18,"[7.1, -6.865, 1.78]",6.188800368407435
2025-06-28 12:14:22,d500a44f-2051-d64b-3d63-8985cc792954,f33c59dc-e0a6-52ac-adac-d70828c73912,20,-76.0,,-62.0,-75.0,3.0762866173388703,,2.710754441920044,-2.397714503167225,0.6287803228509783,,0.3667786679670374,0.3429505001667442,,,,0,[],[],[],[],"[0.59802, -1.88308, 1.05895]","[1.02823, 2.07058, 2.74131]","[0.12502, -0.294165, 0.308874]","[0, 0, 0]",2025-06-28 12:14:22,"[7.1, -6.865, 1.78]",6.188800368407435
2025-06-28 12:14:24,d500a44f-2051-d64b-3d63-8985cc792954,9921aff9-ad10-0660-f77a-5cae2cd0d972,36,-82.0,,-66.0,-81.0,3.0186190597265123,,2.710080662164254,-2.219557814672521,0.81250175302243,,0.4021816329446011,0.3330958054480422,,,,0,[],[],[],[],"[0.59802, 1.05895, -2.16554]","[1.02823, 2.74131, 2.2545]","[0.12502, 0.308874, -0.837628]","[0, 0, 0]",2025-06-28 12:14:24,"[7.1, -6.865, 1.78]",6.188800368407435
2025-06-28 12:14:31,d500a44f-2051-d64b-3d63-8985cc792954,c56bc3a6-0e5f-e6d1-6ba1-182302cb23ad,10,,,-59.0,,,,2.722539995008081,,,,0.2249141073588476,,,,,4,"[6.12091, 6.05056, 6.12091, 6.19127]","[-0.173264, -0.168291, -0.168929, -0.167286]","[0.436281, 0.368563, 0.378118, 0.352832]","[0, -0.147187, -0.147187, -0.147187]",[],[],[],[],2025-06-28 12:14:31,"[7.1, -6.865, 1.78]",6.188800368407435
2025-06-28 12:14:33,d500a44f-2051-d64b-3d63-8985cc792954,d8843009-c81c-663c-725f-4b37b003ba7f,2,-79.0,-86.0,-61.0,-75.0,3.0797332804216504,-2.2516185457715494,2.667150505392177,-2.343627565640479,0.6794410370563104,0.2935598474852709,0.3776178001826871,0.3917959371940511,,,,8,"[6.19127, 6.26163, 6.26163, 6.12091, 6.19127, 6.05056, 6.12091, 6.19127]","[-0.207225, -0.173783, -0.703965, -0.207561, -0.208894, -0.168957, -0.167394, -0.166511]","[0.424309, 0.442579, -0.60801, 0.427836, 0.44142, 0.378535, 0.354566, 0.340087]","[0.294373, 0.294373, 0.294373, 0.44156, 0.44156, -0.147187, -0.147187, -0.147187]",[],[],[],[],2025-06-28 12:14:33,"[7.1, -6.865, 1.78]",6.188800368407435
2025-06-28 12:14:34,d500a44f-2051-d64b-3d63-8985cc792954,07edb68e-afc2-9150-8216-281f852d8519,35,-77.0,-91.0,-67.0,-80.0,3.105304953208592,-2.302934464184068,2.667390189890284,-2.3716413571470225,0.6250081549039629,0.2113506778613444,0.2637320604469767,0.4463265906479181,6.31789493560791,-7.221181392669678,-0.652594268321991,6,"[6.05056, 6.12091, 5.9802, 6.05056, 6.05056, 6.12091]","[-0.167554, -0.168063, -0.167096, -0.168225, -0.166016, -0.199805]","[0.357108, 0.365067, 0.349752, 0.36755, 0.331626, 0.334152]","[0, 0, 0.147187, 0.147187, -0.147187, -0.147187]",[],[],[],[],2025-06-28 12:14:34,"[7.1, -6.865, 1.78]",6.188800368407435
2025-06-28 12:14:39,d500a44f-2051-d64b-3d63-8985cc792954,579883c0-7401-0486-5f28-779d77876e02,12,,,-58.0,,,,2.711918243316409,,,,0.1416965484329194,,,,,10,"[6.05056, 6.12091, 5.9802, 6.05056, 6.12091, 6.05056, 6.12091, 6.26163, 6.33198, 6.26163]","[-0.166739, -0.166509, -0.170533, -0.170018, -0.136131, -0.174863, -0.141413, -0.202802, -0.203294, -0.208377]","[0.343899, 0.340047, 0.400919, 0.393793, 0.399967, 0.455306, 0.480225, 0.373892, 0.37992, 0.436219]","[0, 0, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, -0.44156, -0.44156, -0.294373]",[],[],[],[],2025-06-28 12:14:39,"[7.1, -6.865, 1.78]",6.188800368407435
2025-06-28 12:14:41,d500a44f-2051-d64b-3d63-8985cc792954,51d8faf0-c682-0bf9-3911-da4f26fc0e86,12,-74.0,,-59.0,,3.010519854219364,,2.671907443731276,,0.5025118660870515,,0.2902800647342974,,,,,17,"[5.9802, 6.05056, 6.19127, 6.26163, 6.19127, 6.26163, 6.33198, 6.33198, 6.19127, 6.26163, 6.05056, 5.9802, 6.05056, 6.12091, 5.9802, 6.05056, 6.12091]","[-0.172423, -0.170854, -0.201805, -0.20189, -0.20327, -0.204768, -0.173129, -0.776861, -0.203324, -0.206748, -0.135729, -0.166057, -0.134662, -0.137062, -0.168771, -0.168048, -0.13474]","[0.425809, 0.405296, 0.361262, 0.362362, 0.379629, 0.397325, 0.43462, -0.639534, 0.380288, 0.41925, 0.392941, 0.332347, 0.373479, 0.415644, 0.375788, 0.364832, 0.374943]","[0, 0, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, 0.294373, 0.44156, 0.44156, -0.44156, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187]",[],[],[],[],2025-06-28 12:14:41,"[7.1, -6.865, 1.78]",6.188800368407435
