create_time,idppe,idbeacon,bluetooth_channel,rssi_1,rssi_2,rssi_3,rssi_4,az_1,az_2,az_3,az_4,el_1,el_2,el_3,el_4,x_ble,y_ble,z_ble,numObj,x,y,z,velocity,x_static,y_static,z_static,velocity_static,timestamp,real_xyz,distance
2025-06-28 11:47:52,d500a44f-2051-d64b-3d63-8985cc792954,538751d5-dbd6-1680-7755-47e04be7c44d,29,-61.0,-78.0,,-73.0,2.6675153584615177,-1.2405784663788482,,-1.052879272224227,0.5264020189617162,0.2982787691998095,,0.1002236151526846,2.010037660598755,-7.212246417999268,1.0280591249465942,9,"[1.75888, 1.68853, 1.75888, 1.82924, 1.68853, 1.75888, 1.82924, 1.96995, 2.0403]","[-0.534191, -0.584879, -0.577118, -0.536432, -0.573905, -0.569195, -0.529651, -0.716256, -0.716188]","[0.189815, 0.275689, 0.229945, 0.208535, 0.207675, 0.169286, 0.144036, 0.0309896, 0.0283652]","[0, 0.147187, 0.147187, 0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187]",[],[],[],[],2025-06-28 11:47:52,"[2.308, -6.865, 1.78]",1.6595764519900849
2025-06-28 11:47:52,d500a44f-2051-d64b-3d63-8985cc792954,7f8542a5-726d-86ec-555a-ecca4122a243,18,-66.0,-79.0,,-68.0,2.718858973749373,-1.76985137299567,,-1.042200662043282,0.5273907508059218,0.2170643235325413,,0.1075883624430818,1.9985878467559808,-7.226011276245117,1.0715738534927368,9,"[1.75888, 1.68853, 1.75888, 1.82924, 1.68853, 1.75888, 1.82924, 1.96995, 2.0403]","[-0.534191, -0.584879, -0.577118, -0.536432, -0.573905, -0.569195, -0.529651, -0.716256, -0.716188]","[0.189815, 0.275689, 0.229945, 0.208535, 0.207675, 0.169286, 0.144036, 0.0309896, 0.0283652]","[0, 0.147187, 0.147187, 0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187]",[],[],[],[],2025-06-28 11:47:52,"[2.308, -6.865, 1.78]",1.6595764519900849
2025-06-28 11:47:53,d500a44f-2051-d64b-3d63-8985cc792954,241c3321-2607-152c-d819-20c27b2b3e5f,14,-68.0,-73.0,,-66.0,2.649670048629115,-1.870451351067032,,-1.043745029159419,0.62136215421359,0.2329119962312758,,0.099779965804591,1.984519839286804,-7.24444580078125,1.1717300415039062,21,"[1.82924, 1.89959, 1.96995, 2.0403, 1.61817, 1.68853, 1.75888, 1.82924, 1.89959, 1.68853, 1.82924, 1.89959, 1.96995, 2.0403, 1.61817, 1.68853, 1.75888, 1.82924, 1.89959, 1.96995, 2.0403]","[-0.525506, -0.491455, -0.491066, -0.491604, -0.745735, -0.688988, -0.668704, -0.629784, -0.802392, -0.738974, -0.523923, -0.488258, -0.488273, -0.453599, -0.679972, -0.662145, -0.605668, -0.52483, -0.489006, -0.488958, -0.489219]","[0.0811548, 0.115779, 0.109336, 0.118149, 0.399813, 0.365551, 0.291868, 0.300943, 0.0274449, 0.381931, 0.0334831, 0.0379937, 0.0386893, 0.0566723, 0.335331, 0.262497, 0.154841, 0.0652244, 0.0652221, 0.0638087, 0.0710813]","[0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, -0.294373, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187]",[],[],[],[],2025-06-28 11:47:53,"[2.308, -6.865, 1.78]",1.6595764519900849
2025-06-28 11:47:55,d500a44f-2051-d64b-3d63-8985cc792954,516e58fe-9223-de02-f013-95a3874326e3,7,-66.0,-75.0,-67.0,-61.0,2.6269825793027297,-1.8908815250534656,0.2399497489517033,-1.0068478643627528,0.619416448721178,0.1845689478988557,0.198122207449946,0.1197786078258912,1.976619005203247,-7.243248462677002,1.2036138772964478,17,"[1.75888, 1.82924, 1.89959, 1.96995, 2.0403, 1.75888, 1.82924, 1.89959, 1.82924, 1.96995, 2.0403, 1.75888, 1.82924, 1.89959, 1.89959, 1.96995, 2.0403]","[-0.716113, -0.724371, -0.808322, -0.76207, -0.716098, -0.612183, -0.616689, -0.601214, -0.644825, -0.718311, -0.675288, -0.64056, -0.648506, -0.941747, -0.639128, -0.716356, -0.715894]","[0.0251401, 0.139251, -0.110106, -0.0920043, -0.0244525, 0.206049, 0.234565, 0.350519, 0.156107, -0.0752826, -0.0197876, 0.114225, 0.184455, -0.260771, 0.666745, -0.0344898, 0.0113577]","[0, 0, 0, 0, 0, 0.147187, 0.147187, 0.147187, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187]",[],[],[],[],2025-06-28 11:47:55,"[2.308, -6.865, 1.78]",1.6595764519900849
2025-06-28 11:47:56,d500a44f-2051-d64b-3d63-8985cc792954,39cdabbc-5962-8f1f-797a-a964a0c92b15,18,-71.0,-80.0,-69.0,-63.0,2.677204471139444,-1.9144679444058068,0.2805802661224972,-1.0357006847707255,0.6643869863624196,0.1667537317867706,0.1455926532391645,0.0566470800557206,1.9738279581069944,-7.216544151306152,1.2552227973937988,18,"[1.82924, 1.89959, 1.96995, 2.0403, 1.68853, 1.75888, 1.82924, 1.89959, 1.96995, 2.0403, 1.82924, 1.89959, 1.96995, 2.0403, 1.75888, 1.82924, 1.89959, 1.96995]","[-0.454457, -0.453147, -0.452848, -0.452821, -0.612882, -0.605355, -0.523986, -0.488117, -0.48843, -0.453738, -0.524433, -0.488992, -0.489765, -0.490029, -0.602834, -0.600695, -0.63586, -0.637364]","[-0.0819909, -0.0368656, -0.0114032, -0.00436077, 0.210753, 0.151922, 0.0366214, 0.0301628, 0.0457152, 0.0614977, 0.0537054, 0.0648192, 0.0842449, 0.089928, 0.125783, 0.0980745, -0.0200705, -0.0668532]","[0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, 0.294373, -0.147187, -0.147187, -0.147187, -0.147187]",[],[],[],[],2025-06-28 11:47:56,"[2.308, -6.865, 1.78]",1.6595764519900849
2025-06-28 11:47:56,d500a44f-2051-d64b-3d63-8985cc792954,e6fb543d-2764-80be-e514-d09179eaa3ca,28,-64.0,,,-77.0,2.6358636889059257,,,-1.0218603697436384,0.6979591279590946,,,0.0599259972793398,1.978667140007019,-7.2030611038208,1.217354655265808,18,"[1.82924, 1.89959, 1.96995, 2.0403, 1.68853, 1.75888, 1.82924, 1.89959, 1.96995, 2.0403, 1.82924, 1.89959, 1.96995, 2.0403, 1.75888, 1.82924, 1.89959, 1.96995]","[-0.454457, -0.453147, -0.452848, -0.452821, -0.612882, -0.605355, -0.523986, -0.488117, -0.48843, -0.453738, -0.524433, -0.488992, -0.489765, -0.490029, -0.602834, -0.600695, -0.63586, -0.637364]","[-0.0819909, -0.0368656, -0.0114032, -0.00436077, 0.210753, 0.151922, 0.0366214, 0.0301628, 0.0457152, 0.0614977, 0.0537054, 0.0648192, 0.0842449, 0.089928, 0.125783, 0.0980745, -0.0200705, -0.0668532]","[0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, 0.294373, -0.147187, -0.147187, -0.147187, -0.147187]",[],[],[],[],2025-06-28 11:47:56,"[2.308, -6.865, 1.78]",1.6595764519900849
2025-06-28 11:47:57,d500a44f-2051-d64b-3d63-8985cc792954,63990269-9fe7-0d42-dbfd-fa5fa8d2d4c7,9,-59.0,,,-73.0,2.637085014581836,,,-1.0271836292885432,0.5805287707467592,,,0.0813261902421322,1.981338381767273,-7.206310749053955,1.2686930894851685,23,"[1.61817, 1.68853, 1.75888, 1.82924, 1.89959, 1.96995, 1.61817, 1.68853, 2.0403, 1.75888, 1.82924, 1.61817, 1.68853, 1.75888, 1.82924, 1.89959, 1.96995, 1.61817, 1.68853, 1.75888, 1.82924, 1.89959, 1.96995]","[-0.622443, -0.576402, -0.578099, -0.672412, -0.487886, -0.490047, -0.766996, -0.772068, -0.675252, -0.573114, -0.452862, -0.571053, -0.571143, -0.575731, -0.46256, -0.487906, -0.48799, -0.614222, -0.573936, -0.577936, -0.72563, -0.523736, -0.487885]","[0.266109, 0.225194, 0.236281, 0.638938, 0.00645721, 0.0903014, 0.331243, 0.346107, 0.0173316, 0.201776, -0.0136047, 0.185451, 0.1862, 0.220635, -0.198252, 0.0108573, 0.0208371, 0.219458, 0.207898, 0.235246, -0.71749, -0.0217826, 0.0060113]","[0, 0, 0, 0, 0, 0, 0.147187, 0.147187, 0.147187, -0.44156, -0.44156, -0.294373, -0.294373, -0.294373, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187]",[],[],[],[],2025-06-28 11:47:57,"[2.308, -6.865, 1.78]",1.6595764519900849
2025-06-28 11:47:58,d500a44f-2051-d64b-3d63-8985cc792954,a866259f-33f2-61a6-8ab5-5144618bfb14,6,-54.0,,,-72.0,2.679319553677185,,,-1.0437570133843244,0.5437267140905223,,,0.0888045962544269,1.9810562133789065,-7.214750289916992,1.2744262218475342,15,"[1.68853, 1.75888, 1.82924, 1.89959, 1.68853, 1.75888, 1.82924, 1.89959, 1.96995, 1.75888, 1.82924, 1.89959, 1.75888, 2.0403, 2.11066]","[-0.613731, -0.528017, -0.492188, -0.49601, -0.625737, -0.570625, -0.495472, -0.49812, -0.491478, -0.531536, -0.495748, -0.499109, -0.625387, -0.716782, -0.717797]","[0.216315, 0.123246, 0.126995, 0.173808, 0.282368, 0.181865, 0.168038, 0.194676, 0.11615, 0.164688, 0.171019, 0.203669, 0.280694, 0.0465701, 0.0670305]","[0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, -0.147187, -0.147187, -0.147187]",[],[],[],[],2025-06-28 11:47:58,"[2.308, -6.865, 1.78]",1.6595764519900849
2025-06-28 11:47:59,d500a44f-2051-d64b-3d63-8985cc792954,34b989b7-272f-2e30-0b3e-f61a6bfc9cda,7,-59.0,,,-72.0,2.6934146000625385,,,-1.0619147120125936,0.4865317677031127,,,0.1077688665083403,1.9803886413574217,-7.224519729614258,1.3637195825576782,14,"[1.68853, 1.75888, 1.82924, 1.89959, 1.75888, 1.82924, 1.68853, 1.75888, 1.82924, 1.89959, 1.68853, 1.75888, 1.82924, 1.89959]","[-0.615197, -0.574234, -0.570196, -0.53225, -0.631982, -0.582438, -0.608611, -0.566977, -0.527136, -0.527604, -0.61285, -0.571835, -0.530006, -0.528593]","[0.225564, 0.210073, 0.178189, 0.171826, 0.310477, 0.26228, 0.179916, 0.147531, 0.110364, 0.117378, 0.210535, 0.191822, 0.148165, 0.13097]","[0, 0, 0, 0, 0.147187, 0.147187, -0.294373, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187]",[],[],[],[],2025-06-28 11:47:59,"[2.308, -6.865, 1.78]",1.6595764519900849
2025-06-28 11:48:00,d500a44f-2051-d64b-3d63-8985cc792954,907ff68b-0b45-0d9f-ccf1-60100beaf609,30,-61.0,,,-77.0,2.721023591083389,,,-1.0233651889175877,0.6721406467181308,,,0.0855395274684761,,,,9,"[1.61817, 1.68853, 1.61817, 1.68853, 1.68853, 1.61817, 1.68853, 1.96995, 2.0403]","[-0.668053, -0.633022, -0.627463, -0.628493, -0.611434, -0.616121, -0.618992, -0.675155, -0.715887]","[0.28911, 0.314867, 0.290468, 0.295169, 0.20087, 0.231182, 0.247738, -0.00766118, 0.0106327]","[0, 0, 0.147187, 0.147187, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187]",[],[],[],[],2025-06-28 11:48:00,"[2.308, -6.865, 1.78]",1.6595764519900849
