numObj,x,y,z,timestamp
23,"[4.99523, 5.06558, 3.72883, 4.99523, 5.06558, 5.06558, 3.58812, 3.3067, 3.37706, 3.44741, 3.51777, 3.58812, 3.3067, 3.37706, 3.44741, 3.51777, 3.58812, 3.65848, 3.9399, 3.3067, 3.37706, 3.44741, 3.51777]","[0.0326379, 0.0326951, -0.188768, 0.0333744, 0.0336697, -0.0318206, -0.221917, -0.226024, -0.227924, -0.228056, -0.256432, -0.226057, -0.228459, -0.230302, -0.23076, -0.227484, -0.264396, -0.272784, -0.229073, -0.230038, -0.232535, -0.233477, -0.232674]","[0.292082, 0.297844, 0.0398124, 0.358223, 0.380956, 0.188781, 0.110807, 0.219033, 0.25323, 0.255406, 0.169405, 0.219676, 0.26196, 0.28985, 0.296313, 0.245768, 0.295496, 0.381942, 0.271621, 0.286046, 0.319954, 0.331698, 0.321713]",14/10/2024 19:45:26
13,"[4.50274, 4.5731, 4.43239, 4.50274, 4.08061, 4.15097, 4.22132, 4.36203, 4.08061, 4.15097, 4.22132, 4.36203, 4.15097]","[-0.190535, -0.190414, -0.160002, -0.159442, -0.194806, -0.162768, -0.162737, -0.200868, -0.196961, -0.164005, -0.163894, -0.195067, -0.165154]","[0.141172, 0.136692, 0.196632, 0.178322, 0.251215, 0.268368, 0.267667, 0.348879, 0.290336, 0.294321, 0.292097, 0.256315, 0.316264]",14/10/2024 19:45:27
19,"[4.5731, 4.64345, 4.71381, 4.78416, 4.85452, 4.5731, 4.64345, 4.71381, 4.78416, 4.85452, 4.92487, 4.5731, 4.64345, 4.71381, 4.85452, 4.92487, 4.85452, 4.92487, 4.99523]","[-0.224272, -0.22566, -0.227883, -0.225725, -0.224353, -0.225593, -0.226695, -0.229451, -0.230358, -0.228587, -0.196954, -0.228049, -0.228427, -0.230525, 0.0326715, 0.0330809, 0.0335118, 0.0355551, 0]","[0.181343, 0.211788, 0.25254, 0.213113, 0.183269, 0.210427, 0.23175, 0.27737, 0.290647, 0.264014, 0.290211, 0.255292, 0.26145, 0.293007, 0.295487, 0.333729, 0.369022, 0.496818, 0.118582]",14/10/2024 19:45:28
19,"[5.13594, 5.2063, 5.27665, 5.2063, 5.27665, 4.29168, 4.36203, 4.22132, 4.29168, 4.36203, 4.43239, 4.22132, 4.29168, 4.36203, 4.43239, 4.22132, 4.29168, 4.36203, 4.43239]","[-0.195588, -0.16285, -0.163191, -0.197812, -0.165466, 0, 0, -0.0330946, 0, 0, 0, -0.0339696, 0, 0, 0, -0.0346876, -0.0342491, 0, 0]","[0.266157, 0.270174, 0.277552, 0.304227, 0.32194, 0.260722, 0.283489, 0.334924, 0.304658, 0.291272, 0.285614, 0.402419, 0.370015, 0.317641, 0.28007, 0.448542, 0.421168, 0.311253, 0.210863]",14/10/2024 19:45:29
33,"[5.2063, 5.27665, 5.13594, 5.2063, 5.27665, 5.13594, 5.2063, 5.27665, 4.29168, 4.36203, 4.29168, 4.36203, 4.36203, 3.72883, 3.79919, 3.86954, 3.9399, 3.65848, 3.72883, 3.79919, 3.86954, 3.9399, 3.65848, 3.72883, 3.79919, 3.86954, 3.9399, 3.72883, 3.79919, 3.86954, 4.01025, 4.08061, 4.15097]","[-0.166469, -0.173839, -0.164927, -0.167382, -0.138132, -0.165757, -0.168009, -0.135655, 0, 0, 0, 0, -0.0312569, -0.0996901, -0.0641328, -0.0317011, -0.0316589, -0.0666199, -0.0656938, -0.0648464, -0.064257, -0.0320366, -0.0671489, -0.032901, -0.0654399, -0.0650035, -0.0647615, -0.033271, -0.0331053, -0.0661955, -0.0627448, -0.0628008, -0.0635372]","[0.339371, 0.44325, 0.312073, 0.354371, 0.432756, 0.327115, 0.364226, 0.391639, -0.00880196, -0.0186409, 0.00948805, 0.0014091, -0.0106396, 0.342334, 0.223134, 0.167915, 0.159858, 0.351514, 0.310868, 0.267286, 0.231485, 0.221301, 0.372372, 0.317593, 0.298576, 0.275959, 0.262458, 0.349837, 0.335849, 0.333621, 0.0806119, 0.0909755, 0.177222]",14/10/2024 19:45:30
21,"[5.13594, 5.2063, 3.02528, 3.09563, 3.16599, 3.23635, 2.95492, 3.02528, 3.09563, 3.16599, 3.23635, 2.88457, 2.95492, 3.02528, 3.09563, 3.16599, 3.23635, 2.95492, 3.02528, 5.13594, 5.2063]","[-0.163733, -0.164509, 0, 0, -0.0638166, -0.0633912, -0.0965465, -0.065525, -0.0331474, -0.0642094, -0.0639669, -0.096463, -0.0968408, -0.0981723, -0.0670738, -0.0970223, -0.0979234, -0.0974861, -0.0977642, -0.162527, -0.163375]","[0.288846, 0.304173, 0.262786, 0.281929, 0.200161, 0.163879, 0.234869, 0.302761, 0.33947, 0.228328, 0.211418, 0.231234, 0.247212, 0.296074, 0.369498, 0.254494, 0.287653, 0.272131, 0.282114, 0.262952, 0.281432]",14/10/2024 19:45:31
30,"[5.34701, 5.41736, 5.27665, 5.34701, 5.41736, 5.48772, 5.34701, 5.41736, 2.53279, 2.60315, 2.53279, 2.60315, 2.6735, 2.53279, 2.60315, 2.6735, 2.74386, 2.81421, 2.60315, 2.6735, 2.74386, 2.81421, 2.88457, 2.6735, 2.74386, 2.81421, 2.88457, 2.6735, 2.74386, 2.81421]","[-0.165065, -0.129896, -0.165083, -0.166839, -0.165944, -0.129973, -0.17143, -0.173078, -0.191502, -0.190868, -0.192644, -0.192264, -0.192113, -0.194403, -0.194055, -0.193382, -0.192564, -0.195697, -0.195659, -0.191661, -0.224618, -0.226674, -0.230918, -0.257835, -0.226188, -0.227142, -0.230772, -0.262371, -0.266852, -0.266893]","[0.31463, 0.265291, 0.314968, 0.345548, 0.330376, 0.26745, 0.412976, 0.433994, 0.172779, 0.15283, 0.203612, 0.193928, 0.189923, 0.243117, 0.235876, 0.221106, 0.201619, 0.268171, 0.267475, 0.177409, 0.189418, 0.231351, 0.2985, 0.198113, 0.222217, 0.239807, 0.296476, 0.269631, 0.323708, 0.32416]",14/10/2024 19:45:32
21,"[2.6735, 2.74386, 2.81421, 2.60315, 2.6735, 2.74386, 2.81421, 9.42762, 2.6735, 2.74386, 2.81421, 2.88457, 5.76914, 2.6735, 2.74386, 2.81421, 3.09563, 3.16599, 5.76914, 5.90985, 2.81421]","[-0.288863, -0.260007, -0.200547, -0.288872, -0.291889, -0.263776, -0.240599, -0.0983031, -0.263819, -0.26976, -0.243417, -0.281865, -0.168882, -0.273431, -0.277692, -0.247475, -0.165266, -0.167483, -0.172232, -0.125709, -0.1609]","[0.159433, 0.235355, 0.34452, 0.159609, 0.21314, 0.287853, 0.40774, 0.30039, 0.288396, 0.353736, 0.433264, 0.665751, 0.377424, 0.387649, 0.422779, 0.466795, 0.318325, 0.35597, 0.423369, 0.0776818, 0.222709]",14/10/2024 19:45:33
19,"[3.3067, 3.37706, 3.44741, 3.16599, 3.23635, 3.37706, 3.09563, 3.16599, 3.23635, 3.3067, 3.37706, 3.09563, 3.16599, 3.23635, 3.3067, 3.37706, 3.16599, 3.23635, 3.3067]","[-0.157055, -0.157055, -0.157055, -0.158796, -0.126987, -0.157296, -0.160809, -0.160409, -0.159794, -0.127613, -0.12737, -0.162323, -0.161946, -0.161235, -0.12889, -0.129179, -0.163972, -0.163247, -0.163609]","[0.0452267, 0.0452917, 0.0452589, 0.154343, 0.161378, 0.0712768, 0.220229, 0.208887, 0.190058, 0.18903, 0.178857, 0.258302, 0.249414, 0.231635, 0.235004, 0.244141, 0.293666, 0.278739, 0.286302]",14/10/2024 19:45:34
14,"[3.86954, 3.9399, 4.01025, 4.22132, 4.22132, 3.86954, 3.9399, 4.01025, 3.79919, 3.86954, 3.9399, 4.01025, 3.79919, 3.86954]","[-0.0964549, -0.0964015, -0.0961943, 0.858537, -0.483717, -0.0982444, -0.0974115, -0.0967795, -0.0321686, -0.0649011, -0.0983512, -0.0973099, -0.0650359, -0.0647846]","[0.230881, 0.228518, 0.219097, -0.902929, -0.632885, 0.298462, 0.26938, 0.244697, 0.238844, 0.270339, 0.301962, 0.265584, 0.277709, 0.263784]",14/10/2024 19:45:36
