distance,MSE_BLE,RMSE_BLE,MSE_MMW,RMSE_MMW,MSE_Fusion,RMSE_Fusion,x,y,filter_replace_rate,threshold
1.6615035359577175,0.09422543510545776,0.3069616182936521,0.43330495505617966,0.6582590334026414,0.20237030357621566,0.44985586978077285,2.308,-6.865,93.33,0.05
2.706785732192336,0.46438786102702834,0.6814600949630347,1.735676068965517,1.317450594506495,0.29680746906823324,0.5448003937849469,3.503,-6.865,92.5,0.05
3.8423495416216364,0.8170472604542045,0.9039066657870184,0.6410709459459456,0.8006690614392101,0.44621933347197407,0.6679965070806688,4.7,-6.865,92.44,0.05
5.009555868537649,2.143508241446212,1.4640724850382962,0.746708333333333,0.8641228693498009,0.7120494697368793,0.8438302375104126,5.9,-6.865,104.17,0.05
6.1893174098603145,3.723870892436971,1.9297333734060182,1.402699074074074,1.1843559743903325,1.1539030505267969,1.074198794696213,7.1,-6.865,96.67,0.05
1.6615035359577175,0.09422543510545776,0.3069616182936521,0.43330495505617966,0.6582590334026414,0.17787067859110914,0.4217471737796344,2.308,-6.865,75.83,0.1
2.706785732192336,0.46438786102702834,0.6814600949630347,1.735676068965517,1.317450594506495,0.3040848876860531,0.5514389247106637,3.503,-6.865,53.33,0.1
3.8423495416216364,0.8170472604542045,0.9039066657870184,0.6410709459459456,0.8006690614392101,0.44826472883541146,0.6695257491952131,4.7,-6.865,81.51,0.1
5.009555868537649,2.143508241446212,1.4640724850382962,0.746708333333333,0.8641228693498009,0.7118589698513307,0.8437173518728477,5.9,-6.865,87.5,0.1
6.1893174098603145,3.723870892436971,1.9297333734060182,1.402699074074074,1.1843559743903325,0.974479940704039,0.9871575055197823,7.1,-6.865,94.17,0.1
1.6615035359577175,0.09422543510545776,0.3069616182936521,0.43330495505617966,0.6582590334026414,0.13886996451104164,0.37265260566785474,2.308,-6.865,58.33,0.15
2.706785732192336,0.46438786102702834,0.6814600949630347,1.735676068965517,1.317450594506495,0.30910041368882496,0.5559679970005692,3.503,-6.865,36.67,0.15
3.8423495416216364,0.8170472604542045,0.9039066657870184,0.6410709459459456,0.8006690614392101,0.45034688883835555,0.6710788991157117,4.7,-6.865,67.23,0.15
5.009555868537649,2.143508241446212,1.4640724850382962,0.746708333333333,0.8641228693498009,0.713001535484964,0.8443941825267178,5.9,-6.865,80.83,0.15
6.1893174098603145,3.723870892436971,1.9297333734060182,1.402699074074074,1.1843559743903325,0.9899015569295394,0.994937966372547,7.1,-6.865,86.67,0.15
1.6615035359577175,0.09422543510545776,0.3069616182936521,0.43330495505617966,0.6582590334026414,0.14942819362696352,0.3865594309119408,2.308,-6.865,35.83,0.2
2.706785732192336,0.46438786102702834,0.6814600949630347,1.735676068965517,1.317450594506495,0.3140703299094076,0.5604197800840077,3.503,-6.865,21.67,0.2
3.8423495416216364,0.8170472604542045,0.9039066657870184,0.6410709459459456,0.8006690614392101,0.4568775943665985,0.6759272108493625,4.7,-6.865,62.18,0.2
5.009555868537649,2.143508241446212,1.4640724850382962,0.746708333333333,0.8641228693498009,0.7133216472222605,0.8445837123827694,5.9,-6.865,73.33,0.2
6.1893174098603145,3.723870892436971,1.9297333734060182,1.402699074074074,1.1843559743903325,1.0466593641476762,1.0230637146080768,7.1,-6.865,91.67,0.2
1.6615035359577175,0.09422543510545776,0.3069616182936521,0.43330495505617966,0.6582590334026414,0.1961622905523792,0.4429021229937594,2.308,-6.865,20.83,0.25
2.706785732192336,0.46438786102702834,0.6814600949630347,1.735676068965517,1.317450594506495,0.32223836011510604,0.5676604267650741,3.503,-6.865,12.5,0.25
3.8423495416216364,0.8170472604542045,0.9039066657870184,0.6410709459459456,0.8006690614392101,0.4756013170451437,0.6896385408640846,4.7,-6.865,51.26,0.25
5.009555868537649,2.143508241446212,1.4640724850382962,0.746708333333333,0.8641228693498009,0.713603280920357,0.8447504252265026,5.9,-6.865,65.83,0.25
6.1893174098603145,3.723870892436971,1.9297333734060182,1.402699074074074,1.1843559743903325,1.0711614676546888,1.0349693075906594,7.1,-6.865,85.0,0.25
1.6615035359577175,0.09422543510545776,0.3069616182936521,0.43330495505617966,0.6582590334026414,0.23341492308436548,0.4831303375739982,2.308,-6.865,10.83,0.3
2.706785732192336,0.46438786102702834,0.6814600949630347,1.735676068965517,1.317450594506495,0.32471533126323615,0.569837986855243,3.503,-6.865,7.5,0.3
3.8423495416216364,0.8170472604542045,0.9039066657870184,0.6410709459459456,0.8006690614392101,0.4949755361120706,0.7035449780305951,4.7,-6.865,36.97,0.3
5.009555868537649,2.143508241446212,1.4640724850382962,0.746708333333333,0.8641228693498009,0.7136119275391662,0.844755543065073,5.9,-6.865,61.67,0.3
6.1893174098603145,3.723870892436971,1.9297333734060182,1.402699074074074,1.1843559743903325,1.1328798238085154,1.0643682745218008,7.1,-6.865,78.33,0.3
1.6615035359577175,0.09422543510545776,0.3069616182936521,0.43330495505617966,0.6582590334026414,0.2598788239533785,0.5097831146216777,2.308,-6.865,3.33,0.35
2.706785732192336,0.46438786102702834,0.6814600949630347,1.735676068965517,1.317450594506495,0.3275936954977817,0.5723580133952715,3.503,-6.865,2.5,0.35
3.8423495416216364,0.8170472604542045,0.9039066657870184,0.6410709459459456,0.8006690614392101,0.5138491308615126,0.7168327077230172,4.7,-6.865,31.09,0.35
5.009555868537649,2.143508241446212,1.4640724850382962,0.746708333333333,0.8641228693498009,0.7139673754419419,0.844965901940393,5.9,-6.865,55.83,0.35
