numObj,x,y,z,velocity,timestamp
25,"[3.12489, 3.16052, 3.37164, 3.50249, 3.56131, 3.07534, 3.12067, 3.21353, 3.36649, 3.61007, 3.02445, 3.06019, 3.07804, 2.96478, 2.98604, 3.67105, 3.74127, 3.57011, 3.63032, 3.68796, 3.72933, 3.55038, 3.60522, 3.66622, 3.69931]","[0, 0.107732, 0, 0.112129, 0.228655, 0, 0, 0, -0.112129, 0.114327, 0, 0, 0, 0, 0, -0.233052, -0.118725, 0.224258, 0.114327, -0.116526, -0.118725, 0.224258, 0.228655, 0.116526, -0.118725]","[1.28046, 1.37264, 1.00337, 0.771109, 0.805749, 1.39527, 1.46495, 1.43106, 1.23646, 0.582046, 1.50241, 1.58741, 1.70304, 1.61698, 1.72284, 0.610946, 0.650116, 0.280488, 0.438353, 0.53814, 0.715405, 0.468096, 0.578446, 0.670419, 0.857216]","[0, 0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, 0.44156, 0.44156, -0.44156, -0.44156, -0.294373, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187]",10/11/2025 21:23:30
15,"[3.41499, 3.46589, 3.52371, 3.58783, 3.34388, 3.40258, 3.51024, 3.56977, 3.61983, 3.35538, 3.42124, 3.48336, 3.53329, 3.61042, 3.65616]","[0.10993, 0, -0.114327, -0.116526, 0.10993, 0.112129, 0, -0.114327, -0.116526, 0.107732, 0.10993, 0.112129, -0.114327, -0.116526, 0]","[0.836931, 0.92857, 0.977169, 1.009, 1.08676, 1.13335, 0.743527, 0.792543, 0.8874, 0.783883, 0.810995, 0.853384, 0.941927, 0.92493, 1.03264]","[0, 0, 0, 0, 0.147187, 0.147187, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187]",10/11/2025 21:23:31
11,"[3.54181, 3.61297, 3.67242, 3.54197, 3.59643, 3.66272, 3.52914, 3.58349, 3.64553, 3.56492, 3.62637]","[-0.112129, -0.114327, -0.116526, -0.112129, -0.114327, -0.116526, -0.112129, -0.114327, -0.116526, 0, 0.116526]","[0.563574, 0.563789, 0.63556, 0.562562, 0.661098, 0.689252, 0.63815, 0.728017, 0.775059, 0.822085, 0.860279]","[0, 0, 0, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, -0.147187, -0.147187]",10/11/2025 21:23:32
3,"[3.56511, 3.52077, 3.53835]","[-0.228655, -0.224258, -0.228655]","[0.788787, 0.65459, 0.901266]","[0, 0.147187, 0.147187]",10/11/2025 21:23:33
5,"[3.47171, 3.56503, 3.46704, 3.56087, 3.6218]","[-0.114327, -0.114327, -0.112129, -0.114327, -0.116526]","[1.14832, 0.813623, 0.917433, 0.83163, 0.87931]","[0, 0.147187, -0.147187, -0.147187, -0.147187]",10/11/2025 21:23:34
9,"[3.23255, 3.32656, 3.43192, 3.25046, 3.32945, 3.21769, 3.27696, 3.34964, 3.43141]","[0.10993, 0.112129, 0.228655, 0.10993, 0.112129, 0.107732, 0.10993, 0.224258, 0.342982]","[1.38318, 1.34016, 1.24662, 1.34057, 1.33298, 1.23268, 1.27442, 1.26659, 1.22158]","[0, 0, 0, 0.147187, 0.147187, -0.147187, -0.147187, -0.147187, -0.147187]",10/11/2025 21:23:36
11,"[3.52181, 3.55251, 3.56981, 3.32308, 3.41681, 3.55962, 3.55734, 3.48207, 3.54152, 3.60603, 3.67447]","[-0.224258, 0, 0.116526, 0.10993, 0.112129, 0, -0.114327, -0.10993, 0, 0, 0.116526]","[0.648978, 0.874136, 1.07101, 1.14879, 1.0897, 0.451332, 0.846601, 0.487637, 0.576389, 0.617285, 0.623602]","[0, 0, 0, 0.147187, 0.147187, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187]",10/11/2025 21:23:38
1,"[3.52314]","[0.224258]","[0.641723]","[-0.147187]",10/11/2025 21:23:39
4,"[3.5452, 3.58969, 3.46694, 3.50889]","[-0.114327, 0, -0.112129, -0.228655]","[0.896088, 1.0091, 0.917817, 1.00989]","[0, 0, 0.147187, 0.147187]",10/11/2025 21:23:40
12,"[3.17388, 3.23976, 3.30649, 3.43932, 3.14812, 3.2937, 3.36022, 3.45751, 3.19216, 3.26943, 3.32102, 3.46287]","[0.211066, 0.215463, 0.21986, 0.224258, 0.215463, 0.323195, 0.329791, 0.336386, 0.211066, 0.215463, 0.329791, 0.224258]","[1.13422, 1.15854, 1.18046, 0.997707, 1.38836, 0.965276, 0.987358, 0.898367, 1.08169, 1.07194, 1.11209, 0.912602]","[0, 0, 0, 0, 0.147187, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187]",10/11/2025 21:23:41
