Unnamed: 0,CreateTime,BeaconID,Channel,RSSI_1,RSSI_2,RSSI_3,RSSI_4,Azim_1,Azim_2,Azim_3,Azim_4,Elev_1,Elev_2,Elev_3,Elev_4,X_sylabs,Y_sylabs,Z_sylabs,X_real,Y_real,Z_real,Real_Dist_1,Real_Dist_2,Real_Dist_3,Real_Dist_4,Dest_RSSI_1,Dest_RSSI_2,Dest_RSSI_3,Dest_RSSI_4,X_est_MLT,Y_est_MLT,X_est_TRIG,Y_est_TRIG,X_est_TRIANG,Y_est_TRIANG,Dest_MLT_1,Dest_MLT_2,Dest_MLT_3,Dest_MLT_4,X_est_MLT_KF,Y_est_MLT_KF,X_est_TRIG_KF,Y_est_TRIG_KF,X_est_TRIANG_KF,Y_est_TRIANG_KF,X_est_FUSAO,Y_est_FUSAO
0,2024-10-14 19:28:42,6bba18e6-5485-b6e5-7a8c-c0116dd633d4,17,-63,-76.0,-57.0,-71.0,-3101772802654810,-2.25763622457069e+16,2561078929703190.0,-2287567492062090.0,0.525084786,0.275207239,0.297991547,0.246510413,,,,-7.1,6.865,1.78,,,,,2201696409216200,6593121576781910.0,1.32077693238821e+16,3.87623318122738e+16,-3143334116221990.0,7685416236014330.0,-5471318496922960.0,6944782032648710.0,-6222093895628590.0,7715199121429720.0,2.15286393023147e+16,6827860761293510.0,2578670825556960.0,3.07990688026066e+16,-4945582169591180.0,,-4945582169591180.0,7448465796697590.0,-4945582169591180.0,7448465796697590.0,-4945582169591180.0,7448465796697590.0
1,2024-10-14 19:28:43,96f0d89d-158d-f0a8-6720-944fa605a965,11,-63,-74.0,-55.0,-76.0,3030765204826140,-2.26530399798124e+16,2582444938496680.0,-2299549586438570.0,0.543958642,0.282700975,0.262920545,0.214994049,,,,-7.1,6.865,1.78,,,,,2201696409216200,5586613649704090.0,1.11712611024095e+16,5797424075157780.0,-2.78071137941558e+16,8348414926312900.0,-5709535103363110.0,7051810460234080.0,-6141203945132900.0,7446298252568970.0,1.86084075505172e+16,7363473244603110.0,2.97896150051583e+16,3792761499267830.0,-4168449065425580.0,,-5658604907778320.0,7078254149331640.0,-6025498612015960.0,7446508014904000.0,-5.80536238947337e+16,722555569556059.0
2,2024-10-14 19:28:44,273562e7-544d-f70e-c306-79c764276b02,1,-63,-77.0,-56.0,-79.0,3098155963578380,-2281259528704130.0,2586593610842800.0,-2272315568499200.0,0.525690888,0.295244363,0.259864818,0.279498823,,,,-7.1,6.865,1.78,,,,,2201696409216200,7162461609883260.0,1.21469107059154e+16,7381254412681240.0,-2829948030229570.0,847326468058948.0,-5772591473457970.0,7132841997661260.0,-6218101985744010.0,7558753142663900.0,1946093874853710.0,7496568861265060.0,2954408579677210.0,3906237571785720.0,-3332830704290900.0,,-5782687005437230.0,7119434847387280.0,-6237143915234510.0,7547614411799080.0,-596152197868219.0,7285864767877850.0
3,2024-10-14 19:28:45,7a556fdd-70bd-493e-6de3-b6e224a40f81,35,-65,-86.0,-60.0,-72.0,-3090919622264410,-2.31286406030842e+16,2.56361852011869e+16,-2256550986426480.0,0.5137039,0.392257763,0.292763396,0.27309938,,,,-7.1,6.865,1.78,,,,,27358800764546100,1509396415848640.0,1.69793235601133e+16,4201215216834310.0,-3270271383887580.0,8922648316525880.0,-6037131977830450.0,7358297940845340.0,-6344043772633830.0,7.66385162620007e+16,2526201040517130.0,8046508486611960.0,26731353348421.0,4301079820162330.0,-3.09247113872495e+16,,-6031674145539460.0,7339328618162430.0,-6361112786236030.0,7658270157786370.0,-6.15890816715645e+16,7461261537133290.0
4,2024-10-14 19:28:46,bf0c3181-355d-d051-0105-a57a4abac24b,16,-63,-70.0,-57.0,-76.0,-3080583894073820,-2270513141073440.0,2669068514009250.0,-2261057853939220.0,0.591287808,0.36922335,0.21005257,0.281244991,,,,-7.1,6.865,1.78,,,,,2201696409216200,4011102370120820.0,1.32077693238821e+16,5797424075157780.0,-2176710048815280.0,814819395202762.0,-5636614547936080.0,7064219489085740.0,-6281194218372700.0,7.79154570999562e+16,1.22510937066788e+16,7042892701690690.0,3.55316395950166e+16,3.76792020943235e+16,-2.37060647085585e+16,,-5680563904899770.0,7092205850816780.0,-6307587248332350.0,7.78716431152494e+16,-5.93135195147004e+16,7368357547265970.0
5,2024-10-14 19:28:47,3dbb1480-5115-777f-a8e1-930bff609b40,30,-65,-84.0,-61.0,-75.0,-31063478470914600,-2.25653740430492e+16,2641874976118450.0,-2210972582266430.0,0.629515022,0.362802635,0.245696035,0.277418595,,,,-7.1,6.865,1.78,,,,,27358800764546100,1.27897150407323e+16,1.84622242055605e+16,5348968430783270.0,-351590777808561.0,10.0,-6670911180054490.0,793642469590009.0,-6073536067217420.0,7781965039243990.0,3.32950462165357e+16,9149570815256490.0,3.07969527216119e+16,5.37100468251626e+16,-2891324347517200.0,,-6591900126350640.0,7869095112407320.0,-6101446210283360.0,7793210889811030.0,-6.38716426113458e+16,7829285298984810.0
6,2024-10-14 19:28:48,324cca2d-a863-7b9e-00f9-2e2184e72503,34,-67,-77.0,-61.0,-80.0,-3109362545445430,-2.16687063461472e+16,2684124961548120.0,-2294896511381990.0,0.64054537,0.458720909,0.244477789,0.266878785,,,,-7.1,6.865,1.78,,,,,33996693465135500,7162461609883260.0,1.84622242055605e+16,8000096203722880.0,-2312138337589920.0,8662775036028340.0,-574203447769604.0,7357936509239360.0,-5.7940914384374e+16,7818122225679190.0,1.56099981144824e+16,7573080200398020.0,350145746791661.0,4211594354490940.0,-2483164873968060.0,,-5837474236887560.0,7423990733997850.0,-5814919922710420.0,7820738335183280.0,-5841049475526920.0,7588239301917090.0
7,2024-10-14 19:28:49,c71acbf1-7d34-d8b6-fd5a-a7710817fc61,35,-63,-75.0,-61.0,-72.0,-3085437505160490,-2.08914920767795e+16,2.69418425361757e+16,-2233116500414330.0,0.564991157,0.411329891,0.2026353,0.2134992,,,,-7.1,6.865,1.78,,,,,2201696409216200,6069038061753150.0,1.84622242055605e+16,4201215216834310.0,-2.12223260250299e+16,7.71713472602647e+16,-5239561280651200.0,7107012089607790.0,-5.28176686741358e+16,7933898461935360.0,1.13238167482304e+16,6.60884453491218e+16,3.59707643801791e+16,3390977055065570.0,-2170245053344980.0,,-5.26576659430157e+16,7123727138979890.0,-5313878995700250.0,7926638341287360.0,-528888858836426.0,7441626533396530.0
8,2024-10-14 19:28:50,beffea44-ce09-5347-5ac5-2168733c1509,1,-63,-71.0,-54.0,-80.0,-30819674062601100,-2093300276869060.0,2641616116860490.0,-2254905419188920.0,0.631248208,0.429311654,0.31144344,0.136176698,,,,-7.1,6.865,1.78,,,,,2201696409216200,4357475651666180.0,1.0273976457029e+16,8000096203722880.0,-2.86715167118081e+16,807632343116934.0,-5347949978660370.0,7284817339097600.0,-5325718771185330.0,7929400895482710.0,1.88894556484824e+16,7122151532050640.0,2859140496761060.0,3.50915600529587e+16,-2509501663742380.0,,-5311283243836840.0,7258251060153460.0,-528872949258169.0,7936522261955240.0,-5297204843074170.0,7.51928059824359e+16
9,2024-10-14 19:28:51,59c1ab21-d941-b03c-eeb1-f1fc960cd29d,19,-61,-74.0,-56.0,-75.0,-2985777489795870,-2.16508498510382e+16,2.6486202305274e+16,-2.30291635468865e+16,0.616900427,0.384490354,0.303333183,0.153220113,,,,-7.1,6.865,1.78,,,,,17718127048307100,5586613649704090.0,1.21469107059154e+16,5348968430783270.0,-2.39681374650957e+16,8113107033177860.0,-5491873156391830.0,7.1788628644679e+16,-587221343476281.0,80067922189467.0,1.4311140564154e+16,7048918533019330.0,3330913226885360.0,3661597642585850.0,-2.42782634667277e+16,,-5467790791036310.0,7183798979551510.0,-5798658664062720.0,8003756478491950.0,-5594730701355590.0,7504549001504460.0
10,2024-10-14 19:28:52,4ab698e7-49af-8dbd-1fc7-29ebc67516ac,6,-63,-72.0,,-75.0,-29877482290025300,-2.28671661209381e+16,,-2390215307853670.0,0.617758098,0.507419173,,0.196913365,,,,-7.1,6.865,1.78,,,,,2201696409216200,4733759526135370.0,,5348968430783270.0,0.0,5845019406335280.0,-6208272410416580.0,7796996727182800.0,-777400577662271.0,8827071535503440.0,2.21593053846209e+16,4743479846310650.0,605706301240319.0,3.72696018178139e+16,-0.884922541,,-6156897329763820.0,7749562153001510.0,-7603030357946790.0,8752646640751850.0,-6719783202671220.0,8136540377293490.0
11,2024-10-14 19:28:53,f29a4920-0ec9-4dd4-1abd-fc89f64922f8,7,-63,-76.0,,-79.0,-31004537389669000,-2.05002004757169e+16,,-2.5005751055299e+16,0.609843184,0.492460564,,0.152371047,,,,-7.1,6.865,1.78,,,,,2201696409216200,6593121576781910.0,,7381254412681240.0,0.0,7332188531452750.0,-5504074685972480.0,7820144279631680.0,-4277180381680300.0,6894627915220330.0,1.11035496285273e+16,6205665630929780.0,5740042789493000.0,4440580731906320.0,-0.094886265,,-5580266173300460.0,7837087865862070.0,-4706511638043400.0,7117710948520780.0,-5240903465975200.0,7552724350904780.0
12,2024-10-14 19:28:54,e597a3bc-6542-5209-d9db-306b5888461e,28,-61,-73.0,,-75.0,-3085412205130130,-1.98994539180806e+16,,-2173154096890650.0,0.515390614,0.503598036,,0.182700507,,,,-7.1,6.865,1.78,,,,,17718127048307100,5142536882038340.0,,5348968430783270.0,,,,,-4.23354019442698e+16,7385103548510500.0,,,,,,,,,-4168386943901600.0,7288971649758990.0,,
13,2024-10-14 19:28:55,a63a3c56-39e1-f3b0-d65d-9b8e84899d92,2,-65,-87.0,,-71.0,-31000635858672000,-1.94429215282138e+16,,-2.18180604148204e+16,0.571439668,0.412832979,,0.171436518,,,,-7.1,6.865,1.78,,,,,27358800764546100,1.6397382873513e+16,,3.87623318122738e+16,-2.93378452107072e+16,8125073068376180.0,-4041484135935580.0,7778933240176530.0,-3.71402407857973e+16,6998898428340700.0,1.96186881964828e+16,7186923569225060.0,2.79717181804128e+16,3.54537752292123e+16,-3289896514804460.0,,-4175871301229900.0,7719133887556570.0,-3.68017932976924e+16,7005610725535970.0,-400391108878476.0,7.43392805410682e+16
14,2024-10-14 19:28:56,0655f707-815d-c251-5079-a3f15249c554,15,-66,-80.0,,-74.0,31258714810428300,-1.99415185474984e+16,,-2.19817343006751e+16,0.476887396,0.450236577,,0.173575935,,,,-7.1,6.865,1.78,,,,,3049768455417540,9182817987739100.0,,4935202756016660.0,-4279203113839680.0,10.0,-5588140968215030.0,8948778382150630.0,-4137192710246970.0,7.14734471201246e+16,3.93911349074309e+16,9388998515501670.0,2.58978298045459e+16,5.4239730962995e+16,-3.72096099260097e+16,,-543300982093998.0,8883047398730280.0,-4032281608551540.0,7.10882559829932e+16,-4870209134895040.0,818372693996486.0
15,2024-10-14 19:28:57,8b91388b-ef2d-b0b9-ff1c-f90c173e5b0f,1,-62,-80.0,-55.0,-76.0,3095862981879820,-2001354373917960.0,258450942097371.0,-2201403977627830.0,0.495048058,0.443299542,0.681942211,0.202566208,,,,-7.1,6.865,1.78,,,,,19750933319793800,9182817987739100.0,1.11712611024095e+16,5797424075157780.0,-3445268982319840.0,884590160816365.0,-5454909646765650.0,7.69278777896012e+16,-4.62959859100844e+16,7864272908741870.0,2654441217896870.0,8024739395018590.0,2482048557683420.0,4217617963263470.0,-3.49389610686173e+16,,-5.48273709407472e+16,783602322184449.0,-4564414757235740.0,778589139689681.0,-5130511677573910.0,7842986205395440.0
16,2024-10-14 19:28:58,39a032af-6c6e-4760-66b5-fc998f2c628e,11,-67,-73.0,-57.0,-75.0,3111380688919490,-2026048535125720.0,2.53981838208887e+16,-2.20914352322976e+16,0.548284748,0.322908548,0.804566066,0.2243119,,,,-7.1,6.865,1.78,,,,,33996693465135500,5142536882038340.0,1.32077693238821e+16,5348968430783270.0,-2.71094373579744e+16,8342668902247020.0,-5255275104515010.0,7343354586807760.0,-4843698565007830.0,791033085996115.0,1.79232920993219e+16,734123221006394.0,3.04681050641661e+16,3801417116253780.0,-2936441183731320.0,,-5286093240593620.0,7359745607902580.0,-4.84244230222665e+16,7932895334491170.0,-5120424139636370.0,7590390989625900.0
17,2024-10-14 19:28:59,72371ab1-cc8b-272f-9e66-084da9feb12b,28,-64,-73.0,-60.0,-69.0,31052458310323900,-1.97506471290114e+16,2509623461649550.0,-2.23340039338653e+16,0.495512646,0.351300875,0.675941976,0.206899953,,,,-7.1,6.865,1.78,,,,,2454297728552150,5142536882038340.0,1.69793235601133e+16,3.29974078676243e+16,-3.30948960774397e+16,7314629481120600.0,-4952586441715080.0,7023727614073840.0,-4455942856503100.0,7900050331506420.0,2.37009286967749e+16,6534170657248560.0,2465453491176600.0,2.69410326406867e+16,-3049858514088040.0,,-4974502863199830.0,7020087703423700.0,-4.5198056830241e+16,79263804872554.0,-4799820274097820.0,7373260118279800.0
18,2024-10-14 19:29:00,ef5b1c66-b046-1d75-87d3-73c13106dcab,22,-63,,-65.0,-71.0,30943955801191900,,2.52367856061855e+16,-2249288546133830.0,0.528585045,,0.559208568,0.221497438,,,,-7.1,6.865,1.78,,,,,2201696409216200,,2.580706206006e+16,3.87623318122738e+16,-3160970337363770.0,8532706918429900.0,-5709648808493500.0,7237112644161420.0,-5962959918794010.0,7639045912447270.0,2278656750090560.0,7641580103243170.0,2.64666847717951e+16,3.92045828719372e+16,-3.06214434154456e+16,,-5643094440113840.0,7195716659528910.0,-5817167079596460.0,7.67664228799703e+16,-5704359571852210.0,7375381785081530.0
