;CreateTime;BeaconID;Channel;RSSI_1;RSSI_2;RSSI_3;RSSI_4;Azim_1;Azim_2;Azim_3;Azim_4;Elev_1;Elev_2;Elev_3;Elev_4;X_sylabs;Y_sylabs;Z_sylabs;X_real;Y_real;Z_real;Real_Dist_1;Real_Dist_2;Real_Dist_3;Real_Dist_4;Dest_RSSI_1;Dest_RSSI_2;Dest_RSSI_3;Dest_RSSI_4;X_est_MLT;Y_est_MLT;X_est_TRIG;Y_est_TRIG;X_est_TRIANG;Y_est_TRIANG;Dest_MLT_1;Dest_MLT_2;Dest_MLT_3;Dest_MLT_4;X_est_MLT_KF;Y_est_MLT_KF;X_est_TRIG_KF;Y_est_TRIG_KF;X_est_TRIANG_KF;Y_est_TRIANG_KF;X_est_FUSAO;Y_est_FUSAO
0;1728945313;231939e5-3158-3124-460c-a6a80d722c7a;29;-59;-83;-75;-72;2.522112622;-1.459338508;0.22955117;-1.087091305;0.347619821;0.251930495;0.211984693;0.158047292;;;;-2.308;6.865;1.78;;;;;1.425864278;11.77306781;5.961766054;4.201215217;-1.315998081;7.747300575;-1.175528431;7.550846857;-0.247513457;8.407523149;0.330268026;6.549418902;4.402108525;3.820295269;-0.913013323;;-0.913013323;7.901890194;-0.913013323;7.901890194;-0.913013323;7.901890194
1;1728945314;beda3b4c-2c09-258d-c080-61fc18fe5fc6;36;-58;-77;-86;-73;2.515963916;-1.357777528;0.200338157;-0.940426097;0.307416707;0.35561949;0.214677232;0.210131283;;;;-2.308;6.865;1.78;;;;;1.279111423;7.16246161;14.97527926;4.553443633;-0.539239558;7.700467735;-0.657846042;7.505158513;0;8.245876549;0.472467846;6.510091869;5.179805289;4.282142037;-0.778838126;;-0.674857194;7.531607292;-0.088356128;8.212587547;-0.440256767;7.803999394
2;1728945315;57835e85-59e4-6299-5982-115a3e07c070;34;-60;-82;-74;-75;2.545093039;-1.296400986;0.196998287;-0.934726133;0.224440248;0.478880739;0.226769698;0.227291212;;;;-2.308;6.865;1.78;;;;;1.589454134;10.83723329;5.482912226;5.348968431;-0.459485227;8.772206333;-0.443451901;7.823999805;0;8.302365706;1.08810657;7.584782409;5.338475415;5.152793561;-0.588142182;;-0.453955456;7.793523508;0.020332216;8.304455019;-0.270107416;7.989701422
3;1728945316;adc34e4e-6bc2-7009-5c59-faac8475fd84;18;-60;-80;-74;-73;2.504524573;-1.221370816;0.213928268;-0.914809816;0.230468829;0.470308656;0.126158019;0.227810861;;;;-2.308;6.865;1.78;;;;;1.589454134;9.182817988;5.482912226;4.553443633;-1.194733081;8.09928237;-0.540426955;7.533440644;0;8.232907551;0.339299458;6.896322025;4.529354264;4.178957594;-0.911104026;;-0.52260578;7.558999349;0.019864854;8.249278203;-0.30872855;7.832111023
4;1728945317;bbfbe379-8f94-5814-5e92-760897de9b68;4;-54;;-73;-70;2.491905451;;0.264846044;-0.906977326;0.254041133;;0.099886842;0.240459644;;;;-2.308;6.865;1.78;;;;;0.828379098;;5.042520321;3.576389901;-0.740336703;6.919426653;-1.292601467;7.0815255;-1.885570989;6.892507907;0.940699996;5.718878901;5.062184879;3.604062885;-0.829651896;;-1.235425218;7.108931654;-1.693994274;7.024507624;-1.411104623;7.076901401
5;1728945318;107a1c32-5458-d9d6-06b1-1b917e612f36;28;-64;;-81;-77;2.517602292;;0.288604903;-0.940800537;0.448296697;;0.076567205;0.197811899;;;;-2.308;6.865;1.78;;;;;2.454297729;;9.852733772;6.283478084;0;8.648856167;-0.668852543;7.342314451;-2.017461597;6.84347035;1.291806481;7.508409147;5.773098564;5.345163477;-0.313034627;;-0.738216284;7.304028551;-2.076271821;6.794651596;-1.272569863;7.098730998
6;1728945319;7bc1bf4b-8805-9cf4-7c67-aa6406376a2d;11;-58;;;-68;2.474878797;;;-0.927090584;0.463364164;;;0.209932461;;;;-2.308;6.865;1.78;;;;;1.279111423;;;3.044491669;;;;;;;;;;;;;;;;;;
7;1728945320;c96a487c-03ab-49b4-2605-4a2ea7f064b1;4;-57;;-81;-66;2.380295565;;0.287054144;-1.009344445;0.552239076;;0.106647834;0.21495773;;;;-2.308;6.865;1.78;;;;;1.147462671;;9.852733772;2.591699948;-0.223373608;5.590179423;-1.473690047;6.632239233;-2.151049718;6.775643224;2.364282195;4.450701657;5.938742073;3.436771772;-0.412551845;;-1.410230085;6.687315936;-1.922756724;6.92555599;-1.607378738;6.784512489
8;1728945321;753b8bf8-132a-352d-dc8e-c28185c4aeba;9;-56;;-76;-66;2.382821307;;0.34029393;-0.854354595;0.455155469;;0.162406804;0.180447257;;;;-2.308;6.865;1.78;;;;;1.029363477;;6.482440903;2.591699948;-0.627717026;6.069650677;-1.443802967;6.568612;-2.029642706;6.576135569;1.793362213;4.877124856;5.390382;3.233904432;-0.483735647;;-1.46929419;6.538124116;-2.106785781;6.54453741;-1.719504063;6.539082316
9;1728945322;197eefe4-fd3d-d6ac-f72d-36314c16fbb7;24;-63;;;-74;2.473847621;;;-0.987739018;0.416417128;;;0.181314449;;;;-2.308;6.865;1.78;;;;;2.201696409;;;4.935202756;;;;;;;;;;;;;;;;;;
