,CreateTime,BeaconID,Channel,RSSI_1,RSSI_2,RSSI_3,RSSI_4,Azim_1,Azim_2,Azim_3,Azim_4,Elev_1,Elev_2,Elev_3,Elev_4,X_sylabs,Y_sylabs,Z_sylabs,X_real,Y_real,Z_real,Real_Dist_1,Real_Dist_2,Real_Dist_3,Real_Dist_4,Dest_RSSI_1,Dest_RSSI_2,Dest_RSSI_3,Dest_RSSI_4,X_est_MLT,Y_est_MLT,X_est_TRIG,Y_est_TRIG,X_est_TRIANG,Y_est_TRIANG,Dest_MLT_1,Dest_MLT_2,Dest_MLT_3,Dest_MLT_4,X_est_MLT_KF,Y_est_MLT_KF,X_est_TRIG_KF,Y_est_TRIG_KF,X_est_TRIANG_KF,Y_est_TRIANG_KF,X_est_FUSAO,Y_est_FUSAO
0,1728945228.26195,ac9ba3b2-7118-0849-947d-235e2851164b,10,-63.0,-74.0,-66.0,-63.0,2.7979830876322813,-1.940313390152808,0.6842819315487747,-1.6627640676669295,0.3440115368345454,0.1849092166623837,0.1553908556532431,0.1651371930050924,,,,,,,,,,,2.201696409216202,5.586613649704094,2.806093918599334,2.0355867492433806,-2.874892356306853,6.6130599822554315,-3.2975396443507843,6.553064841853608,-3.7225253422023243,7.030406985005604,2.2366926203463087,5.726178205974042,3.0980182287544706,2.087232026153515,-3.298319114286654,,-3.298319114286654,6.732177269704882,-3.298319114286654,6.732177269704882,-3.298319114286654,6.732177269704882
1,1728945229.234644,6a1ae8a5-9a19-8e68-5c6a-9c19553950ff,23,-63.0,-77.0,-74.0,-65.0,2.840450919639121,-1.9492626766799104,0.6139076334273218,-1.6298043865419456,0.2902328269144621,0.189252382991869,0.1081772289719903,0.1475212312768158,,,,,,,,,,,2.201696409216202,7.162461609883263,5.482912225965854,2.3912208293263255,-1.8610467268078994,6.203418176232871,-2.891018484703828,6.386345563652968,-3.66148610612417,7.072950715461285,1.8383591989017285,5.072761656970041,4.191234984203465,2.2892971139470686,-2.7823751803199217,,-2.91817186000935,6.409401010723096,-3.6263409133657007,7.039972640065504,-3.20143948135189,6.66162966246006
2,1728945230.235178,f45e69e4-f2c0-4bbc-bc6e-18915f982e13,31,-68.0,-74.0,-69.0,-67.0,2.8619026822197093,-1.9525560748419568,0.6322837112649776,-1.7455585501641853,0.2907897937669386,0.1436915224054978,0.1177830762539596,0.1272187974765432,,,,,,,,,,,3.789714476550828,5.586613649704094,3.607390121344118,2.808987166343766,-3.207117784380418,5.980784715614792,-3.4183084096474365,6.278845898693326,-3.8814830070771156,7.141266320218719,2.880033872566804,5.264425927894187,3.1270652045308633,1.3882015313039031,-2.9184531818554653,,-3.372669407769516,6.27994239701958,-3.867874094076017,7.142117742401585,-3.561200360961366,6.618001262982466
3,1728945231.236965,35b77f10-7360-cc68-f412-5f0b80dec02e,2,-76.0,-70.0,-83.0,-69.0,2.853489756336149,-1.9316465318593088,0.6772503873226385,-1.5624284083337587,0.2645520976808825,0.1454884071272447,0.1217643855703304,0.1052968454831231,,,,,,,,,,,9.035766121892593,4.011102370120824,11.648875957938406,3.2997407867624373,-2.511013179297798,1.8002578119802457,-3.1000054399210737,4.9961288469273315,-3.5029849890431493,7.008345024532167,6.212552968941969,1.6329799259933186,6.843197359313707,3.004313514192175,-2.6527041070794186,,-3.1344237031467532,5.078154264370801,-3.5558003012503523,7.031174749937723,-3.3028863524220573,5.8541487577035225
4,1728945232.258919,3f7057c3-8f8c-1d6f-40c7-eaaebd29802d,27,-68.0,-75.0,-69.0,-71.0,2.855745453779446,-1.8817914904627528,0.7071270600116925,-1.5232908592700631,0.1923719599585173,0.1342183338353281,0.1169535764758056,0.1694454885690545,,,,,,,,,,,3.789714476550828,6.069038061753152,3.607390121344118,3.8762331812273843,-2.7064786152871108,6.727974997282271,-3.0991339696399933,6.650337047920086,-3.3902691318991667,7.268309333417644,2.03288536498567,5.78260379996317,3.21142007755379,2.252199638333504,-2.6343934296342226,,-3.0981037251397505,6.483984870911113,-3.3969475145414836,7.243731425840245,-3.2147125243759103,6.756490998254445
5,1728945233.241162,f5ca3d6a-fd99-fb54-d24c-6b038b2e4584,2,-64.0,-71.0,-66.0,-61.0,2.884304660677238,-1.8967806931841005,0.676829607870406,-1.5043175675579572,0.1480343558398468,0.1838120775170551,0.186348522073517,0.1203518532505307,,,,,,,,,,,2.454297728552155,4.357475651666184,2.806093918599334,1.7328443123601454,-2.9272993163041887,6.28093697474919,-3.1865895905333748,6.442853020974555,-3.3459435739457124,7.1528008720197676,2.473441180569354,5.4321371428406655,3.198726649405993,1.7560623773371964,-2.7839647601473354,,-3.1772286404234134,6.481376043590485,-3.33814624554136,7.172454862989261,-3.238525785953771,6.7544551189879725
6,1728945234.234284,4ff181e7-73a0-09b8-4ce6-7eb37201f50c,27,-84.0,-77.0,-75.0,-71.0,2.838049280968088,-1.863410618935135,0.6934410751697752,-1.5357507247461075,0.1816576967084787,0.1870034100303243,0.1904452794231428,0.1691058023720149,,,,,,,,,,,21.543857700818247,7.162461609883263,5.961766053683409,3.8762331812273843,-7.296144592557721,3.763732936000454,-4.2099993106147275,6.713011694529106,-3.4172762671295644,7.477109369546566,7.496553430840529,6.805105244898604,4.377054035081103,3.8710860502435183,-5.613656793371508,,-4.137861506309955,6.711310000510573,-3.4008381514244284,7.4484683390212405,-3.8387021236064465,7.001097531829883
7,1728945235.236403,bee2301a-65bb-d2fd-d751-18b586aab707,10,-63.0,-75.0,-68.0,-69.0,2.868902534828874,-1.8155059435628984,0.7027051473377248,-1.5002788837648515,0.121920138882208,0.1665777800625004,0.1663041402604948,0.1600574129628481,,,,,,,,,,,2.201696409216202,6.069038061753152,3.317641655516804,3.2997407867624373,-2.276513143564865,7.209250514809111,-2.8024443149541853,6.919217804759135,-3.251790562612504,7.921040682216878,1.4217676904622454,6.139554773118405,3.4989140767091977,2.865557921668698,-3.929592329856943,,-2.9389916104314215,6.9201316031259,-3.2658046583684035,7.890691828852459,-3.0869028851755735,7.30127410347522
8,1728945236.235436,0dbe7a86-4a11-d4b1-802f-0a33867fa644,26,-80.0,-77.0,-70.0,-72.0,2.8115934386992407,-1.8017922618456443,0.7905431243073723,-1.5037311394859216,0.1029677862741727,0.1333892751432296,0.1675725539534291,0.2038745022464627,,,,,,,,,,,13.952249264829247,7.162461609883263,3.9224439643539486,4.201215216834319,-7.39334867839341,4.7679901072065265,-4.221502391558928,6.928505848539264,-3.254252886703967,7.968084884886393,7.091133569108388,7.32739024625547,3.5048951185000994,3.8728435473490146,-6.110267067338107,,-4.096915697345214,6.943255801029847,-3.2478287088984454,7.991432016294768,-3.747934429207696,7.355405849364428
9,1728945237.252552,1c1550d7-8ffa-661d-3a96-2082e04c846c,19,-67.0,-70.0,-80.0,-67.0,2.8040668128264588,-1.872231807413804,0.9704188832857222,-1.5059182605311494,0.0769317996735549,0.1666863538111916,0.1953580126860119,0.2406583162492325,,,,,,,,,,,3.3996693465135586,4.011102370120824,9.061354298965988,2.808987166343766,-0.9975977073654204,4.498410068221542,-2.9771374079523536,5.324389823752173,-3.3681618343752042,6.818728040582386,3.3265909460427148,3.292418834608348,5.7861140976538845,2.5287764768610717,-3.219964353049898,,-3.0917930932481887,5.448065886895978,-3.352229444564383,6.951281270288342,-3.2097273461420057,6.0515429382302255
