numObj,x,y,z,velocity,numObj_static,x_static,y_static,z_static,velocity_static,timestamp
12,"[0.720434, 1.01259, 1.01405, 0.727481, 0.761713, 0.840348, 0.852589, 0.832517, 0.776922, 0.820419, 0.819608, 0.78005]","[2.37449, 2.3591, 2.42286, 2.57237, 2.37449, 2.44045, 2.50641, 2.57237, 2.37449, 2.44045, 2.50641, 2.57237]","[0.507736, 0.430888, 0.499065, 0.618432, 0.443412, 0.338219, 0.372322, 0.467548, 0.416188, 0.384043, 0.440198, 0.550643]","[0, 0, 0, 0, -0.294373, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187]",7,"[-0.168143, -0.0589794, -0.0596558, -0.413831, -0.30254, -0.456781, 0.149923]","[-1.00303, 0.0899548, 0.0707165, 0.421401, 0.062228, 0.0464036, 0.0287088]","[0.708928, 0.0381937, -0.0843408, -0.239477, 0, 0.153979, 0.0890875]","[0, 0, 0, 0, 0, 0, 0]",24/11/2025 20:27:31
0,"[]","[]","[]","[]",7,"[-0.168143, -0.0589794, -0.0596558, -0.413831, -0.30254, -0.456781, -0]","[-1.00303, 0.0899548, 0.0707165, 0.421401, 0.062228, 0.0464036, -0]","[0.708928, 0.0381937, -0.0843408, -0.239477, 0, 0.153979, -0]","[0, 0, 0, 0, 0, 0, 0]",24/11/2025 20:27:32
10,"[0.861074, 0.877934, 0.869689, 0.796112, 0.84583, 0.859419, 0.851155, 0.837378, 0.887093, 0.906891]","[2.44045, 2.50641, 2.57237, 2.37449, 2.44045, 2.50641, 2.57237, 2.37449, 2.44045, 2.50641]","[0.281297, 0.307836, 0.394116, 0.378188, 0.324266, 0.356274, 0.43269, 0.274989, 0.183419, 0.207559]","[0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373]",7,"[-0.168143, -0.0589794, -0.0596558, -0.439443, -0.30254, -0.476058, -0]","[-1.00303, 0.0899548, 0.0707165, 0.432149, 0.062228, 0.0421769, -0]","[0.708928, 0.0381937, -0.0843408, -0.162239, 0, 0.0781143, -0]","[0, 0, 0, 0, 0, 0, 0]",24/11/2025 20:27:33
0,"[]","[]","[]","[]",7,"[-0.168143, -0.0589794, -0.0596558, -0.439443, -0.30254, -0.476058, 0.149923]","[-1.00303, 0.0899548, 0.0707165, 0.432149, 0.062228, 0.0421769, 0.0287088]","[0.708928, 0.0381937, -0.0843408, -0.162239, 0, 0.0781143, 0.0890875]","[0, 0, 0, 0, 0, 0, 0]",24/11/2025 20:27:34
10,"[0.918381, 0.939725, 0.959329, 0.894785, 0.91725, 0.939907, 1.09917, 1.1144, 1.15015, 0.95023]","[2.50641, 2.57237, 2.63833, 2.50641, 2.57237, 2.63833, 2.42286, 2.48662, 2.55038, 2.57237]","[0.148689, 0.169123, 0.196788, 0.254737, 0.265212, 0.274979, 0.263018, 0.321851, 0.30416, 0.0935363]","[0, 0, 0, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, -0.147187]",7,"[-0.168143, -0.0589794, -0.0596558, -0.439443, -0.30254, -0.476058, -0]","[-1.00303, 0.0899548, 0.0707165, 0.432149, 0.062228, 0.0421769, -0]","[0.708928, 0.0381937, -0.0843408, -0.162239, 0, 0.0781143, -0]","[0, 0, 0, 0, 0, 0, 0]",24/11/2025 20:27:35
1,"[0.322814]","[2.5218]","[0.559193]","[0.147187]",7,"[-0.168143, -0.0589794, -0.0596558, -0.439443, -0.30254, -0.476058, -0]","[-1.00303, 0.0899548, 0.0707165, 0.432149, 0.062228, 0.0421769, -0]","[0.708928, 0.0381937, -0.0843408, -0.162239, 0, 0.0781143, -0]","[0, 0, 0, 0, 0, 0, 0]",24/11/2025 20:27:36
0,"[]","[]","[]","[]",6,"[-0.0589794, -0.0596558, -0.413831, -0.30254, -0.476058, -0]","[0.0899548, 0.0707165, 0.421401, 0.062228, 0.0421769, -0]","[0.0381937, -0.0843408, -0.239477, 0, 0.0781143, -0]","[0, 0, 0, 0, 0, 0]",24/11/2025 20:27:37
0,"[]","[]","[]","[]",6,"[-0.0589794, -0.0596558, -0.439443, -0.298677, -0.476058, 0.149923]","[0.0899548, 0.0707165, 0.432149, 0.062702, 0.0421769, 0.0287088]","[0.0381937, -0.0843408, -0.162239, 0.0475768, 0.0781143, 0.0890875]","[0, 0, 0, 0, 0, 0]",24/11/2025 20:27:38
10,"[0.899365, 0.917462, 0.978775, 0.873966, 0.871983, 0.863027, 0.830883, 0.7738, 0.919534, 0.970491]","[2.50641, 2.57237, 2.63833, 2.44045, 2.50641, 2.57237, 2.50641, 2.57237, 2.50641, 2.63833]","[0.238063, 0.264481, 0.0322222, 0.238245, 0.324312, 0.408497, 0.418527, 0.559391, 0.141386, -0.131093]","[0, 0, 0, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, -0.147187, -0.147187]",7,"[-0.168143, -0.0589794, -0.0596558, -0.439443, -0.298677, -0.476058, -0]","[-1.00303, 0.0899548, 0.0707165, 0.432149, 0.062702, 0.0421769, -0]","[0.708928, 0.0381937, -0.0843408, -0.162239, 0.0475768, 0.0781143, -0]","[0, 0, 0, 0, 0, 0, 0]",24/11/2025 20:27:39
5,"[1.21706, 1.37871, 0.979162, 1.21867, 1.42695]","[2.61414, 2.524, 2.63833, 2.61414, 2.58556]","[0.0759727, 0.222137, 0.0167358, 0.0430068, 0.101331]","[0, 0.147187, -0.147187, -0.147187, -0.147187]",6,"[-0.168143, -0.0589794, -0.0596558, -0.439443, -0.476058, -0]","[-1.00303, 0.0899548, 0.0707165, 0.432149, 0.0421769, -0]","[0.708928, 0.0381937, -0.0843408, -0.162239, 0.0781143, -0]","[0, 0, 0, 0, 0, 0]",24/11/2025 20:27:40
13,"[1.13594, 1.17732, 1.20512, 1.22974, 0.710244, 1.18879, 1.21932, 1.24909, 0.922989, 1.15981, 1.18932, 1.21706, 1.24235]","[2.48662, 2.55038, 2.61414, 2.6779, 2.79443, 2.55038, 2.61414, 2.6779, 2.50641, 2.48662, 2.55038, 2.61414, 2.6779]","[0.234763, 0.171078, 0.186264, 0.219476, 0.0864503, -0.0461514, -0.0161057, 0.013914, 0.11672, 0.0175518, 0.0296082, 0.075895, 0.1304]","[0, 0, 0, 0, 0.147187, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187]",7,"[-0.168143, -0.0589794, -0.0596558, -0.413831, -0.30254, -0.456781, -0]","[-1.00303, 0.0899548, 0.0707165, 0.421401, 0.062228, 0.0464036, -0]","[0.708928, 0.0381937, -0.0843408, -0.239477, 0, 0.153979, -0]","[0, 0, 0, 0, 0, 0, 0]",24/11/2025 20:27:41
9,"[0.303244, 0.656915, 0.372381, 1.14461, 1.17813, 1.0123, 1.04055, 1.02662, 1.05239]","[2.44045, 2.3591, 2.50641, 2.48662, 2.55038, 2.77024, 2.8362, 2.77024, 2.8362]","[0.853592, 0.882879, 0.852563, 0.187994, 0.165424, -0.180511, -0.159822, -0.0583154, -0.0275007]","[0, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373]",6,"[-0.0589794, -0.0596558, -0.439443, -0.30254, -0.476058, -0]","[0.0899548, 0.0707165, 0.432149, 0.062228, 0.0421769, -0]","[0.0381937, -0.0843408, -0.162239, 0, 0.0781143, -0]","[0, 0, 0, 0, 0, 0]",24/11/2025 20:27:42
10,"[0.991824, 1.04786, 1.09427, 0.856516, 1.10931, 1.13876, 0.803687, 1.08451, 1.12332, 1.29296]","[2.3591, 2.42286, 2.48662, 2.44045, 2.42286, 2.48662, 2.44045, 2.42286, 2.48662, 2.46244]","[0.476757, 0.42349, 0.384767, 0.294884, 0.216307, 0.22066, 0.417928, 0.318121, 0.289168, 0.429473]","[0, 0, 0, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187]",7,"[-0.168143, -0.0589794, -0.0596558, -0.439443, -0.30254, -0.476058, -0]","[-1.00303, 0.0899548, 0.0707165, 0.432149, 0.062228, 0.0421769, -0]","[0.708928, 0.0381937, -0.0843408, -0.162239, 0, 0.0781143, -0]","[0, 0, 0, 0, 0, 0, 0]",24/11/2025 20:27:43
11,"[1.11605, 1.14286, 0.959142, 1.07597, 1.11833, 1.13017, 0.954412, 1.09575, 1.12526, 1.15466, 0.969999]","[2.42286, 2.48662, 2.63833, 2.42286, 2.48662, 2.42286, 2.57237, 2.3591, 2.42286, 2.48662, 2.63833]","[0.178296, 0.198337, 0.197701, 0.345911, 0.307906, -0.00788607, 0.0279828, 0.101677, 0.105622, 0.110643, 0.134687]","[0, 0, 0, 0.147187, 0.147187, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187]",7,"[-0.168143, -0.0589794, -0.0596558, -0.413831, -0.30254, -0.476058, -0]","[-1.00303, 0.0899548, 0.0707165, 0.421401, 0.062228, 0.0421769, -0]","[0.708928, 0.0381937, -0.0843408, -0.239477, 0, 0.0781143, -0]","[0, 0, 0, 0, 0, 0, 0]",24/11/2025 20:27:44
0,"[]","[]","[]","[]",7,"[-0.168143, -0.0589794, -0.0596558, -0.413831, -0.30254, -0.456781, -0]","[-1.00303, 0.0899548, 0.0707165, 0.421401, 0.062228, 0.0464036, -0]","[0.708928, 0.0381937, -0.0843408, -0.239477, 0, 0.153979, -0]","[0, 0, 0, 0, 0, 0, 0]",24/11/2025 20:27:45
0,"[]","[]","[]","[]",7,"[-0.168143, -0.0589794, -0.0596558, -0.439443, -0.298677, -0.476058, -0]","[-1.00303, 0.0899548, 0.0707165, 0.432149, 0.062702, 0.0421769, -0]","[0.708928, 0.0381937, -0.0843408, -0.162239, 0.0475768, 0.0781143, -0]","[0, 0, 0, 0, 0, 0, 0]",24/11/2025 20:27:46
0,"[]","[]","[]","[]",6,"[-0.0589794, -0.0596558, -0.439443, -0.30254, -0.456781, -0]","[0.0899548, 0.0707165, 0.432149, 0.062228, 0.0464036, -0]","[0.0381937, -0.0843408, -0.162239, 0, 0.153979, -0]","[0, 0, 0, 0, 0, 0]",24/11/2025 20:27:47
0,"[]","[]","[]","[]",7,"[-0.168143, -0.0589794, -0.0596558, -0.439443, -0.30254, -0.476058, -0]","[-1.00303, 0.0899548, 0.0707165, 0.432149, 0.062228, 0.0421769, -0]","[0.708928, 0.0381937, -0.0843408, -0.162239, 0, 0.0781143, -0]","[0, 0, 0, 0, 0, 0, 0]",24/11/2025 20:27:48
1,"[1.32716]","[2.40088]","[0.0565787]","[0.147187]",6,"[-0.0589794, -0.0596558, -0.439443, -0.30254, -0.456781, -0]","[0.0899548, 0.0707165, 0.432149, 0.062228, 0.0464036, -0]","[0.0381937, -0.0843408, -0.162239, 0, 0.153979, -0]","[0, 0, 0, 0, 0, 0]",24/11/2025 20:27:49
0,"[]","[]","[]","[]",7,"[-0.168143, -0.0589794, -0.0596558, -0.439443, -0.30254, -0.476058, 0.149923]","[-1.00303, 0.0899548, 0.0707165, 0.432149, 0.062228, 0.0421769, 0.0287088]","[0.708928, 0.0381937, -0.0843408, -0.162239, 0, 0.0781143, 0.0890875]","[0, 0, 0, 0, 0, 0, 0]",24/11/2025 20:27:50
11,"[1.2987, 1.17034, 0.712328, 0.71188, 0.730584, 0.941996, 1.1885, 0.899903, 1.1444, 1.18138, 0.980404]","[2.40088, 2.55038, 2.79443, 2.79443, 2.86258, 2.57237, 2.55038, 2.50641, 2.48662, 2.55038, 2.70428]","[0.279141, 0.213678, 0.0671552, -0.0717476, -0.0586828, 0.155978, 0.0530629, 0.236021, 0.189267, 0.140331, 0.215401]","[0, 0, 0, 0.147187, 0.147187, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187]",7,"[-0.168143, -0.0589794, -0.0596558, -0.413831, -0.30254, -0.476058, -0]","[-1.00303, 0.0899548, 0.0707165, 0.421401, 0.062228, 0.0421769, -0]","[0.708928, 0.0381937, -0.0843408, -0.239477, 0, 0.0781143, -0]","[0, 0, 0, 0, 0, 0, 0]",24/11/2025 20:27:51
2,"[0.802966, 0.339276]","[2.30853, 2.58996]","[0.299182, 0.56977]","[-0.147187, -0.147187]",6,"[-0.168143, -0.0589794, -0.439443, -0.30254, -0.476058, 0.149923]","[-1.00303, 0.0899548, 0.432149, 0.062228, 0.0421769, 0.0287088]","[0.708928, 0.0381937, -0.162239, 0, 0.0781143, 0.0890875]","[0, 0, 0, 0, 0, 0]",24/11/2025 20:27:52
7,"[0.92745, 0.970132, 1.20564, 1.15994, 1.1865, 1.20266, 0.697857]","[2.57237, 2.63833, 2.61414, 2.48662, 2.55038, 2.61414, 2.72627]","[0.226986, 0.133725, 0.182847, -0.00230208, 0.0869686, 0.201561, 0.0157803]","[0, 0, 0, 0.147187, 0.147187, 0.147187, -0.147187]",7,"[-0.168143, -0.0589794, -0.0596558, -0.413831, -0.30254, -0.476058, 0.149923]","[-1.00303, 0.0899548, 0.0707165, 0.421401, 0.062228, 0.0421769, 0.0287088]","[0.708928, 0.0381937, -0.0843408, -0.239477, 0, 0.0781143, 0.0890875]","[0, 0, 0, 0, 0, 0, 0]",24/11/2025 20:27:53
10,"[0.736016, 0.878843, 0.899873, 0.349744, 0.465282, 1.03124, 1.09509, 0.768699, 1.04503, 1.10033]","[2.30853, 2.37449, 2.44045, 2.45364, 2.5218, 2.29534, 2.3591, 2.30853, 2.29534, 2.3591]","[0.438799, 0.0667524, 0.103948, 0.521876, 0.447682, -0.288057, -0.108631, 0.378635, -0.23315, -0.0168997]","[0, 0, 0, 0.147187, 0.147187, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187]",7,"[-0.168143, -0.0589794, -0.0596558, -0.439443, -0.30254, -0.456781, -0]","[-1.00303, 0.0899548, 0.0707165, 0.432149, 0.062228, 0.0464036, -0]","[0.708928, 0.0381937, -0.0843408, -0.162239, 0, 0.153979, -0]","[0, 0, 0, 0, 0, 0, 0]",24/11/2025 20:27:54
0,"[]","[]","[]","[]",6,"[-0.0589794, -0.0684744, -0.413831, -0.30254, -0.476058, -0]","[0.0899548, 0.0755389, 0.421401, 0.062228, 0.0421769, -0]","[0.0381937, -0.0726508, -0.239477, 0, 0.0781143, -0]","[0, 0, 0, 0, 0, 0]",24/11/2025 20:27:55
2,"[0.841845, 0.875244]","[2.30853, 2.37449]","[0.159875, 0.103773]","[0.147187, 0.147187]",7,"[-0.168143, -0.0589794, -0.0684744, -0.379529, -0.30254, -0.476058, -0]","[-1.00303, 0.0899548, 0.0755389, 0.405781, 0.062228, 0.0421769, -0]","[0.708928, 0.0381937, -0.0726508, -0.312223, 0, 0.0781143, -0]","[0, 0, 0, 0, 0, 0, 0]",24/11/2025 20:27:56
0,"[]","[]","[]","[]",7,"[-0.168143, -0.0589794, -0.0596558, -0.413831, -0.30254, -0.476058, -0]","[-1.00303, 0.0899548, 0.0707165, 0.421401, 0.062228, 0.0421769, -0]","[0.708928, 0.0381937, -0.0843408, -0.239477, 0, 0.0781143, -0]","[0, 0, 0, 0, 0, 0, 0]",24/11/2025 20:27:57
