numObj,x,y,z,velocity,x_static,y_static,z_static,velocity_static,timestamp
0,"[]","[]","[]","[]","[0.59802, 0.27515, 0.363198, -0.86964, -0.506276, -1.04357, -0.892256]","[1.02823, 1.72747, 2.2642, 2.64002, 3.0848, 3.16803, 3.32505]","[0.12502, 0.183853, -0.363198, 0.44024, -0.837628, 0.528288, -0.180424]","[0, 0, 0, 0, 0, 0, 0]",28/06/2025 12:01:07
3,"[3.51777, 3.51777, 3.51777]","[0.65145, 0.655601, 0.663786]","[0.204139, 0.228786, 0.270197]","[0, 0.147187, 0.294373]","[]","[]","[]","[]",28/06/2025 12:01:08
7,"[2.81421, 2.74386, 2.81421, 2.88457, 2.74386, 2.81421, 2.88457]","[-0.25599, -0.255534, -0.257104, -0.258168, -0.258405, -0.259635, -0.260241]","[0.159239, 0.147981, 0.183744, 0.204297, 0.208593, 0.229435, 0.238989]","[0, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373]","[]","[]","[]","[]",28/06/2025 12:01:09
0,"[]","[]","[]","[]","[0.365692, 0.363198, -0.673744, -1.11603, -1.30957, -1.06531]","[1.7106, 2.2642, 2.48125, 2.49018, 2.57017, 3.23403]","[0.183853, -0.363198, -0.407222, 0.286811, 0, 0.539294]","[0, 0, 0, 0, 0, 0]",28/06/2025 12:01:10
0,"[]","[]","[]","[]","[0.59802, 0.365692, 0.363198, -0.673744, -0.891381, -0.672874]","[1.02823, 1.7106, 2.24176, 2.49968, 2.63985, 3.0035]","[0.12502, 0.183853, -0.482714, -0.272103, 0.746581, -1.00009]","[0, 0, 0, 0, 0, 0]",28/06/2025 12:01:11
0,"[]","[]","[]","[]","[0.365692, 0.363198, -0.86964, -1.03374, -0.837628]","[1.7106, 2.2642, 2.66026, 2.6549, 3.0848]","[0.183853, -0.363198, 0.294165, 0.451246, 0.506276]","[0, 0, 0, 0, 0]",28/06/2025 12:01:12
7,"[2.74386, 2.81421, 2.88457, 2.95492, 2.81421, 5.83949, 5.90985]","[-0.438959, -0.439731, -0.465902, -0.496938, -0.447508, -0.354352, -0.353818]","[0.298127, 0.303421, 0.229012, 0.1833, 0.351585, 0.136613, 0.125662]","[0.147187, 0.147187, 0.147187, 0.147187, 0.294373, -0.44156, -0.44156]","[]","[]","[]","[]",28/06/2025 12:01:13
1,"[6.19127]","[-0.354565]","[0.140736]","[0.147187]","[]","[]","[]","[]",28/06/2025 12:01:14
0,"[]","[]","[]","[]","[0.59802, 0.365692, 0.363198, -0.847899, -0.86964, 1.05895, -1.56509]","[1.02823, 1.7106, 2.2642, 2.59376, 2.66026, 2.65053, 3.05046]","[0.12502, 0.183853, -0.363198, 0.286811, 0.294165, 0.764791, 0.360353]","[0, 0, 0, 0, 0, 0, 0]",28/06/2025 12:01:15
14,"[2.74386, 2.81421, 3.3067, 3.37706, 2.6735, 2.74386, 2.81421, 2.88457, 3.3067, 3.37706, 2.74386, 2.81421, 3.3067, 3.37706]","[-0.325937, -0.324756, 0.874709, 0.926933, -0.331844, -0.328748, -0.327384, -0.294158, 0.881657, 0.880958, -0.331946, -0.3303, 0.896464, 0.893542]","[0.219697, 0.203395, 0.213097, 0.215696, 0.286581, 0.253995, 0.238033, 0.245365, 0.238209, 0.235821, 0.28758, 0.270887, 0.283241, 0.275069]","[0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, 0.294373]","[]","[]","[]","[]",28/06/2025 12:01:18
1,"[3.37706]","[0.88584]","[0.251928]","[-0.147187]","[]","[]","[]","[]",28/06/2025 12:01:19
0,"[]","[]","[]","[]","[0.59802, 0.365692, 0.363198, -0.691953, -0.710163, -1.20188, -2.0367]","[1.02823, 1.7106, 2.2642, 2.54831, 2.6348, 2.65959, 2.42343]","[0.12502, 0.183853, -0.363198, -0.418228, -0.286811, 0.462252, -0.672874]","[0, 0, 0, 0, 0, 0, 0]",28/06/2025 12:01:20
4,"[2.6735, 2.60315, 2.6735, 2.74386]","[-0.265941, -0.301078, -0.270106, -0.274364]","[0.31359, 0.322625, 0.357101, 0.395689]","[0, 0.147187, 0.147187, 0.147187]","[]","[]","[]","[]",28/06/2025 12:01:21
