numObj,x,y,z,velocity,numObj_static,x_static,y_static,z_static,velocity_static,timestamp
21,"[0.91651, 0.977347, 1.03235, 1.09168, 1.21942, 1.29421, 0.913736, 0.976018, 1.01984, 1.07181, 1.18952, 1.25391, 0.947601, 0.995292, 1.04293, 1.1698, 0.923048, 1.00012, 1.06641, 1.13613, 0.796083]","[-0.338585, -0.263833, -0.246244, -0.261634, -0.277024, -0.334188, -0.338585, -0.296812, -0.281421, -0.29901, -0.316599, -0.334188, -0.296812, -0.281421, -0.29901, -0.316599, -0.338585, -0.329791, -0.351777, -0.336386, -0.237449]","[0.124678, 0.298171, 0.375212, 0.412666, 0.200065, 0.0154663, 0.143601, 0.270209, 0.384581, 0.438546, 0.297592, 0.320844, 0.357318, 0.444256, 0.5034, 0.367548, 0.0593112, 0.06869, 0.0786205, 0.162965, 0.95584]","[0, 0, 0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, 0.294373, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187]",9,"[-0.167039, 0.561696, -0.116254, -0.108621, -0.178807, -0.298677, -0.91804, 0.133278, -0.55879]","[-0.304438, 0.687319, -1.18386, -1.13199, 0.17197, 0.062702, 0.730459, 0.0210895, -0.0372625]","[-0.0204817, -0.118192, -0.118653, 0.493685, -0.0312213, 0.0475768, 1.21088, 0.114148, 0.694612]","[0, 0, 0, 0, 0, 0, 0, 0, 0]",24/11/2025 20:06:12
19,"[0.773529, 0.843695, 0.899221, 0.959517, 1.02619, 0.994796, 0.773097, 0.842662, 0.893552, 0.951762, 1.03204, 0.981677, 1.1151, 0.838841, 0.888628, 0.950375, 1.03542, 0.890972, 0.950257]","[-0.0241846, -0.0263833, 0, 0.0615609, -0.197874, 0.131916, -0.0241846, -0.0263833, 0, 0.0615609, -0.197874, 0.131916, -0.140711, -0.0527665, 0, 0.0307805, -0.197874, -0.0285819, 0.0307805]","[0.00146361, 0.0162713, 0.167123, 0.213805, -0.146651, 0.326652, 0.0259037, 0.044795, 0.195177, 0.246038, -0.0972373, 0.364183, 0.0625997, 0.0796401, 0.216494, 0.256933, -0.0496923, 0.204646, 0.257369]","[0, 0, 0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, 0.294373, 0.44156, 0.44156]",6,"[0.566174, 0.561696, -0.203062, -0.427813, -0.91804, 0.0887361]","[0.592772, 0.687319, 0.484207, 0.104439, 0.730459, 0.00580381]","[-0.208147, -0.118192, 0.0562809, 0.140518, 1.21088, 0.152741]","[0, 0, 0, 0, 0, 0]",24/11/2025 20:06:14
26,"[0.880044, 0.937199, 1.00881, 1.07934, 1.32627, 1.38941, 0.828402, 0.884163, 0.940677, 1.00399, 1.06696, 1.32301, 1.3934, 0.902898, 0.961208, 1.02773, 1.10167, 1.32463, 1.38885, 0.83553, 0.893043, 0.952785, 1.01881, 1.09021, 1.32619, 1.38982]","[0, 0.0615609, 0.0659581, 0.105533, 0.167094, 0.21986, -0.105533, -0.0857456, 0, 0.0329791, 0.0703553, 0.167094, 0.175888, -0.0285819, 0.0307805, 0.0659581, 0.0703553, 0.167094, 0.21986, -0.105533, -0.0571637, 0.0307805, 0.0659581, 0.0703553, 0.167094, 0.21986]","[0.249099, 0.296722, 0.302761, 0.301741, 0.00217308, 0.0339016, 0.124076, 0.217791, 0.292067, 0.323488, 0.351887, 0.0929097, 0.0862538, 0.14313, 0.212852, 0.230537, 0.220301, -0.065922, -0.0519423, 0.0594499, 0.189036, 0.247847, 0.267198, 0.271398, -0.0147207, -0.000435928]","[0, 0, 0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, -0.294373, -0.294373, -0.294373, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187]",15,"[-0.0591252, 0.0279311, 0.566174, 0.563924, 0.0348638, 0.0423718, -0.00853017, -0.05342, -0.203062, -0.0489857, -0.0826545, -0.427813, -1.2391, 0.112663, -0.823082]","[-0.0729228, 0.0452594, 0.592772, 0.67291, 0.132164, 0.210588, -0.0747833, -1.23199, 0.484207, 0.0830695, 0.0821408, 0.104439, 0.831334, 0.0130824, -0.140268]","[-0.0180706, 0.0148991, -0.208147, -0.176243, -0.0290067, -0.0480625, 0.017713, -0.127589, -0.0562809, 0.061066, -0.0457616, 0.140518, 0.784931, 0.135549, 0.314613]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",24/11/2025 20:06:15
12,"[0.836732, 0.906936, 0.835453, 0.904973, 0.976004, 1.01315, 1.25723, 0.902138, 0.8405, 0.910293, 0.978874, 1.02763]","[-0.105533, -0.114327, -0.105533, -0.114327, -0.0615609, -0.0329791, 0.118725, -0.114327, -0.0791498, -0.0857456, -0.0307805, 0]","[0.0390338, 0.0304112, 0.060518, 0.0669466, 0.11748, 0.293532, -0.0950914, 0.0980056, 0.00875308, 0.0233134, 0.105038, 0.240218]","[0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, -0.147187, -0.147187, -0.147187, -0.147187]",11,"[-0.0589271, -0.0587059, 0.0287334, 0.0275382, 0.0518374, 0.450983, 0.0360774, -0.205634, -0.0489857, -0.91804, 0.112663]","[-0.0656932, -0.0754566, 0.0420614, 0.0470085, 0.202587, 0.840322, 0.576696, 0.486387, 0.0830695, 0.730459, 0.0130824]","[-0, -0, 0.00791158, 0.00907684, 0, 0.403894, -0.0490524, 0, 0.061066, 1.21088, 0.135549]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",24/11/2025 20:06:17
8,"[0.952509, 0.861922, 0.934693, 0.99811, 0.918514, 0.873561, 0.950365, 1.02071]","[0.0923414, 0.0857456, 0.0923414, 0.131916, 0.0923414, 0.114327, 0.0923414, 0.0989372]","[0.233184, 0.293712, 0.296644, 0.31638, 0.343481, 0.245661, 0.241774, 0.24917]","[0, 0.147187, 0.147187, 0.147187, 0.294373, -0.147187, -0.147187, -0.147187]",13,"[0, 0.0290158, 0.563998, 0.560286, 0.0340623, 0.528727, 0.0360774, -0.0033768, -0.0652199, -0.203062, 0.0568791, -0.0596409, 0.149923]","[0, 0.0405765, 0.610258, 0.696018, 0.134109, 0.857989, 0.576696, 0.605105, -1.21179, 0.484207, 1.15496, 1.28001, 0.0287088]","[0, 0.0129997, -0.157316, -0.059307, -0.0194606, 0.426817, 0.0490524, 0, 0.25348, -0.0562809, -0.965539, -0.878356, 0.0890875]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",24/11/2025 20:06:18
9,"[1.25509, 1.32876, 1.40053, 1.25939, 1.3307, 1.40072, 1.33085, 1.25333, 1.32524]","[0.118725, 0.12532, 0.131916, 0.118725, 0.12532, 0.131916, 0.12532, 0.1583, 0.167094]","[-0.120097, -0.0748147, -0.0323964, -0.0600925, -0.020594, 0.0230286, -0.00507229, -0.0887338, -0.052111]","[0, 0, 0, 0.147187, 0.147187, 0.147187, 0.294373, -0.147187, -0.147187]",11,"[-0.0589459, -0.0587336, 0.566794, 0.0176285, -0.00186944, -0.163088, -0.108621, -0.0489857, -0.0826545, -0.91804, -0]","[-0.0655606, -0.0752962, 0.652921, 0.0649249, 0.60275, -1.0913, -1.13199, 0.0830695, 0.0821408, 0.730459, -0]","[-0.00389807, -0.00457456, -0.233063, -0.0191944, -0.0534048, -0.459963, 0.493685, 0.061066, -0.0457616, 1.21088, -0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",24/11/2025 20:06:19
15,"[0.836892, 0.899574, 0.948552, 1.02258, 0.831987, 0.893176, 0.93008, 1.00937, 1.33047, 0.8399, 0.905467, 0.838986, 0.903321, 0.952693, 1.02724]","[-0.0791498, -0.0857456, -0.0615609, -0.0659581, -0.105533, -0.0857456, -0.0615609, -0.0659581, 0.12532, -0.0791498, -0.0857456, -0.0791498, -0.0857456, -0.0615609, -0.0659581]","[0.0782883, 0.14122, 0.258136, 0.252404, 0.0971713, 0.177237, 0.318333, 0.300888, -0.0324157, 0.0329379, 0.0964633, 0.0511835, 0.114838, 0.242408, 0.232708]","[0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187]",12,"[-0.0589459, -0.0588155, 0.563998, 0.559804, -0.0879239, -0.126267, 0.0225591, -0.205634, -0.230901, -0.0684744, -1.09261, 0.133278]","[-0.0655606, -0.0748166, 0.610258, 0.698927, -0.328746, -1.16514, -1.15154, 0.486387, 1.5247, 0.0755389, 0.790661, 0.0210895]","[-0.00389807, -0.00912616, -0.157316, 0, -0.129719, -0.235814, 0.119168, 0, -0.188306, -0.0726508, 1.01176, 0.114148]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",24/11/2025 20:06:20
13,"[1.18557, 1.25619, 1.32625, 1.39577, 1.19044, 1.26082, 1.33069, 1.3948, 1.19062, 1.26014, 1.32945, 1.3928, 1.32529]","[0.149505, 0.1583, 0.167094, 0.175888, 0.112129, 0.118725, 0.12532, 0.175888, 0.112129, 0.118725, 0.12532, 0.175888, 0.167094]","[-0.0509133, -0.0263982, -0.00678051, 0.0287602, -0.0279897, 0.00236797, 0.0216872, 0.0595552, 0.0193609, 0.0412214, 0.0614259, 0.0954892, -0.0509192]","[0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, 0.294373, -0.147187]",13,"[-0.0589459, -0.0885618, 0.566174, 0.561696, 0.00258035, -0.05342, -0.203062, 0.0568791, -0.0596409, -0.0826545, -0.28722, -0.91804, 0.133278]","[-0.0655606, -0.112375, 0.592772, 0.687319, 0.595708, -1.23199, 0.484207, 1.15496, 1.28001, 0.0821408, 0.0639665, 0.730459, 0.0210895]","[-0.00389807, -0, -0.208147, -0.118192, -0.106249, -0.127589, -0.0562809, -0.965539, -0.878356, -0.0457616, 0.0938932, 1.21088, 0.114148]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",24/11/2025 20:06:22
4,"[0.957071, 1.02839, 0.959803, 1.03177]","[0.0307805, 0.0659581, 0.0615609, 0.0659581]","[0.230745, 0.227581, 0.212519, 0.21173]","[0.147187, 0.147187, -0.147187, -0.147187]",10,"[-0.0589271, 0.0277161, 0.566174, 0.561696, -0.205634, 0.0568791, -0.0596409, -0.0762491, -0.91804, 0.133278]","[-0.0656932, 0.0462368, 0.592772, 0.687319, 0.486387, 1.15496, 1.28001, 0.07932, 0.730459, 0.0210895]","[-0, 0.0120217, -0.208147, -0.118192, 0, -0.965539, -0.878356, -0.0597279, 1.21088, 0.114148]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",24/11/2025 20:06:23
0,"[]","[]","[]","[]",10,"[-0.0589459, -0.0587336, 0.566174, 0.563924, -0.00186944, -0.203062, -0.0826545, -0.91804, -0, -0.55879]","[-0.0655606, -0.0752962, 0.592772, 0.67291, 0.60275, 0.484207, 0.0821408, 0.730459, -0, -0.0372625]","[-0.00389807, -0.00457456, -0.208147, -0.176243, -0.0534048, -0.0562809, -0.0457616, 1.21088, -0, 0.694612]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",24/11/2025 20:06:24
