numObj,x,y,z,velocity,timestamp
37,"[1.2437, 1.31842, 1.39077, 1.45744, 1.53412, 1.49132, 1.66757, 1.20975, 1.28581, 1.38901, 1.47403, 1.54384, 1.6145, 1.66392, 1.70851, 1.59411, 1.5084, 1.54014, 1.61495, 1.67049, 1.72317, 1.57407, 1.48202, 1.23862, 1.32029, 1.39562, 1.46413, 1.52251, 1.54979, 1.15166, 1.22216, 1.32032, 1.39428, 1.46148, 1.50676, 0.815627, 1.57813]","[-0.237449, -0.208867, -0.175888, -0.184683, 0.0483693, -0.25284, 0.105533, -0.0395749, 0, -0.0439721, 0.0461707, 0.0967386, 0.101136, 0.1583, 0.21986, 0.430926, 0.446317, 0.0967386, 0.101136, 0.1583, 0.21986, 0.430926, 0.446317, -0.237449, -0.208867, -0.175888, -0.184683, -0.0967386, -0.25284, 0, -0.277024, -0.208867, -0.175888, -0.184683, -0.0483693, -0.580432, -0.25284]","[-0.0242877, 0.0711317, 0.121489, 0.157041, 0.199691, -0.574904, -0.243284, 0.372436, 0.365502, 0.220625, 0.0893677, 0.0540772, -0.0406733, -0.239631, -0.355407, 1.07416, 1.29937, 0.119827, 0.0135192, -0.188481, -0.275688, 1.10331, 1.32938, -0.114861, -0.0101776, 0.0356387, 0.0714452, 0.261423, -0.390797, 0.322787, -0.182614, 0.00627281, 0.0706879, 0.113402, 0.350808, -1.1805, -0.253096]","[0, 0, 0, 0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, 0.294373, 0.294373, 0.294373, -0.294373, -0.294373, -0.294373, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187]",21/10/2025 18:25:34
36,"[1.24596, 1.06465, 1.32613, 1.36923, 1.42299, 1.42715, 1.56385, 1.65834, 1.16402, 1.22994, 1.32048, 1.40599, 1.47726, 1.5334, 1.59469, 1.21647, 1.3147, 1.40617, 1.47519, 1.53469, 1.5975, 1.40066, 1.46976, 1.5354, 1.59174, 1.64957, 1.71036, 1.17399, 1.24346, 1.33164, 1.39901, 1.46691, 1.53323, 1.59499, 1.65359, 1.71497]","[0, -0.292414, 0.167094, -0.21986, -0.230853, -0.290216, -0.303407, -0.316599, 0, 0, 0, 0, 0, 0.193477, 0.25284, 0, 0.0417735, -0.0439721, 0, 0.193477, 0.25284, -0.131916, -0.138512, -0.193477, -0.25284, -0.263833, -0.274826, 0, 0, -0.083547, -0.131916, -0.138512, -0.193477, -0.25284, -0.263833, -0.274826]","[0.226585, 0.753608, -0.0188544, 0.238342, 0.323553, 0.524162, 0.284252, -0.0283371, 0.274888, 0.301659, 0.207962, 0.056057, -0.0243059, -0.0835563, -0.107332, 0.352068, 0.238158, 0.0263234, -0.0818826, -0.0550178, -0.0504776, 0.0262959, 0.0593997, 0.0292359, -0.14463, -0.245812, -0.304641, 0.2286, 0.239954, 0.0816231, 0.072874, 0.109075, 0.0867463, -0.102789, -0.217132, -0.277548]","[0, 0, 0, 0, 0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, 0.294373, 0.294373, 0.294373, -0.294373, -0.294373, -0.294373, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187]",21/10/2025 18:25:35
29,"[1.24982, 1.3158, 1.38431, 1.45423, 1.52024, 1.59325, 1.66893, 1.21937, 1.30683, 1.3876, 1.43861, 1.40615, 1.57978, 1.66916, 1.7385, 1.73026, 1.59916, 1.67868, 1.73459, 1.25831, 1.3257, 1.38952, 1.45881, 1.5285, 1.25219, 1.3231, 1.38774, 1.4567, 1.52371]","[-0.1583, -0.208867, -0.21986, -0.230853, -0.290216, 0.151704, 0.211066, -0.0395749, -0.083547, -0.131916, -0.138512, 0.193477, 0.202272, 0.211066, 0.21986, 0.492487, 0.151704, 0.1583, 0.21986, -0.118725, -0.167094, -0.21986, -0.230853, -0.241846, -0.118725, -0.167094, -0.21986, -0.230853, -0.241846]","[0.129063, 0.109328, 0.123676, 0.121744, 0.0193455, -0.238816, -0.145799, 0.339589, 0.268565, 0.192642, 0.306762, 0.617299, -0.286106, -0.143151, 0.151504, 0.802722, -0.19534, -0.090062, 0.191167, 0.0794384, 0.038827, 0.0292189, 0.0383771, 0.0308558, 0.147277, 0.0915418, 0.0760134, 0.0873347, 0.124786]","[0, 0, 0, 0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, -0.294373, -0.294373, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187]",21/10/2025 18:25:36
28,"[1.24805, 1.31632, 1.3845, 1.45878, 1.54476, 1.61504, 1.24266, 1.31995, 1.39092, 0.859637, 1.44692, 1.52468, 1.59823, 1.5214, 1.59081, 1.25571, 1.32032, 1.38968, 1.44947, 1.49367, 1.56755, 1.16869, 1.25297, 1.32419, 1.38839, 1.45931, 1.49579, 1.56717]","[-0.197874, -0.208867, -0.21986, -0.230853, -0.0967386, 0.0505679, -0.118725, -0.167094, -0.175888, -0.277024, 0.184683, 0.145108, 0.101136, 0.0967386, 0.101136, -0.1583, -0.208867, -0.21986, -0.277024, -0.338585, -0.303407, -0.0747525, -0.1583, -0.167094, -0.21986, -0.230853, -0.338585, -0.303407]","[0.0835669, 0.102839, 0.121537, 0.039572, 0.0100617, 0.0869703, 0.213229, 0.129305, 0.119856, -1.16926, 0.234981, 0.223698, 0.232175, 0.267809, 0.278538, 0.0434382, 0.0068234, 0.0198699, -0.071952, -0.223746, -0.26311, 0.243066, 0.0935648, 0.0741127, 0.0631562, 0.00142131, -0.20906, -0.265367]","[0, 0, 0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, -0.294373, -0.294373, -0.294373, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187]",21/10/2025 18:25:37
31,"[1.23418, 1.32026, 1.38974, 1.45006, 1.53556, 1.34411, 1.61497, 1.67931, 1.60002, 1.1764, 1.25518, 1.31941, 1.39316, 1.46582, 1.42059, 1.24954, 1.31735, 1.38458, 1.45871, 1.48348, 1.53728, 1.6078, 1.67106, 1.18701, 1.26259, 1.33067, 1.40058, 1.474, 1.53315, 1.60908, 1.67461]","[-0.277024, -0.208867, -0.21986, -0.230853, 0.193477, -0.338585, 0.101136, 0.1583, 0.369366, -0.0747526, -0.1583, -0.208867, -0.175888, -0.184683, -0.193477, -0.197874, -0.208867, -0.21986, -0.230853, -0.386954, 0.145108, 0.151704, 0.1583, -0.0373763, -0.0395749, -0.12532, -0.0879442, 0, 0.145108, 0.151704, 0.1583]","[-0.0617054, -0.013579, -0.0148304, -0.164071, 0.0187093, -0.688814, 0.0105573, -0.0774403, 1.08822, 0.202486, 0.0568381, 0.049431, 0.0901725, 0.0122554, -0.583304, 0.0571458, 0.0886819, 0.120671, -0.0421315, -0.212818, -0.107004, -0.102285, -0.183366, 0.141897, 0.0897149, 0.0229805, 0.102934, 0.101093, -0.155343, -0.0795938, -0.147522]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, 0.294373, 0.294373, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187]",21/10/2025 18:25:38
39,"[1.1629, 1.2397, 1.32981, 1.40564, 1.47281, 1.47038, 1.57281, 1.15186, 1.22212, 1.28847, 1.38631, 1.16129, 1.47744, 1.53428, 1.58977, 1.62601, 1.13388, 1.20951, 1.28477, 1.4537, 1.52877, 1.59549, 1.63725, 1.35957, 1.33561, 1.40611, 1.47632, 1.41926, 1.58464, 1.65302, 1.1705, 1.21415, 1.33413, 1.4063, 1.47662, 1.54494, 0.715643, 1.57581, 1.65994]","[0, 0, 0, 0, -0.0461707, 0.338585, 0.303407, 0, 0, 0.0417735, -0.21986, 0.21986, 0, 0.193477, 0.25284, 0.316599, 0, 0, 0.0417735, 0.230853, 0.241846, 0.25284, 0.316599, 1.583, -0.0417735, -0.0439721, 0, -0.338585, -0.25284, -0.263833, 0, 0.0395749, -0.083547, -0.0439721, -0.0461707, 0.0483693, -0.483693, -0.303407, -0.263833]","[0.27959, 0.258647, 0.136023, 0.0642275, 0.107659, -0.345098, -0.229583, 0.322078, 0.331946, 0.353557, -0.0987688, 0.763552, 0.00754083, -0.0655818, -0.164931, -0.327061, 0.380563, 0.375297, 0.366772, 0.12793, -0.0103437, -0.0947695, -0.26514, -0.317143, -0.0359836, -0.0297406, -0.0581211, -0.516525, -0.208498, -0.221438, 0.245864, 0.357832, -0.00515422, 0.0181651, 0.0186324, 0.0810231, -1.28438, -0.207947, -0.1616]","[0, 0, 0, 0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, 0.294373, 0.294373, 0.294373, 0.294373, 0.294373, -0.294373, -0.294373, -0.294373, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187]",21/10/2025 18:25:39
44,"[1.26079, 1.33325, 1.40496, 1.47481, 1.54424, 1.25936, 1.33059, 1.39581, 1.46205, 1.52301, 1.49695, 0.931549, 7.55451, 7.61892, 1.25832, 1.32697, 1.39575, 1.46442, 1.53012, 1.6031, 1.32295, 1.39093, 1.46019, 1.53299, 1.59753, 1.52837, 1.59776, 1.66618, 1.68352, 1.54973, 1.47096, 1.52817, 1.59821, 1.66691, 1.67942, 1.71227, 1.70554, 1.32705, 1.40312, 1.47468, 1.54082, 1.59583, 1.64358, 1.71041]","[-0.118725, -0.083547, -0.0439721, -0.0461707, 0, -0.0791498, -0.083547, -0.131916, -0.138512, -0.145108, -0.101136, -0.707951, -1.45108, -1.46427, -0.118725, -0.12532, -0.131916, -0.138512, -0.193477, -0.202272, -0.167094, -0.175888, -0.184683, -0.193477, -0.25284, 0.241846, 0.25284, 0.263833, 0.45731, 0.474899, 0.138512, 0.241846, 0.25284, 0.263833, 0.329791, 0.474899, 0.554048, 0.0417735, 0.0439721, 0.0461707, 0.145108, 0.25284, 0.263833, -0.329791]","[-0.00881559, 0.0486119, 0.0639536, 0.0755326, 0.105211, 0.107227, 0.0972598, 0.119444, 0.161579, 0.234764, 0.606139, -1.11781, 0.846847, 0.891865, 0.0792617, 0.101693, 0.120069, 0.138524, 0.130571, 0.0874075, 0.0937263, 0.119724, 0.128963, 0.0907754, -0.0496896, 0.0365461, -0.0415293, -0.0733445, 0.550211, 0.990588, 4.57721e-05, 0.044207, 0.0169965, 0.054001, 0.405533, 0.671622, 0.815384, -0.155214, -0.0962502, -0.0780468, -0.0233809, 0.0887924, 0.28315, 0.243709]","[0, 0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, 0.294373, 0.294373, 0.294373, 0.44156, 0.44156, 0.44156, 0.44156, 0.44156, -0.44156, -0.44156, -0.44156, -0.44156, -0.44156, -0.294373, -0.294373, -0.294373, -0.294373, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187]",21/10/2025 18:25:40
28,"[1.22107, 1.28258, 1.35372, 1.3922, 1.53405, 1.1519, 1.60346, 1.6783, 1.2195, 1.28047, 1.38815, 1.47654, 1.52914, 1.59535, 1.67161, 1.74083, 1.52437, 1.57846, 1.65235, 1.24184, 1.30648, 1.38569, 1.23074, 1.29709, 1.37954, 1.47294, 1.54245, 1.61045]","[0, 0.0417735, 0.0439721, -0.230853, 0.145108, -0.338585, 0.151704, 0.1583, 0, 0.0417735, 0.0439721, 0, 0.145108, 0.151704, 0.1583, 0.21986, 0.145108, 0.151704, 0.1583, 0.0395749, 0.0417735, 0.0439721, 0.0395749, 0.0417735, 0.0439721, 0, 0.0483693, 0.101136]","[0.335797, 0.374378, 0.3814, 0.437482, 0.146231, -0.97685, 0.156131, 0.096779, 0.341451, 0.381526, 0.22593, 0.0523138, 0.190857, 0.224313, 0.178265, 0.121792, 0.225787, 0.322386, 0.309553, 0.245023, 0.279772, 0.240568, 0.295759, 0.32049, 0.273655, 0.115528, 0.119407, 0.121259]","[0, 0, 0, 0, 0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187]",21/10/2025 18:25:41
46,"[1.22868, 1.295, 1.37263, 1.44132, 1.61069, 1.68027, 7.48892, 7.50414, 1.16148, 1.21437, 0.716962, 1.25717, 1.39597, 1.46944, 1.5266, 1.60512, 1.6672, 1.22971, 1.45916, 1.53263, 1.60167, 1.53502, 1.38949, 1.4593, 1.52811, 1.59278, 1.65702, 1.32494, 1.38974, 1.45083, 1.5288, 1.59353, 1.6551, 7.53831, 7.59377, 1.25219, 1.31471, 1.39863, 1.4767, 1.21888, 1.53628, 1.42594, 1.5959, 1.6382, 7.53069, 7.58162]","[0, -0.208867, -0.131916, -0.138512, -0.0505679, -0.1583, -1.45108, -1.46427, 0.0373763, -0.0395749, 0, -0.292414, -0.0439721, -0.0923414, 0.241846, 0.202272, 0.263833, -0.0395749, 0.184683, 0.193477, 0.202272, 0.145108, -0.21986, -0.230853, -0.241846, -0.25284, -0.263833, -0.167094, -0.21986, -0.277024, -0.241846, -0.25284, -0.263833, -1.45108, -1.46427, 0.0395749, -0.167094, -0.131916, 0.0461707, -0.461707, 0, -0.386954, -0.151704, -0.1583, -1.45108, -1.46427]","[0.306781, 0.257416, 0.280066, 0.293774, 0.146949, -0.052689, 1.30537, 1.59096, 0.283006, 0.357062, 1.12822, 0.347752, 0.171154, 0.122938, 0.0821694, 0.034167, -0.044475, 0.300015, 0.140113, 0.0966687, 0.110629, 0.135611, -0.0302767, -0.00690362, -0.0461055, -0.132698, -0.189257, 0.0592777, 0.0150227, 0.0353016, 0.00393942, -0.123318, -0.20536, 0.980683, 1.08537, 0.184983, 0.17469, 0.0799027, 0.0104147, -0.695747, -0.188664, 0.461206, -0.220374, -0.377326, 1.03759, 1.16719]","[0, 0, 0, 0, 0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, 0.294373, 0.44156, -0.44156, -0.44156, -0.44156, -0.44156, -0.44156, -0.294373, -0.294373, -0.294373, -0.294373, -0.294373, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187]",21/10/2025 18:25:42
38,"[1.19014, 1.29534, 1.38984, 1.45147, 1.51944, 1.58115, 1.1161, 1.64606, 0.606086, 0.695102, 1.88709, 1.12296, 1.19535, 1.26477, 1.33473, 1.40642, 1.47024, 1.53399, 1.59666, 0.258019, 1.3349, 1.40434, 1.47061, 1.53524, 1.59817, 0.200075, 1.4054, 1.46995, 1.54078, 1.60969, 1.65776, 1.24717, 1.3194, 1.40234, 1.47447, 1.54087, 1.61498, 1.64523]","[0.0747525, 0.167094, 0.131916, 0.184683, 0.193477, 0.25284, -0.353975, -0.369366, 0.439721, 0.45731, -0.178087, 0.0703553, 0.0373763, 0.0395749, 0.0417735, 0.0439721, 0.138512, 0.193477, 0.25284, 0.400146, 0.0417735, 0.0879442, 0.138512, 0.193477, 0.25284, 0.384756, -0.0439721, -0.138512, -0.145108, -0.151704, -0.316599, 0, 0, 0, -0.0923414, -0.145108, -0.101136, -0.369366]","[-0.0921682, -0.284746, -0.175724, -0.205024, -0.222745, -0.23347, 1.11692, 0.0719068, 1.59153, 1.62905, 0.124974, -0.0343068, -0.0160144, 0.0506117, 0.060563, -0.0033133, -0.0459816, -0.0719781, -0.0724063, 1.76619, 0.0565708, 0.00620445, -0.0316736, -0.0366774, -0.0199252, -1.70458, 0.053594, -0.0544822, -0.0262527, 0.0660906, -0.0522873, 0.219855, 0.214677, 0.115744, 0.0172821, -0.0199059, 0.00982094, 0.0889684]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, 0.294373, 0.294373, 0.294373, -0.294373, -0.294373, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187]",21/10/2025 18:25:43
