numObj,x,y,z,velocity,x_static,y_static,z_static,velocity_static,timestamp
8,"[5.9802, 6.05056, 5.9802, 6.05056, 5.90985, 5.9802, 6.05056, 6.12091]","[-0.13992, -0.141416, -0.136093, -0.136535, -0.13642, -0.138215, -0.139093, -0.137234]","[0.459472, 0.480277, 0.399312, 0.406856, 0.404916, 0.434034, 0.447374, 0.418449]","[0, 0, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:14:35
1,"[2.0403]","[0.285198]","[0.0263465]","[0.147187]","[]","[]","[]","[]",28/06/2025 12:14:36
0,"[]","[]","[]","[]","[0.59802, 1.05895, -2.16554]","[1.02823, 2.74131, 2.2545]","[0.12502, 0.308874, -0.837628]","[0, 0, 0]",28/06/2025 12:14:37
0,"[]","[]","[]","[]","[0.59802, -1.88308, 1.05895]","[1.02823, 2.07058, 2.74131]","[0.12502, -0.294165, 0.308874]","[0, 0, 0]",28/06/2025 12:14:38
10,"[6.05056, 6.12091, 5.9802, 6.05056, 6.12091, 6.05056, 6.12091, 6.26163, 6.33198, 6.26163]","[-0.166739, -0.166509, -0.170533, -0.170018, -0.136131, -0.174863, -0.141413, -0.202802, -0.203294, -0.208377]","[0.343899, 0.340047, 0.400919, 0.393793, 0.399967, 0.455306, 0.480225, 0.373892, 0.37992, 0.436219]","[0, 0, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, -0.44156, -0.44156, -0.294373]","[]","[]","[]","[]",28/06/2025 12:14:39
0,"[]","[]","[]","[]","[-1.88308, 1.05895]","[2.07058, 2.74131]","[-0.294165, 0.308874]","[0, 0]",28/06/2025 12:14:40
17,"[5.9802, 6.05056, 6.19127, 6.26163, 6.19127, 6.26163, 6.33198, 6.33198, 6.19127, 6.26163, 6.05056, 5.9802, 6.05056, 6.12091, 5.9802, 6.05056, 6.12091]","[-0.172423, -0.170854, -0.201805, -0.20189, -0.20327, -0.204768, -0.173129, -0.776861, -0.203324, -0.206748, -0.135729, -0.166057, -0.134662, -0.137062, -0.168771, -0.168048, -0.13474]","[0.425809, 0.405296, 0.361262, 0.362362, 0.379629, 0.397325, 0.43462, -0.639534, 0.380288, 0.41925, 0.392941, 0.332347, 0.373479, 0.415644, 0.375788, 0.364832, 0.374943]","[0, 0, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, 0.294373, 0.44156, 0.44156, -0.44156, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:14:41
0,"[]","[]","[]","[]","[0.59802, 1.05895]","[1.02823, 2.74131]","[0.12502, 0.308874]","[0, 0]",28/06/2025 12:14:42
9,"[6.05056, 6.12091, 6.19127, 6.05056, 6.12091, 6.19127, 6.26163, 6.12091, 6.19127]","[-0.171514, -0.169099, -0.169414, -0.173805, -0.171691, -0.172083, -0.176322, -0.175234, -0.176461]","[0.414087, 0.380617, 0.385197, 0.442842, 0.416396, 0.421469, 0.471756, 0.459566, 0.473286]","[0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373]","[]","[]","[]","[]",28/06/2025 12:14:43
1,"[6.19127]","[-0.167363]","[0.354059]","[-0.147187]","[]","[]","[]","[]",28/06/2025 12:14:44
0,"[]","[]","[]","[]","[0.59802, 1.05895]","[1.02823, 2.74131]","[0.12502, 0.308874]","[0, 0]",28/06/2025 12:14:46
3,"[6.19127, 6.33198, 6.33198]","[-0.167211, -0.239637, -0.241687]","[0.35162, 0.398529, 0.417837]","[0.147187, -0.44156, -0.294373]","[]","[]","[]","[]",28/06/2025 12:14:47
4,"[6.19127, 6.26163, 6.19127, 6.26163]","[-0.232785, -0.234004, -0.233088, -0.23594]","[0.323127, 0.338065, 0.326911, 0.360271]","[0, 0, 0.147187, 0.147187]","[]","[]","[]","[]",28/06/2025 12:14:48
0,"[]","[]","[]","[]","[1.05895, -2.16554]","[2.75432, 2.2545]","[0.154649, -0.837628]","[0, 0]",28/06/2025 12:14:49
0,"[]","[]","[]","[]","[0.59802, 1.05895, -2.16554]","[1.02823, 2.74131, 2.2545]","[0.12502, 0.308874, -0.837628]","[0, 0, 0]",28/06/2025 12:14:50
0,"[]","[]","[]","[]","[-1.88308, 1.05895]","[2.07058, 2.74131]","[-0.294165, 0.308874]","[0, 0]",28/06/2025 12:14:51
0,"[]","[]","[]","[]","[0.59802, 1.05895]","[1.02823, 2.74131]","[0.12502, 0.308874]","[0, 0]",28/06/2025 12:14:52
1,"[6.12091]","[-0.165211]","[0.317312]","[-0.147187]","[]","[]","[]","[]",28/06/2025 12:14:53
0,"[]","[]","[]","[]","[1.05895]","[2.74131]","[0.308874]","[0]",28/06/2025 12:14:54
0,"[]","[]","[]","[]","[0.59802, -1.88308, 1.05895]","[1.02823, 2.07058, 2.74131]","[0.12502, -0.294165, 0.308874]","[0, 0, 0]",28/06/2025 12:14:55
0,"[]","[]","[]","[]","[0.59802, 1.05895]","[1.02823, 2.74131]","[0.12502, 0.308874]","[0, 0]",28/06/2025 12:14:56
0,"[]","[]","[]","[]","[-1.88308, 1.05895]","[2.07058, 2.74131]","[-0.294165, 0.308874]","[0, 0]",28/06/2025 12:14:57
0,"[]","[]","[]","[]","[0.59802, 1.05895]","[1.02823, 2.74131]","[0.12502, 0.308874]","[0, 0]",28/06/2025 12:14:58
6,"[6.05056, 6.12091, 6.05056, 6.12091, 6.19127, 6.12091]","[-0.165623, -0.166588, -0.167687, -0.168754, -0.171044, -0.173411]","[0.324742, 0.341382, 0.359203, 0.375531, 0.407852, 0.438073]","[0, 0, 0.147187, 0.147187, 0.147187, 0.294373]","[]","[]","[]","[]",28/06/2025 12:14:59
0,"[]","[]","[]","[]","[1.05895]","[2.74131]","[0.308874]","[0]",28/06/2025 12:15:00
3,"[6.05056, 6.12091, 6.19127]","[-0.164494, -0.165705, -0.165377]","[0.303884, 0.326197, 0.320334]","[-0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:15:01
1,"[6.12091]","[-0.171418]","[0.412812]","[0.147187]","[]","[]","[]","[]",28/06/2025 12:15:02
2,"[6.12091, 6.12091]","[-0.134955, -0.140155]","[0.378954, 0.462815]","[0, 0.147187]","[]","[]","[]","[]",28/06/2025 12:15:03
0,"[]","[]","[]","[]","[-2.16554]","[2.2545]","[-0.837628]","[0]",28/06/2025 12:15:04
0,"[]","[]","[]","[]","[1.05895]","[2.74131]","[0.308874]","[0]",28/06/2025 12:15:05
