numObj,x,y,z,velocity,x_static,y_static,z_static,velocity_static,timestamp
17,"[4.99523, 5.06558, 5.13594, 5.2063, 4.92487, 4.99523, 5.06558, 5.13594, 4.99523, 5.06558, 5.13594, 5.2063, 4.92487, 4.99523, 5.06558, 5.13594, 5.2063]","[-0.23559, -0.233207, -0.201771, -0.208169, -0.204688, -0.207766, -0.204606, -0.166795, -0.231227, -0.232006, -0.234674, -0.236606, -0.233336, -0.232734, -0.23367, -0.236956, -0.239841]","[0.356385, 0.32839, 0.360821, 0.434096, 0.396401, 0.429958, 0.395458, 0.344815, 0.302745, 0.313132, 0.345943, 0.367535, 0.329975, 0.322481, 0.334044, 0.371286, 0.400497]","[0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, -0.294373, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:07:59
11,"[4.99523, 5.06558, 5.13594, 4.92487, 4.99523, 4.99523, 5.13594, 5.2063, 4.99523, 5.06558, 5.13594]","[-0.202982, -0.234964, -0.238625, -0.205182, -0.208759, -0.171572, -0.235452, -0.237949, -0.224657, -0.227989, -0.230265]","[0.376112, 0.349288, 0.38853, 0.402032, 0.440068, 0.414845, 0.354831, 0.381657, 0.190301, 0.25431, 0.289315]","[0, 0, 0, 0.147187, 0.147187, 0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:08:00
5,"[4.92487, 4.99523, 4.92487, 4.99523, 5.06558]","[-0.167777, -0.168856, -0.16717, -0.168495, -0.17081]","[0.360615, 0.37704, 0.350952, 0.371651, 0.404694]","[0, 0, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:08:01
16,"[4.92487, 4.99523, 5.06558, 5.13594, 5.2063, 4.99523, 5.06558, 5.13594, 5.2063, 5.13594, 5.2063, 4.99523, 5.06558, 4.92487, 4.99523, 5.06558]","[-0.203253, -0.203527, -0.202949, -0.233834, -0.239162, -0.242759, -0.236253, -0.233082, -0.234305, -0.235133, -0.237741, -0.165138, -0.166612, -0.201045, -0.166675, -0.167354]","[0.379426, 0.382746, 0.375702, 0.336029, 0.393873, 0.427482, 0.363709, 0.326838, 0.341635, 0.351221, 0.379519, 0.315973, 0.341784, 0.351264, 0.342825, 0.353922]","[0, 0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:08:02
10,"[4.99523, 5.06558, 5.13594, 4.99523, 5.06558, 5.13594, 4.92487, 4.99523, 5.06558, 5.13594]","[-0.276563, -0.275574, -0.237022, -0.234391, -0.235233, -0.236626, -0.234674, -0.236553, -0.237588, -0.239404]","[0.413846, 0.405816, 0.371988, 0.34264, 0.352362, 0.367747, 0.345941, 0.366966, 0.377924, 0.396247]","[0, 0, 0, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:08:03
15,"[4.92487, 4.99523, 5.06558, 5.13594, 4.85452, 4.92487, 4.99523, 5.06558, 5.13594, 4.85452, 4.92487, 4.99523, 5.06558, 5.06558, 5.13594]","[-0.1675, -0.202564, -0.20093, -0.198671, -0.167397, -0.16932, -0.171164, -0.205108, -0.167098, -0.170537, -0.17107, -0.173095, -0.207968, -0.262001, -0.228397]","[0.356242, 0.370917, 0.349711, 0.317537, 0.354607, 0.383846, 0.409453, 0.401202, 0.349794, 0.400975, 0.408191, 0.434204, 0.432038, 0.264596, 0.260978]","[0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, 0.294373, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:08:04
10,"[5.06558, 5.13594, 4.99523, 5.06558, 5.13594, 5.2063, 5.06558, 5.13594, 5.41736, 5.41736]","[-0.263177, -0.230806, -0.271772, -0.268061, -0.234411, -0.240055, -0.273447, -0.239084, 0.5529, -0.434779]","[0.28025, 0.296956, 0.372801, 0.33659, 0.342875, 0.402563, 0.38779, 0.393103, -0.686329, 0.267314]","[0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:08:05
6,"[4.99523, 5.06558, 4.99523, 5.06558, 4.99523, 5.06558]","[-0.204555, -0.235121, -0.205076, -0.168812, -0.264884, -0.232572]","[0.394872, 0.35109, 0.400834, 0.376396, 0.301354, 0.320424]","[0, 0, 0.147187, 0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:08:06
10,"[4.99523, 5.06558, 5.13594, 5.06558, 5.13594, 5.2063, 5.06558, 4.99523, 5.06558, 5.13594]","[-0.170281, -0.17073, -0.207899, -0.242212, -0.237868, -0.268591, -0.166673, -0.168078, -0.170104, -0.17819]","[0.397456, 0.403604, 0.431332, 0.422597, 0.380829, 0.342048, 0.342803, 0.365287, 0.394994, 0.491698]","[0, 0, 0, 0.147187, 0.147187, 0.147187, -0.294373, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:08:07
11,"[4.99523, 5.13594, 5.2063, 4.99523, 5.06558, 5.13594, 5.2063, 4.99523, 5.06558, 5.13594, 5.2063]","[-0.165103, -0.280028, -0.237712, -0.203281, -0.201819, -0.237805, -0.236148, -0.199524, -0.231617, -0.23683, -0.238142]","[0.315333, 0.440491, 0.379211, 0.379759, 0.361446, 0.380175, 0.362561, 0.330123, 0.307988, 0.369935, 0.383637]","[0, 0, 0, 0.147187, 0.147187, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:08:08
8,"[4.99523, 5.06558, 5.2063, 5.2063, 5.06558, 5.13594, 5.06558, 5.13594]","[-0.27306, -0.237343, -0.266607, -0.271171, -0.168187, -0.167412, -0.197651, -0.193824]","[0.384389, 0.37537, 0.32103, 0.367231, 0.366969, 0.354848, 0.301653, 0.23091]","[0.147187, 0.147187, 0.147187, 0.294373, -0.294373, -0.294373, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:08:09
5,"[4.92487, 4.99523, 4.92487, 4.99523, 4.99523]","[-0.168115, -0.172162, -0.170682, -0.17196, -0.173211]","[0.365855, 0.422484, 0.402955, 0.419892, 0.435629]","[0, 0, 0.147187, 0.147187, 0.294373]","[]","[]","[]","[]",28/06/2025 12:08:10
7,"[5.2063, 5.06558, 5.2063, 4.99523, 5.06558, 5.13594, 5.2063]","[-0.197829, -0.241801, -0.164089, -0.2379, -0.233376, -0.227669, -0.193655]","[0.304496, 0.418876, 0.295997, 0.381153, 0.330465, 0.248929, 0.227217]","[0, 0.147187, 0.147187, -0.147187, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:08:11
9,"[4.99523, 5.06558, 5.27665, 5.27665, 4.92487, 4.99523, 5.06558, 5.27665, 5.27665]","[-0.202534, -0.204066, 0.561137, -0.112591, -0.169234, -0.167004, -0.170256, 0.570073, -0.489954]","[0.370541, 0.389164, -0.702214, -0.58371, 0.382599, 0.348255, 0.3971, -0.718579, 0.377218]","[0, 0, 0, 0, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:08:13
16,"[4.99523, 5.06558, 5.13594, 5.34701, 5.34701, 4.99523, 5.06558, 5.13594, 5.34701, 5.34701, 5.41736, 5.41736, 4.99523, 5.06558, 4.99523, 5.06558]","[-0.166695, -0.168206, -0.169761, 0.571494, -0.467621, -0.168648, -0.170718, -0.174683, 0.548356, -0.459135, 0.545556, -0.454021, -0.171376, -0.17316, -0.196642, -0.196254]","[0.343164, 0.367262, 0.390163, -0.721102, 0.448157, 0.373952, 0.403444, 0.453221, -0.677211, 0.411093, -0.671458, 0.386383, 0.412263, 0.435003, 0.284918, 0.278185]","[0, 0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:08:14
0,"[]","[]","[]","[]","[0.365692, 0.363198, -1.88308]","[1.7106, 2.2642, 2.04451]","[0.183853, -0.363198, -0.44024]","[0, 0, 0]",28/06/2025 12:08:15
0,"[]","[]","[]","[]","[0.59802, 0.365692, 0.363198, -1.88308]","[1.02823, 1.7106, 2.2642, 2.04451]","[0.12502, 0.183853, -0.363198, -0.44024]","[0, 0, 0, 0]",28/06/2025 12:08:16
0,"[]","[]","[]","[]","[0.59802, 0.365692, 0.363198, -1.88308]","[1.02823, 1.7106, 2.2642, 2.04451]","[0.12502, 0.183853, -0.363198, -0.44024]","[0, 0, 0, 0]",28/06/2025 12:08:17
3,"[5.06558, 4.99523, 5.06558]","[-0.165876, -0.161965, -0.161682]","[0.329202, 0.249873, 0.242965]","[0, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:08:18
5,"[4.99523, 5.06558, 4.92487, 4.99523, 5.06558]","[-0.200957, -0.1634, -0.206946, -0.204246, -0.166085]","[0.350081, 0.281955, 0.421364, 0.391273, 0.332824]","[0, 0, 0.147187, 0.147187, 0.147187]","[]","[]","[]","[]",28/06/2025 12:08:19
7,"[4.99523, 5.06558, 5.13594, 4.92487, 4.99523, 5.06558, 5.13594]","[-0.204489, -0.205967, -0.200475, -0.200473, -0.20106, -0.202351, -0.198383]","[0.394098, 0.410788, 0.343527, 0.343504, 0.351459, 0.368241, 0.313149]","[0, 0, 0, -0.147187, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:08:20
13,"[4.92487, 4.99523, 5.06558, 4.92487, 4.99523, 5.06558, 5.13594, 4.92487, 4.99523, 5.06558, 4.92487, 4.99523, 5.06558]","[-0.19816, -0.199636, -0.203613, -0.201162, -0.204646, -0.20518, -0.184234, -0.204097, -0.193867, -0.192688, -0.195194, -0.195565, -0.196349]","[0.309697, 0.331747, 0.383773, 0.35283, 0.395919, 0.402016, 0.549233, 0.389522, 0.23185, 0.204689, 0.258752, 0.265735, 0.279845]","[0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:08:21
2,"[4.99523, 5.06558]","[-0.197093, -0.199078]","[0.292537, 0.323615]","[-0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:08:22
13,"[5.06558, 5.13594, 4.92487, 4.99523, 5.06558, 5.13594, 4.92487, 4.99523, 5.06558, 5.13594, 4.92487, 4.99523, 5.06558]","[-0.235708, -0.232133, -0.196433, -0.19766, -0.233169, -0.265907, -0.194841, -0.194996, -0.1959, -0.23567, -0.194848, -0.194709, -0.195418]","[0.357701, 0.31478, 0.281324, 0.30179, 0.327912, 0.313211, 0.251902, 0.254941, 0.271866, 0.357278, 0.25204, 0.249298, 0.262988]","[0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, 0.294373, 0.44156, 0.44156, 0.44156]","[]","[]","[]","[]",28/06/2025 12:08:23
12,"[4.92487, 4.99523, 5.06558, 5.13594, 4.99523, 5.06558, 5.13594, 4.92487, 4.99523, 5.06558, 5.13594, 5.2063]","[-0.204776, -0.206306, -0.208019, -0.242943, -0.202762, -0.236773, -0.23617, -0.20252, -0.204099, -0.23872, -0.238609, -0.243624]","[0.397417, 0.414488, 0.432569, 0.429111, 0.37339, 0.369333, 0.362802, 0.370371, 0.389548, 0.389478, 0.388362, 0.435062]","[0, 0, 0, 0, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:08:24
2,"[4.99523, 5.06558]","[-0.13897, -0.256368]","[0.445539, 0.167972]","[-0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:08:25
3,"[4.92487, 4.99523, 5.13594]","[-0.248796, -0.247641, -0.267066]","[0.477014, 0.468098, 0.326037]","[0.147187, 0.147187, 0.147187]","[]","[]","[]","[]",28/06/2025 12:08:26
14,"[4.99523, 5.06558, 5.13594, 4.92487, 4.99523, 5.06558, 5.13594, 5.2063, 4.99523, 5.06558, 5.13594, 5.2063, 5.27665, 5.34701]","[-0.164756, -0.165401, -0.199916, -0.200601, -0.167907, -0.168697, -0.204079, -0.237036, -0.168988, -0.169617, -0.202335, -0.232706, -0.226859, -0.225357]","[0.308877, 0.320767, 0.335733, 0.345254, 0.362643, 0.374684, 0.389307, 0.372136, 0.378988, 0.388106, 0.368034, 0.322122, 0.234728, 0.205548]","[0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, 0.294373, 0.294373, 0.294373]","[]","[]","[]","[]",28/06/2025 12:08:27
10,"[5.06558, 5.13594, 5.2063, 4.99523, 5.06558, 5.13594, 1.89959, 5.2063, 5.13594, 5.2063]","[-0.237203, -0.201279, -0.200423, -0.243835, -0.246687, -0.245937, 0.285112, -0.195207, -0.196395, -0.197311]","[0.373893, 0.354374, 0.342806, 0.436883, 0.460548, 0.45449, 0.0103856, 0.259004, 0.28066, 0.296135]","[0, 0, 0, 0.147187, 0.147187, 0.147187, 1.03031, -0.294373, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:08:28
7,"[5.06558, 5.13594, 5.2063, 4.99523, 5.06558, 5.13594, 5.2063]","[-0.235472, -0.238265, -0.241985, -0.201316, -0.202401, -0.235714, -0.233043]","[0.355057, 0.384887, 0.420553, 0.354864, 0.368875, 0.357772, 0.326356]","[0, 0, 0, -0.147187, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:08:29
0,"[]","[]","[]","[]","[0.365692, 0.363198, -1.88308]","[1.7106, 2.2642, 2.04451]","[0.183853, -0.363198, -0.44024]","[0, 0, 0]",28/06/2025 12:08:30
7,"[4.99523, 5.06558, 4.92487, 4.99523, 5.06558, 5.13594, 4.99523]","[-0.200451, -0.23326, -0.205468, -0.237913, -0.238038, -0.200673, -0.242793]","[0.343194, 0.329037, 0.405249, 0.38129, 0.382573, 0.346236, 0.427785]","[0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373]","[]","[]","[]","[]",28/06/2025 12:08:32
7,"[4.99523, 5.06558, 4.99523, 5.06558, 4.99523, 5.06558, 5.13594]","[-0.263066, -0.230108, -0.224397, -0.225366, -0.259764, -0.227562, -0.22823]","[0.278819, 0.287059, 0.184298, 0.205737, 0.231515, 0.247108, 0.258265]","[0, 0, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:08:33
4,"[5.06558, 5.13594, 5.2063, 5.06558]","[-0.266106, -0.269612, -0.280752, -0.196105]","[0.315452, 0.352276, 0.445789, 0.275555]","[0.147187, 0.147187, 0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:08:34
8,"[4.99523, 5.06558, 5.13594, 5.2063, 5.13594, 5.2063, 4.99523, 5.06558]","[-0.200778, -0.168162, -0.167169, -0.162636, -0.165978, -0.163766, -0.195687, -0.229517]","[0.347657, 0.36658, 0.350945, 0.265417, 0.330976, 0.289517, 0.267986, 0.278363]","[0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:08:35
8,"[4.99523, 5.06558, 4.99523, 5.06558, 4.92487, 4.99523, 5.06558, 5.13594]","[-0.232789, -0.23517, -0.228185, -0.229093, -0.231973, -0.230846, -0.231647, -0.233307]","[0.323172, 0.351642, 0.257525, 0.271926, 0.312688, 0.297504, 0.308387, 0.329616]","[0, 0, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:08:36
3,"[4.92487, 4.99523, 5.06558]","[-0.202276, -0.196245, -0.196932]","[0.367289, 0.278031, 0.28984]","[0.147187, -0.44156, -0.44156]","[]","[]","[]","[]",28/06/2025 12:08:37
