create_time,idppe,idbeacon,bluetooth_channel,rssi_1,rssi_2,rssi_3,rssi_4,az_1,az_2,az_3,az_4,el_1,el_2,el_3,el_4,x,y,z
1755134338.273426,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,d5779a31-7768-1fd9-a127-b739f6fb134f,5,-74.0,NaN,NaN,-80.0,2.0941421020896382,NaN,NaN,2.401945467191034,0.400117749678817,NaN,NaN,0.571346990256493,NaN,NaN,NaN
1755134339.22368,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,a61a5e44-d930-f67f-bca6-5ec9c527e350,5,-74.0,-79.0,-75.0,-77.0,2.1113365353516254,1.1337305792321064,1.5269649563099363,2.512649345280102,0.36166603117484414,0.99348279043219,0.38751500561028956,0.4455734819811573,-2.49234414100647,4.68330192565918,-0.1431586891412735
1755134340.225518,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,2857c6ba-c384-bc0f-4278-9f7396dc54f4,7,-80.0,-78.0,-77.0,-74.0,2.0929218416781636,1.1612729912257058,1.5398605149403182,2.4837636348326666,0.26405315445065625,0.9437637699883099,0.34233214745114143,0.4886854993661734,-2.572930335998535,4.63289737701416,-0.3182612955570221
1755134341.273775,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,05da0c38-2131-49de-4baf-951407cae3e9,10,-73.0,-82.0,-80.0,-74.0,2.1155086435153434,1.232158882592563,1.5266496380368713,2.490683592609128,0.27581457264131404,0.9359984583028295,0.21814606627781793,0.5607390870024894,-2.644155979156494,4.569487571716309,-0.35784783959388733
1755134342.272886,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,a758e922-7b1a-6af6-fd98-8118cdd3efb8,25,-84.0,-84.0,-74.0,-73.0,2.1026604891523655,1.1658080882460018,1.5304265330948215,2.3663251549790063,0.307556922832023,0.9937313965199489,0.2557349372333618,0.4770539435681706,-2.7290284633636475,4.524646282196045,-0.392090618610382
1755134343.225172,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,9dbcf159-c605-e581-3703-bed21ffd012f,9,-73.0,-85.0,-84.0,-75.0,2.13943874380636,1.3729170662153931,1.5801578706587431,2.3998943005194553,0.3089925996861711,0.9257434904722888,0.4056789959566341,0.43032042657481023,-3.033745288848877,4.38010549545288,-0.41979092359542847
1755134344.22365,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,d9cffe39-76a7-dcc4-a238-927c18d35ac6,26,-89.0,-77.0,-74.0,-76.0,2.2315931722708076,1.4351753809148293,1.7067134161881805,2.29621211296049,0.5264889378817937,0.8095295986668744,0.4362523515868527,0.3918788946620069,-3.3196208477020264,4.21470546722412,-0.4016868770122528
1755134345.272977,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,247077d1-ff3b-c369-2e2e-ac4cab4b0a1f,2,-71.0,-78.0,-85.0,-78.0,2.2798656301895837,1.4922256177865068,1.5746280829713024,2.299781814085632,0.4637250553389194,0.7803199146728307,0.5863585635309971,0.4535682915735752,-3.60890793800354,4.04337978363037,-0.43903324007987976
1755134346.224436,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,c498a169-1cbe-00bc-01ee-a11c7681299a,28,NaN,-77.0,NaN,-79.0,NaN,1.5141104103603418,NaN,2.289883909578244,NaN,0.8099592331297313,NaN,0.6141251471093541,-3.9078173637390137,3.84349775314331,-0.44128361344337463
1755134347.273923,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,72c59a2c-f2f0-6754-6843-c0036d1dd564,5,-77.0,-78.0,NaN,-69.0,2.125468333360022,1.5016382943432827,NaN,2.2773729114092696,0.28260340302360315,0.7632583065702109,NaN,0.55791590322041,-4.183634281158447,3.62752103805542,-0.38008642196655273
1755134348.268065,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,f871ef83-b05e-2e04-f950-628fd12468aa,1,-75.0,-82.0,NaN,-77.0,2.2123837913280657,1.5336649369803579,NaN,2.2393909079425596,0.2885470792339557,0.6043458864285286,NaN,0.3961936151020989,-4.43862533569336,3.4159629344940186,-0.2523914873600006
1755134349.224123,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,c2562a19-56b2-145e-895a-31c7f6d35c98,13,-74.0,-75.0,NaN,-82.0,2.213480481064961,1.522582458420102,NaN,2.182432283812381,0.3215632859530767,0.5568221096712008,NaN,0.3074702036490273,-4.659546375274658,3.2525014877319336,-0.10436441004276276
1755134350.225203,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,f1717893-18d9-d3da-be96-bf3947c0b351,8,-78.0,-79.0,NaN,-75.0,2.161400768051807,1.5664820058289681,NaN,2.2032235824426296,0.3859386805610716,0.44090529348538465,NaN,0.2896739292701954,-4.9136152267456055,3.0086944103240967,-0.0749312862753868
1755134351.225316,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,96b5f66f-5195-353f-1c94-caeba5e640d5,14,-75.0,-73.0,-74.0,-82.0,2.1780519164514183,1.4476810527616235,1.5421220713380135,2.1863503264081054,0.43015817348539714,0.3577255514469357,0.5450053975984103,0.2324930976365632,-5.136009216308594,2.7819736003875732,-0.15494513511657715
1755134352.272491,72828ff7-3ccc-0c5d-596b-8331ba7d4f39,3bf96962-aeae-e37f-98e6-89cb3e949235,4,-76.0,-80.0,-75.0,-71.0,2.197630944153463,1.5526522102881868,1.5662875950693926,2.220848382536774,0.32401715587098934,0.3186898017159085,0.5305688673822815,0.22459843954588912,-5.390480995178223,2.5502991676330566,-0.20677946507930756
