numObj,x,y,z,velocity,timestamp
8,"[2.54444, 2.03484, 2.63445, 2.6843, 2.56918, 1.07018, 2.6339, 2.69741]","[0.325393, -0.48809, 0.250641, 0.428728, 0.325393, -0.569439, 0.417735, 0.428728]","[0.443087, -1.54841, 0.380107, 0.373484, 0.264236, -2.30365, 0.188959, 0.262545]","[0.147187, 0.147187, 0.147187, 0.147187, -0.147187, -0.147187, -0.147187, -0.147187]",21/10/2025 18:55:03
1,"[2.43723]","[0.0769512]","[0.342905]","[0.147187]",21/10/2025 18:55:04
7,"[2.37611, 2.43704, 2.49098, 2.54273, 2.45332, 2.51339, 2.56392]","[0.0747525, 0.0769512, 0.1583, 0.244045, 0.0769512, 0.1583, 0.325393]","[0.265675, 0.344251, 0.430093, 0.501352, 0.19725, 0.269908, 0.311176]","[0.147187, 0.147187, 0.147187, 0.147187, -0.147187, -0.147187, -0.147187]",21/10/2025 18:55:05
11,"[2.44741, 2.65485, 2.38049, 2.44796, 2.44756, 2.5843, 2.38821, 2.45736, 2.52158, 2.66158, 2.73693]","[0, 0.083547, -0.0747525, 0, -0.0813484, -0.083547, 0, 0, -0.0813484, 0, 0.0857456]","[0.271596, 0.303948, 0.223001, 0.266579, 0.882728, 0.679725, 0.136079, 0.158028, 0.641417, 0.252204, 0.174917]","[0, 0, 0.147187, 0.147187, 0.147187, 0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187]",21/10/2025 18:55:06
10,"[2.5617, 2.49366, 2.55349, 2.62193, 2.70656, 2.52774, 2.51649, 2.58106, 2.64387, 2.70245]","[0.162697, 0.1583, 0.162697, 0.250641, 0.342982, 0.162697, 0.1583, 0.162697, 0.250641, 0.428728]","[0.433126, 0.414316, 0.479141, 0.458573, 0.292648, 0.600373, 0.239232, 0.29672, 0.307846, 0.204199]","[0, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, -0.147187, -0.147187, -0.147187, -0.147187]",21/10/2025 18:55:07
28,"[2.38193, 2.45212, 2.52886, 2.42643, 2.61629, 2.67501, 2.29838, 2.37166, 2.43728, 2.50625, 2.59359, 2.65899, 2.71691, 2.36525, 2.43199, 2.58253, 2.64427, 2.56633, 2.6346, 2.70353, 2.77204, 2.38372, 2.44764, 2.48809, 2.57255, 2.62742, 2.69516, 2.76259]","[0.0747525, 0.0769512, -0.0791498, -0.162697, 0.501282, 0.514473, 0.0725539, 0.0747525, 0.0769512, 0.0791498, 0, 0, 0.0857456, 0.0747525, 0.0769512, 0, 0, 0.406742, 0.417735, 0.428728, 0.439721, 0.0747525, 0.0769512, 0.1583, 0.325393, 0.417735, 0.428728, 0.439721]","[0.207031, 0.211614, 0.11687, 0.92863, 0.226634, 0.329255, 0.320289, 0.302812, 0.342528, 0.357015, 0.222832, 0.278233, 0.373931, 0.349376, 0.37828, 0.326966, 0.394303, 0.157717, 0.178851, 0.189388, 0.205493, 0.185364, 0.258323, 0.446524, 0.229136, 0.264115, 0.284737, 0.307485]","[0, 0, 0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, 0.294373, -0.294373, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187]",21/10/2025 18:55:09
15,"[2.49024, 2.53437, 2.57058, 2.70969, 2.47117, 2.5517, 2.64977, 2.69955, 2.51062, 2.58095, 2.65962, 2.50108, 2.57127, 2.65424, 2.73736]","[-0.0791498, -0.0813484, 0, 0.342982, 0, 0, 0.083547, 0.342982, 0, 0, 0, 0, 0, 0, 0.171491]","[0.455474, 0.588844, 0.734658, 0.262104, 0.555281, 0.514962, 0.345468, 0.351467, 0.334413, 0.339262, 0.272088, 0.399572, 0.406119, 0.320378, 0.0786528]","[0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, -0.294373, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187]",21/10/2025 18:55:12
14,"[2.52026, 2.58211, 2.64318, 2.45533, 2.55846, 2.627, 2.51234, 2.58302, 2.42157, 2.51031, 2.58617, 2.64878, 2.76135, 0.784774]","[0.1583, 0.162697, 0.167094, 0.1583, 0.162697, 0.250641, 0.1583, 0.244045, 0.153902, 0.1583, 0.162697, 0.250641, 0.527665, -0.615609]","[0.195682, 0.287447, 0.365095, 0.60111, 0.451848, 0.428591, 0.279513, 0.211714, 0.419427, 0.297196, 0.248208, 0.262217, 0.127629, -2.63153]","[0, 0, 0, 0.147187, 0.147187, 0.147187, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187]",21/10/2025 18:55:13
19,"[2.46121, 2.52195, 2.57234, 2.63991, 2.72224, 2.38363, 2.46032, 2.51515, 2.56124, 2.62921, 2.70322, 2.50144, 2.54293, 2.61098, 2.68345, 2.51835, 2.58229, 2.64827, 2.71198]","[0.0769512, 0.0791498, 0.0813484, 0.083547, 0.0857456, 0.0747525, 0.0769512, 0.0791498, 0.0813484, 0.083547, 0.0857456, 0, 0.0813484, 0.083547, 0.0857456, 0.0791498, 0.0813484, 0.167094, 0.171491]","[-0.0108461, 0.220316, 0.390926, 0.41414, 0.332903, 0.186452, -0.0669354, 0.287713, 0.458031, 0.477404, 0.462625, 0.397255, 0.550699, 0.568698, 0.566125, 0.258195, 0.318618, 0.326133, 0.380176]","[0, 0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, 0.294373, -0.147187, -0.147187, -0.147187, -0.147187]",21/10/2025 18:55:14
17,"[2.51543, 2.58009, 2.6095, 2.64499, 2.5013, 2.57223, 2.64091, 2.72283, 2.80238, 2.56676, 2.63256, 2.7072, 2.51734, 2.59297, 2.65364, 2.71122, 2.76186]","[0.0791498, 0.0813484, 0, -0.0857456, 0.1583, 0.0813484, 0, 0, 0, 0.0813484, 0, 0, 0.237449, 0.0813484, 0.167094, 0.257237, 0.351777]","[0.285237, 0.336015, 0.581477, 0.724869, 0.365349, 0.391679, 0.416201, 0.339039, 0.257856, 0.426046, 0.466105, 0.447024, 0.147085, 0.21514, 0.279085, 0.334504, 0.410072]","[0, 0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187]",21/10/2025 18:55:15
