numObj,x,y,z,velocity,numObj_static,x_static,y_static,z_static,velocity_static,timestamp
12,"[2.40272, 2.42449, 2.21495, 2.3147, 2.33939, 2.21956, 2.11477, 2.17091, 2.1533, 2.40054, 2.50794, 2.27665]","[2.5152, 2.56357, 2.46683, 2.5152, 2.56357, 2.61194, 2.46683, 2.5152, 2.56357, 2.78123, 2.70868, 2.78123]","[1.13365, 1.20587, 1.37236, 1.30398, 1.36365, 1.63864, 1.5222, 1.53145, 1.64182, 1.21471, 1.37698, 1.43352]","[-0.735933, -0.735933, -0.588746, -0.588746, -0.588746, -0.588746, -0.44156, -0.44156, -0.44156, -0.44156, -0.44156, -0.294373]",0,"[]","[]","[]","[]",26/11/2025 18:40:00
2,"[2.15519, 2.26417]","[2.27336, 2.32173]","[1.0589, 0.942138]","[0.147187, 0.147187]",0,"[]","[]","[]","[]",26/11/2025 18:40:02
8,"[2.14593, 1.95299, 2.01509, 2.00366, 2.01093, 1.94299, 1.83804, 2.07635]","[2.62953, 2.58556, 2.63833, 2.46683, 2.62953, 2.46683, 2.62953, 2.63833]","[1.36565, 1.17701, 1.16334, 1.66575, 1.55762, 1.73613, 1.7583, 1.05009]","[0, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, -0.147187]",0,"[]","[]","[]","[]",26/11/2025 18:40:03
7,"[1.78363, 1.80933, 1.75112, 1.88867, 1.93206, 1.82882, 2.21063]","[2.32612, 2.37669, 2.58556, 2.32612, 2.37669, 2.58556, 2.63833]","[1.37177, 1.41843, 1.46051, 1.22311, 1.2461, 1.36197, 0.725959]","[0, 0, 0, -0.147187, -0.147187, -0.147187, -0.147187]",0,"[]","[]","[]","[]",26/11/2025 18:40:05
11,"[1.90339, 2.18569, 2.25335, 1.7626, 2.10082, 2.00425, 2.10004, 1.78689, 1.94716, 2.05594, 2.12685]","[2.69329, 2.63833, 2.69109, 2.69329, 2.63833, 2.69329, 2.74826, 2.63833, 2.69329, 2.74826, 2.80322]","[1.00397, 0.797932, 0.745032, 1.23453, 1.00025, 0.783476, 0.64158, 1.11838, 0.916193, 0.771293, 0.70221]","[0, 0, 0, 0.147187, 0.147187, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187]",0,"[]","[]","[]","[]",26/11/2025 18:40:06
13,"[1.63496, 1.73055, 1.90943, 1.78468, 1.94246, 2.06835, 1.78318, 1.88078, 1.64379, 1.72927, 1.82852, 1.96082, 2.24182]","[2.58336, 2.63833, 2.69329, 2.48003, 2.53279, 2.58556, 2.58336, 2.63833, 2.5284, 2.58336, 2.63833, 2.69329, 2.63833]","[1.25993, 1.20372, 0.992434, 1.26438, 1.10287, 0.959934, 1.03961, 0.952067, 1.17436, 1.127, 1.04894, 0.886577, 0.623038]","[0, 0, 0, 0.147187, 0.147187, 0.147187, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187]",0,"[]","[]","[]","[]",26/11/2025 18:40:07
4,"[2.04274, 2.09432, 2.16639, 2.11549]","[2.58556, 2.32612, 2.47783, 2.63833]","[1.01328, 0.822732, 1.02557, 0.96882]","[0, -0.588746, -0.147187, -0.147187]",0,"[]","[]","[]","[]",26/11/2025 18:40:08
2,"[2.15983, 2.11621]","[2.47783, 2.52839]","[1.0393, 1.22619]","[0.147187, 0.147187]",0,"[]","[]","[]","[]",26/11/2025 18:40:09
3,"[1.95206, 1.89043, 1.93596]","[2.37669, 2.37669, 2.42726]","[1.21452, 1.30838, 1.32852]","[0, -0.147187, -0.147187]",0,"[]","[]","[]","[]",26/11/2025 18:40:10
4,"[2.00155, 1.97338, 2.12131, 2.13962]","[2.58556, 2.63833, 2.58556, 2.63833]","[1.09239, 1.23276, 0.836417, 0.914297]","[0.147187, 0.147187, -0.147187, -0.147187]",0,"[]","[]","[]","[]",26/11/2025 18:40:11
7,"[2.14425, 2.1984, 2.08623, 2.07836, 2.15017, 2.22479, 2.42125]","[2.42726, 2.47783, 2.63833, 2.53279, 2.58556, 2.63833, 2.57896]","[0.956609, 0.955022, 1.03033, 0.818466, 0.759157, 0.68136, 0.600936]","[0.147187, 0.147187, 0.147187, -0.147187, -0.147187, -0.147187, -0.147187]",0,"[]","[]","[]","[]",26/11/2025 18:40:12
13,"[2.19015, 2.20215, 2.23588, 2.14563, 2.0297, 2.18236, 2.16337, 2.17892, 2.20036, 2.17878, 2.14224, 2.12791, 2.12142]","[2.58556, 2.37669, 2.42726, 2.58556, 2.74826, 2.32612, 2.37669, 2.42726, 2.47783, 2.32612, 2.37669, 2.42726, 2.47783]","[0.634659, 0.6604, 0.71677, 0.771888, 0.837913, 0.548071, 0.778109, 0.874768, 0.950494, 0.562125, 0.834525, 0.992432, 1.11562]","[0, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, 0.294373, 0.44156, 0.44156, 0.44156, 0.44156]",0,"[]","[]","[]","[]",26/11/2025 18:40:13
0,"[]","[]","[]","[]",1,"[-0.872018]","[1.26068]","[1.76561]","[0]",26/11/2025 18:40:14
